t_h,mode,objective_id,active_redox_pressure,ethanol_cap_target,ethanol_cap_baseline,ethanol_cap_applied,ethanol_cap_relaxed,ethanol_cap_omitted,ethanol_cap_mode,status_baseline,status_pairwise,status_redox,obj_baseline,obj_redox,mu_baseline,mu_redox,v_eth_baseline,v_eth_redox,v_ADH_eth_baseline,v_ADH_eth_redox,v_PDC_baseline,v_PDC_redox,v_r0179_redox,v_r0181_redox,v_r1865_baseline,v_r1865_redox,v_r1862_baseline,v_r1862_pairwise,v_r1862_redox,v_r0160_redox,v_r1863_redox,N_gN_L,X_gDW_L,E_g_L,glucose_g_L,fructose_g_L,flag_yan_low,flag_mu_low,flag_sugar_high,flag_turnover,flag_yan_value,flag_mu_value,flag_sugar_val
0.0,BIOMASS,r_2111,True,r_2115,6.893732099912667,5.0,False,False,min_of_both,optimal,optimal,optimal,0.15887686352796926,0.15859117958809207,0.15887686352796926,0.15859117958809207,6.8937320999126666,6.886999655277535,6.893732099912667,5.0,6.911299800508019,6.918596661240534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.5,0.0,110.0,110.0,False,False,True,False,0.14,0.15887686352796926,220.0
1.0,BIOMASS,r_2111,True,r_2115,7.875802556186166,5.0,False,False,min_of_both,optimal,optimal,optimal,0.09586516914380167,0.0742359318150691,0.09586516914380167,0.0742359318150691,7.855235961809384,5.09628363996203,7.875802556186166,5.0,7.885000342447529,6.006478785056533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13262095909362454,0.5793589933322204,0.15862448444205088,109.7398966720134,109.86817224120624,False,False,True,False,0.13262095909362454,0.09586516914380167,219.60806891321965
2.0,BIOMASS,r_2111,True,r_2115,7.84735932826479,5.0,False,False,min_of_both,optimal,optimal,optimal,0.09548336564978537,0.07396986998200225,0.09548336564978537,0.07396986998200225,7.826874644739083,5.095987962086371,7.84735932826479,5.0,7.856532466304269,6.002188749188451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12644427254985496,0.6348438008751056,0.36703067829130376,109.43956187556813,109.71585711753865,False,False,True,False,0.12644427254985496,0.09548336564978537,219.15541899310676
3.0,BIOMASS,r_2111,True,r_2115,7.789262266449291,5.0,False,False,min_of_both,optimal,optimal,optimal,0.09484635354158309,0.07368825216186399,0.09484635354158309,0.07368825216186399,7.768914245381487,5.095856645115228,7.789262266449291,5.0,7.829476295299341,5.995094302703345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11987745438751957,0.6954002066217931,0.595370221829371,109.1117936041759,109.54943572401187,False,False,True,False,0.11987745438751957,0.09484635354158309,218.66122932818777
4.0,BIOMASS,r_2111,True,r_2115,7.744297449089466,5.0,False,False,min_of_both,optimal,optimal,optimal,0.09396333266179217,0.07337366496737227,0.09396333266179217,0.07337366496737227,7.724138868382775,5.095739343083107,7.744297449089466,5.0,7.797794795034531,5.990115486542572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11338374534564002,0.7612904242980835,0.8436576135038435,108.75444491863608,109.36781410944795,False,False,True,False,0.11338374534564002,0.09396333266179217,218.12225902808404
5.0,BIOMASS,r_2111,True,r_2115,7.706856924455509,5.0,False,False,min_of_both,optimal,optimal,optimal,0.09288580232185752,0.07298960947275962,0.09288580232185752,0.07298960947275962,7.686929513522243,5.095615307810358,7.706856924455509,5.0,7.75974078627088,5.990313495564942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10678962158167969,0.8327522763032508,1.1149104925009148,108.36526137261788,109.16981329461228,False,False,True,False,0.10678962158167969,0.09288580232185752,217.53507466723016
6.0,BIOMASS,r_2111,True,r_2115,7.664134206719513,5.0,False,False,min_of_both,optimal,optimal,optimal,0.0917203301966887,0.07251759466608255,0.0917203301966887,0.07251759466608255,7.64445683229763,5.08740483967169,7.664134206719513,5.0,7.718620907257431,5.980715559832226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09965931720355573,0.910025788759715,1.4101938240670644,107.94202896836138,108.95429467690404,False,False,True,False,0.09965931720355573,0.0917203301966887,216.89632364526543
7.0,BIOMASS,r_2111,True,r_2115,7.605230465839255,5.0,False,False,min_of_both,optimal,optimal,optimal,0.09036739445672949,0.07183457731969001,0.09036739445672949,0.07183457731969001,7.585843345748844,5.087661179885488,7.605230465839255,5.0,7.66157623841315,5.962380844318669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09196781817099732,0.9934101867264241,1.7311942784237682,107.48266304670013,108.72024843716368,False,False,True,False,0.09196781817099732,0.09036739445672949,216.2029114838638
8.0,BIOMASS,r_2111,True,r_2115,7.514254930237504,5.0,False,False,min_of_both,optimal,optimal,optimal,0.0887975874832265,0.07104828403576798,0.0887975874832265,0.07104828403576798,7.49520459131133,5.088423030271354,7.514254930237504,5.0,7.572372016252747,5.929491682262769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08370148640730368,1.0830923050374626,2.0789343816490318,106.98520060329443,108.46679071129807,False,False,True,False,0.08370148640730368,0.0887975874832265,215.4519913145925
9.0,BIOMASS,r_2111,True,r_2115,7.438483086765099,5.0,False,False,min_of_both,optimal,optimal,optimal,0.08682208216343996,0.07018065227364115,0.08682208216343996,0.07018065227364115,7.419856566176326,5.090313501233682,7.438483086765099,5.0,7.497277152544738,5.891570830325567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748573322836914,1.1791721127627286,2.453783766137725,106.44796996154392,108.1933003630746,False,False,True,False,0.0748573322836914,0.08682208216343996,214.64127032461852
10.0,BIOMASS,r_2111,True,r_2115,7.081659574805662,5.0,False,False,min_of_both,optimal,optimal,optimal,0.08146865904741364,0.06915456326549065,0.08146865904741364,0.06915456326549065,7.064181559797571,5.095901357024354,7.081659574805662,5.0,7.047646335225026,5.848923438490255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065462879165714,1.2814479126437912,2.8574562442360625,105.869789593387,107.89959320305603,False,False,True,False,0.065462879165714,0.08146865904741364,213.76938279644304
