exchange_id,exchange_name,met_id,formula,flux,lb,ub,direction
r_1702,cytidine exchange,s_0544,C9H13N3O5,0.0,0.0,1000.0,zero
r_1705,cytosine exchange,s_0546,C4H5N3O,0.0,0.0,1000.0,zero
r_1706,D-arabinose exchange,s_0549,C5H10O5,0.0,0.0,1000.0,zero
r_1710,D-galactose exchange,s_0559,C6H12O6,0.0,0.0,1000.0,zero
r_1711,D-galacturonate exchange,s_0560,C6H9O7,0.0,0.0,1000.0,zero
r_1712,D-glucitol exchange,s_0562,C6H14O6,0.0,0.0,1000.0,zero
r_1714,D-glucose exchange,s_0565,C6H12O6,0.0,-2.1932614400403523,0.0,zero
r_1715,D-mannose exchange,s_0572,C6H12O6,0.0,0.0,1000.0,zero
r_1716,D-ribose exchange,s_0576,C5H10O5,0.0,0.0,1000.0,zero
r_1718,D-xylose exchange,s_0579,C5H10O5,0.0,0.0,1000.0,zero
r_1730,deoxycytidine exchange,s_0611,C9H13N3O4,0.0,0.0,1000.0,zero
r_1749,dTTP exchange,s_0651,C10H13N2O14P3,0.0,0.0,1000.0,zero
r_1753,episterol exchange,s_0659,C28H46O,0.0,0.0,1000.0,zero
r_1757,ergosterol exchange,s_0668,C28H44O,0.0,-1000.0,0.0,zero
r_1764,ethanolamine exchange,s_0684,C2H8NO,0.0,0.0,1000.0,zero
r_1765,ethyl acetate exchange,s_0686,C4H8O2,0.0,0.0,1000.0,zero
r_1788,fecosterol exchange,s_0702,C28H46O,0.0,0.0,1000.0,zero
r_1791,FMN exchange,s_0715,C17H18N4O9P,0.0,0.0,1000.0,zero
r_1792,folic acid exchange,s_0720,C19H17N7O6,0.0,0.0,1000.0,zero
r_1793,formate exchange,s_0723,CHO2,0.0,0.0,1000.0,zero
r_1798,fumarate exchange,s_0726,C4H2O4,0.0,0.0,1000.0,zero
r_1800,gamma-aminobutyrate exchange,s_0736,C4H9NO2,0.0,0.0,0.0,zero
r_1806,glutathione disulfide exchange,s_0755,C20H30N6O12S2,0.0,0.0,1000.0,zero
r_1807,glutathione exchange,s_0751,C10H16N3O6S,0.0,0.0,1000.0,zero
r_1810,L-glycine exchange,s_1004,C2H5NO2,0.0,0.0,0.0,zero
r_1815,glyoxylate exchange,s_0780,C2HO3,0.0,0.0,1000.0,zero
r_1818,guanine exchange,s_0788,C5H5N5O,0.0,0.0,1000.0,zero
r_1820,guanosine exchange,s_0791,C10H13N5O5,0.0,0.0,1000.0,zero
r_1834,hexadecanal exchange,s_0826,C16H32O,0.0,0.0,1000.0,zero
r_1841,hypoxanthine exchange,s_0844,C5H4N4O,0.0,0.0,1000.0,zero
r_1843,indol-3-ylacetaldehyde exchange,s_0851,C10H9NO,0.0,0.0,1000.0,zero
r_1847,inosine exchange,s_0857,C10H12N4O5,0.0,0.0,1000.0,zero
r_1861,iron(2+) exchange,s_0925,Fe,0.0,-0.001,0.0,zero
r_1862,isoamyl acetate exchange,s_0928,C7H14O2,0.0,0.0,1000.0,zero
r_1865,isoamylol exchange,s_0930,C5H12O,0.0,0.0,1000.0,zero
r_1866,isobutanol exchange,s_0933,C4H10O,0.0,0.0,1000.0,zero
r_1867,isobutyl acetate exchange,s_0936,C6H12O2,0.0,0.0,1000.0,zero
r_1870,isobutyraldehyde exchange,s_0938,C4H8O,0.0,0.0,1000.0,zero
r_1873,L-alanine exchange,s_0956,C3H7NO2,0.0,-0.0,0.0,zero
r_1875,L-arabinitol exchange,s_0962,C5H12O5,0.0,0.0,1000.0,zero
r_1878,L-arabinose exchange,s_0964,C5H10O5,0.0,0.0,1000.0,zero
r_1879,L-arginine exchange,s_0966,C6H15N4O2,0.0,-0.0,0.0,zero
r_1880,L-asparagine exchange,s_0970,C4H8N2O3,0.0,0.0,0.0,zero
r_1881,L-aspartate exchange,s_0974,C4H6NO4,0.0,0.0,0.0,zero
r_1883,L-cysteine exchange,s_0982,C3H7NO2S,0.0,0.0,0.0,zero
r_1886,L-glucitol exchange,s_0990,C6H14O6,0.0,0.0,1000.0,zero
r_1889,L-glutamate exchange,s_0992,C5H8NO4,0.0,-0.0,0.0,zero
r_1891,L-glutamine exchange,s_1000,C5H10N2O3,0.0,-0.0,0.0,zero
r_1893,L-histidine exchange,s_1007,C6H9N3O2,0.0,0.0,0.0,zero
r_1896,L-homoserine exchange,s_1015,C4H9NO3,0.0,0.0,1000.0,zero
r_1897,L-isoleucine exchange,s_1017,C6H13NO2,0.0,0.0,0.0,zero
r_1899,L-leucine exchange,s_1022,C6H13NO2,0.0,0.0,0.0,zero
r_1900,L-lysine exchange,s_1026,C6H15N2O2,0.0,0.0,0.0,zero
r_1902,L-methionine exchange,s_1030,C5H11NO2S,0.0,0.0,0.0,zero
r_1903,L-phenylalanine exchange,s_1033,C9H11NO2,0.0,0.0,0.0,zero
r_1904,L-proline exchange,s_1036,C5H9NO2,0.0,0.0,0.0,zero
r_1906,L-serine exchange,s_1041,C3H7NO3,0.0,-0.0,0.0,zero
r_1909,L-sorbose exchange,s_1044,C6H12O6,0.0,0.0,1000.0,zero
r_1911,L-threonine exchange,s_1046,C4H9NO3,0.0,-0.0,0.0,zero
r_1912,L-tryptophan exchange,s_1049,C11H12N2O2,0.0,-0.0,0.0,zero
r_1913,L-tyrosine exchange,s_1052,C9H11NO3,0.0,0.0,0.0,zero
r_1914,L-valine exchange,s_1057,C5H11NO2,0.0,0.0,0.0,zero
r_1915,lanosterol exchange,s_1061,C30H50O,0.0,-1000.0,0.0,zero
r_1916,laurate exchange,s_1067,C12H23O2,0.0,0.0,1000.0,zero
r_1931,maltose exchange,s_1106,C12H22O11,0.0,0.0,1000.0,zero
r_1947,myo-inositol exchange,s_1154,C6H12O6,0.0,-0.01,0.0,zero
r_1952,"N,N'-diformyldityrosine exchange",s_1186,C20H22N2O8,0.0,0.0,1000.0,zero
r_1967,nicotinate exchange,s_1220,C6H4NO2,0.0,0.0,0.0,zero
r_1968,NMN exchange,s_1225,C11H14N2O8P,0.0,0.0,1000.0,zero
r_1984,octanoate exchange,s_1250,C8H15O2,0.0,0.0,1000.0,zero
r_1987,ornithine exchange,s_1267,C5H13N2O2,0.0,0.0,0.0,zero
r_1992,oxygen exchange,s_1277,O2,0.0,0.0,0.0,zero
r_1993,palmitate exchange,s_1288,C16H31O2,0.0,0.0,1000.0,zero
r_1994,palmitoleate exchange,s_1295,C16H29O2,0.0,-1000.0,0.0,zero
r_1999,pectin exchange,s_1309,C6H7O6,0.0,0.0,1000.0,zero
r_2000,phenethyl acetate exchange,s_1317,C10H12O2,0.0,0.0,1000.0,zero
r_2001,phenylacetaldehyde exchange,s_1319,C8H8O,0.0,0.0,1000.0,zero
r_2020,potassium exchange,s_1374,K,0.0,-0.001,0.0,zero
r_2024,putrescine exchange,s_1390,C4H14N2,0.0,0.0,1000.0,zero
r_2028,pyridoxine exchange,s_1397,C8H11NO3,0.0,0.0,0.0,zero
