t_h,mode,ester_rid,ester_label,alcohol_rid,alcohol_name,phi_pair,v_alcohol_baseline,v_alcohol_pairwise,v_ester_baseline,v_ester_pairwise,ratio_baseline,ratio_pairwise,lhs_margin,binding
12.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
12.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
12.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.03433848409557294,0.008406166671103579,0.0,0.0006724933336882862,0.0,0.07999999999999999,0.0,True
13.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
13.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
13.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.026864480322307076,0.007811915572113587,0.0,0.0006249532457690872,0.0,0.08000000000000003,0.0,True
14.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
14.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
14.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.019985943132561464,0.008211113820080869,0.0,0.0006568891056064702,0.0,0.08000000000000008,0.0,True
15.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
15.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
15.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.038528750466506535,0.009013758413475972,0.0,0.0007211006730780778,0.0,0.08,0.0,True
16.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
16.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
16.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.009705491106516403,0.011783569463705507,0.0,0.0009426855570964425,0.0,0.08000000000000017,0.0,True
17.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0032145247575761124,0.0,0.000257161980606089,,0.08,0.0,True
17.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0003209185558062573,0.0002971468109317212,0.0,2.3771744874537705e-05,0.0,0.08000000000000003,0.0,True
17.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.011873907324744033,0.008220401661853184,0.0,0.0006576321329482546,0.0,0.07999999999999999,0.0,True
18.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
18.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0002960621128847518,0.003110361048512375,0.0,0.0002488288838809899,0.0,0.07999999999999997,0.0,True
18.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.013218910747987084,0.0074590523858731,0.0,0.0005967241908698482,0.0,0.08000000000000003,0.0,True
19.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
19.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00027364200468680443,0.0027483854710848715,0.0,0.0002198708376867898,0.0,0.08000000000000003,0.0,True
19.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01018653067511709,0.006772327692486715,0.0,0.0005417862153989373,0.0,0.08000000000000002,0.0,True
20.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
20.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0002533864849137591,0.002421357456715524,0.0,0.00019370859653724176,0.0,0.07999999999999993,0.0,True
20.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.014752114661520075,0.006151904031606626,0.0,0.0004921523225285303,0.0,0.08000000000000003,0.0,True
21.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0004176628028755186,0.0,3.34130242300409e-05,,0.0799999999999986,0.0,True
21.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00023505963869059268,0.0017078053260337345,0.0,0.00013662442608269968,0.0,0.08000000000000054,0.0,True
21.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.02122027194909796,0.005590555364499284,0.0,0.00044724442915994284,0.0,0.08000000000000003,0.0,True
