t_h,X_gDW_L,N_gN_L,E_g_L,O2_g_L,methionol_flux_ref_mmol_gDW_h,methionol_flux_max_mmol_gDW_h,methionol_ref_g_L,methionol_max_g_L,isoamyl_flux_ref_mmol_gDW_h,isoamyl_flux_max_mmol_gDW_h,isoamyl_ref_g_L,isoamyl_max_g_L
0.0,0.5,0.14,0.0,0.008,0.0,0.0019748607142043018,0.0,0.0,0.0,0.005213105656039505,0.0,0.0
1.0,0.5793589933322202,0.13262095909362182,0.15862448444207533,0.0,0.0,0.0013984120907703686,0.0,0.00010485187235746325,0.0,0.0010311523497636744,0.0,0.0003393337149983556
2.0,0.6348438008751056,0.12644427254985371,0.36703067829133207,0.0,0.0,0.001392842616191543,0.0,0.00019088241027884054,0.0,0.0010270455654738406,0.0,0.0004171071120810383
3.0,0.6954002066217935,0.11987745438751891,0.5953702218294027,0.0,0.0,0.0013523273280928812,0.0,0.0002847765840477205,0.0,0.0009516377493969701,0.0,0.000501989399658035
4.0,0.7612904242980836,0.113383745345638,0.843657613503875,0.0,0.0,0.0012554766248879592,0.0,0.00038463538686963575,0.0,0.000988106602921262,0.0,0.000588141715674329
5.0,0.8327522763032508,0.10678962158167762,1.1149104925009476,0.0,0.0,0.001241079368883904,0.0,0.000486126663093344,0.0,0.0009767754292174932,0.0,0.0006860714663875053
6.0,0.9100257887597115,0.09965931720355906,1.4101938240670981,0.0,0.0,0.0012324606489113627,0.0,0.0005958717533390485,0.0,0.0008877894504834969,0.0,0.0007919653887981563
7.0,0.9934101867264226,0.09196781817100044,1.7311942784237702,0.0,0.0,0.0010802674274538171,0.0,0.0007149675617417553,0.0,0.0008450479069553606,0.0,0.0008971432076208802
8.0,1.0830923050374612,0.08370148640730657,2.0789343816491064,0.0,0.0,0.0010621228549501408,0.0,0.0008289215699660492,0.0,0.0008308541687926272,0.0,0.0010064306896209836
9.0,1.179228336871301,0.07485263790618946,2.4535034940234635,0.0,0.0,0.0009828228871183507,0.0,0.0009510762019985645,0.0,0.0008639330217429939,0.0,0.0011235829719987375
