t_h,X_gDW_L,N_gN_L,E_g_L,O2_g_L,methionol_flux_ref_mmol_gDW_h,methionol_flux_max_mmol_gDW_h,methionol_ref_g_L,methionol_max_g_L,isoamyl_flux_ref_mmol_gDW_h,isoamyl_flux_max_mmol_gDW_h,isoamyl_ref_g_L,isoamyl_max_g_L
10.0,1.2817282895801214,0.06544002020109062,2.856281755595948,0.0,0.0,0.0002672032250878337,0.0,0.0010741435617387222,0.0,0.0017860919474403725,0.0,0.0012562119616676736
11.0,1.3900334562039314,0.05567645895194504,3.2847518203968757,0.0,0.0,0.00023995928910955865,0.0,0.001110510553729542,0.0,0.05397173790850585,0.0,0.0015542421538018705
12.0,1.4955144782334857,0.046180475815871744,3.6997088570134844,0.0,0.0,0.00020802031839807673,0.0,0.001145929247067099,0.0,0.11136211240783939,0.0,0.01132103859680271
13.0,1.5938947205344627,0.03735138145309978,4.092974052532856,0.0,0.0,0.00016771354450895065,0.0,0.0011789636220222457,0.0,0.18148730173195718,0.0,0.03300250054244307
14.0,1.67843025035141,0.02981785167752095,4.441172165990191,0.0,0.0,0.00011733886152197664,0.0,0.0012073491832256759,0.0,0.2675886165110876,0.0,0.07066129006974509
15.0,1.7407114081710773,0.024362824719183027,4.715021648622195,0.0,0.0,6.738857849930411e-05,0.0,0.0012282621132207003,0.0,0.35198463286618226,0.0,0.12913106374324643
16.0,1.7778071944008957,0.0212570606430161,4.904284407125364,0.0,0.0,4.156823418059776e-05,0.0,0.0012407182333013344,0.0,0.3963688132581754,0.0,0.2088958047139698
17.0,1.80105709928212,0.01943732712962714,5.04706163480288,0.0,0.0,3.581938194167794e-05,0.0,0.0012485654555115836,0.0,0.4070244551538441,0.0,0.3006328221362443
18.0,1.821353565598078,0.017882340959256966,5.1800809453850585,0.0,0.0,3.3037867151076045e-05,0.0,0.001255415845317756,0.0,0.41272742511557625,0.0,0.3960679952381985
19.0,1.8402848955880595,0.016451753682516407,5.308590496115078,0.0,0.0,3.0529481807915523e-05,0.0,0.0012618054792547944,0.0,0.417796153393091,0.0,0.4939308924280676
20.0,1.8579607069211446,0.015135613387915095,5.432960717115067,0.0,0.0,2.8263677222257338e-05,0.0,0.001267771355081761,0.0,0.42230286609337864,0.0,0.5940253381860942
21.0,1.8744818516145183,0.013924764316881888,5.5535324261372905,0.0,0.0,2.6213946826456636e-05,0.0,0.0012733475109520385,0.0,0.4263100580667773,0.0,0.696171260544164
22.0,1.889941107975321,0.012810783171531337,5.670619168014515,0.0,0.0,2.435718817334403e-05,0.0,0.0012785652621862002,0.0,0.4298720515855152,0.0,0.8002033448159926
23.0,1.9044238330193317,0.011785920517808832,5.7845094220432465,0.0,0.0,2.2673182527235288e-05,0.0,0.001283453419093085,0.0,0.43303626468763606,0.0,0.9059698031447123
24.0,1.918008561263598,0.010843046876384124,5.895468619802632,0.0,0.0,2.11441675668115e-05,0.0,0.0012880384873722192,0.0,0.4358442503349769,0.0,1.013331250130996
25.0,1.9307675424244928,0.009975603126273394,6.003740971915476,0.0,0.0,1.9754484344697925e-05,0.0,0.001292344852486074,0.0,0.43833255328355114,0.0,1.1221596748608267
26.0,1.9427672468859907,0.009177554876171522,6.109551161708664,0.0,0.0,1.8490283597216004e-05,0.0,0.0012963949492780097,0.0,0.4405334211412872,0.0,1.2323374999224346
27.0,1.9540688280472727,0.0084433504860778,6.213105914541761,0.0,0.0,1.7339280114362875e-05,0.0,0.001300209418022409,0.0,0.4424753975010774,0.0,1.3437567203024627
28.0,1.9647285476825262,0.0077678824471915766,6.314595433086621,0.0,0.0,1.6290546192610798e-05,0.0,0.001303807247988856,0.0,0.4441838196166536,0.0,1.4563181149067033
29.0,1.9747981672719637,0.00714645185141625,6.414194718980977,0.0,0.0,1.533433699126511e-05,0.0,0.0013072059095251408,0.0,0.4456812380569112,0.0,1.5699305243518522
30.0,1.9843253080263565,0.00657473570330295,6.512064789662738,0.0,0.0,1.4461942198744764e-05,0.0,0.0013104214755696906,0.0,0.44698777229213155,0.0,1.6845101892479197
31.0,1.9933537821096146,0.006048756847038714,6.608353796061352,0.0,0.0,1.3665559427811057e-05,0.0,0.0013134687334450878,0.0,0.44812141342602824,0.0,1.7999801437266802
32.0,2.001923897363557,0.005564856299275617,6.703223935015207,0.0,0.0,1.2938185676120243e-05,0.0,0.001316361287708482,0.0,0.4490980774495788,0.0,1.9162696594634137
33.0,2.0100727376547014,0.005119667795333568,6.796830255812812,0.0,0.0,1.2273523909397908e-05,0.0,0.0013191116547720918,0.0,0.4499316235130653,0.0,2.0333136822829125
34.0,2.0178344207933168,0.004710094371706882,6.889283817748099,0.0,0.0,1.1665902321602183e-05,0.0,0.0013217313499555518,0.0,0.450635247585173,0.0,2.151052256526468
35.0,2.0252403358189484,0.004333286821970331,6.980683673039468,0.0,0.0,1.1110204286164696e-05,0.0,0.0013242309675742276,0.0,0.45122102446250917,0.0,2.2694303018705075
36.0,2.0323193613031045,0.003986623876212705,7.071118474254402,0.0,0.0,1.0601807382245088e-05,0.0,0.0013266202546189359,0.0,0.45169960275879967,0.0,2.3883972651571335
37.0,2.0390980661877323,0.0036676939661156884,7.160675411566744,0.0,0.0,1.0136530140849508e-05,0.0,0.0013289081785419754,0.0,0.45208056508405386,0.0,2.5079066865026998
38.0,2.0456008945566126,0.003374278448826433,7.249434712213029,0.0,0.0,9.710585338486794e-06,0.0,0.0013311029896229526,0.0,0.45237258152282894,0.0,2.627915856000803
39.0,2.0518503356250486,0.0031043361729203188,7.337470202661371,0.0,0.0,9.320538989540658e-06,0.0,0.0013332122783398423,0.0,0.45258350591417507,0.0,2.7483855090602805
40.0,2.0578670801303764,0.002855989279086693,7.424849819017455,0.0,0.0,8.96327415990952e-06,0.0,0.001335243028155462,0.0,0.4527204605975573,0.0,2.869279546677085
41.0,2.0636701642112447,0.0026275101367597576,7.5116360782783245,0.0,0.0,8.635959002078967e-06,0.0,0.0013372016640781166,0.0,0.4527899111502233,0.0,2.990564778583651
42.0,2.069277101776543,0.002417309325818977,7.597886511885878,0.0,0.0,8.33601840887988e-06,0.0,0.0013390940973393582,0.0,0.45279773248478816,0.0,3.1122106873755464
43.0,2.0747040062848265,0.0022239245797534587,7.683656356271009,0.0,0.0,8.06110884534371e-06,0.0,0.001340925766495461,0.0,0.45274924953196555,0.0,3.2341892118805338
44.0,2.0799657027813834,0.0020460106133731826,7.768993767053169,0.0,0.0,7.80909593659528e-06,0.0,0.0013427016752418184,0.0,0.4526493293215692,0.0,3.356474543341814
45.0,2.0850758309723396,0.0018823297643033277,7.853936104470109,0.0,0.0,7.578034460056764e-06,0.0,0.0013444264272027208,0.0,0.4525024537869234,0.0,3.479042948571234
46.0,2.0900469400528374,0.0017317433831590616,7.938525092176536,0.0,0.0,7.366150473909868e-06,0.0,0.0013461042579365032,0.0,0.45231265758282535,0.0,3.6018726152180687
47.0,2.09489057594896,0.0015932039125063366,8.022799131850642,0.0,0.0,7.171825280802178e-06,0.0,0.0013477390643828555,0.0,0.45208362038895017,0.0,3.724943482655969
48.0,2.099617361580307,0.0014657475995058296,8.106793568977269,0.0,0.0,6.993581061346186e-06,0.0,0.001349334431951028,0.0,0.45181869817676545,0.0,3.84823710029039
49.0,2.1042370707015605,0.0013484877915453633,8.190540937368452,0.0,0.0,6.830067944154118e-06,0.0,0.001350893659443257,0.0,0.4515209550826761,0.0,3.9717364968479587
50.0,2.1087586958367326,0.001240608768221734,8.274071184122365,0.0,0.0,6.680052381024014e-06,0.0,0.0013524197819831199,0.0,0.4511931892313666,0.0,4.0954260607972195
51.0,2.1131905107786717,0.0011413600667639953,8.357411876585576,0.0,0.0,6.542406632415258e-06,0.0,0.0013539155921121365,0.0,0.45083796764595624,0.0,4.219291430210214
52.0,2.1175401280886113,0.001050051261422876,8.440588392758375,0.0,0.0,6.416099323107909e-06,0.0,0.0013553836591937546,0.0,0.45045762154383345,0.0,4.343319394503264
53.0,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,0.0,0.0004813208534856565,0.0,0.001356826347271194,0.0,0.000707824784538051,0.0,4.467497797100067
54.0,2.1218145519957528,0.0009660471605090457,9.111750025745915,0.0,0.0,0.0004773483023784436,0.0,0.0014652719175804116,0.0,0.0007019827976153582,0.0,4.4676933182169485
55.0,2.1218145519957528,0.0009660471605090457,9.69502189500357,0.0,0.0,0.000473480781526022,0.0,0.001572822439259834,0.0,0.0006962952669510825,0.0,4.467887225612705
56.0,2.1218145519957528,0.0009660471605090457,10.2735680407055,0.0,0.0,0.00046971373365401744,0.0,0.0016795015764947921,0.0,0.0006907554906673088,0.0,4.468079561952499
57.0,2.1218145519957528,0.0009660471605090457,10.847511230781718,0.0,0.0,0.0004660428718890054,0.0,0.0017853319666789977,0.0,0.0006853571645389972,0.0,4.468270368050248
58.0,2.1218145519957528,0.0009660471605090457,11.416968995031429,0.0,0.0,0.0004624641594094068,0.0,0.0018903352813381142,0.0,0.0006800943520745752,0.0,4.468459682978462
59.0,2.1218145519957528,0.0009660471605090457,11.982053930663792,0.0,0.0,0.0004589737909439379,0.0,0.001994532282468506,0.0,0.000674961457271478,0.0,4.46864754416983
60.0,2.1218145519957528,0.0009660471605090457,12.54287398522455,0.0,0.0,0.0004555681759034032,0.0,0.0020979428747074356,0.0,0.0006699531998588501,0.0,4.468833987511262
61.0,2.1218145519957528,0.0009660471605090457,13.099532718920942,0.0,0.0,0.0004522439230042098,0.0,0.0022005861537027155,0.0,0.0006650645926555554,0.0,4.469019047431113
62.0,2.1218145519957528,0.0009660471605090457,13.65212954814892,0.0,0.0,0.0004489978262051109,0.0,0.0023024804510179075,0.0,0.0006602909208894036,0.0,4.469202756980136
63.0,2.1218145519957528,0.0009660471605090457,14.200759971842736,0.0,0.0,0.00044582685184262386,0.0,0.0024036433758689566,0.0,0.0006556277232980378,0.0,4.469385147906731
64.0,2.1218145519957528,0.0009660471605090457,14.745515782104452,0.0,0.0,0.00044272812684127504,0.0,0.002504091853962327,0.0,0.0006510707747662238,0.0,4.469566250726975
65.0,2.1218145519957528,0.0009660471605090457,15.286485260426842,0.0,0.0,0.0004396989278973575,0.0,0.0026038421636768103,0.0,0.0006466160704369122,0.0,4.469746094789845
66.0,2.1218145519957528,0.0009660471605090457,15.823753360695312,0.0,0.0,0.00043673667152920633,0.0,0.002702909969808342,0.0,0.0006422598110722085,0.0,4.469924708338067
67.0,2.1218145519957528,0.0009660471605090457,16.357401880040754,0.0,0.0,0.00043383890493420063,0.0,0.0028013103550730656,0.0,0.000637998389611328,0.0,4.470102118564909
68.0,2.1218145519957528,0.0009660471605090457,16.887509618513977,0.0,0.0,0.00043100329755816393,0.0,0.0028990578495504014,0.0,0.0006338283787622447,0.0,4.470278351667268
69.0,2.1218145519957528,0.0009660471605090457,17.41415252846194,0.0,0.0,0.0004282276333230758,0.0,0.002996166458226633,0.0,0.0006297465195904451,0.0,4.470453432895327
70.0,2.1218145519957528,0.0009660471605090457,17.937403854405158,0.0,0.0,0.0004255098034455402,0.0,0.0030926496867873326,0.0,0.0006257497109491507,0.0,4.470627386599057
71.0,2.1218145519957528,0.0009660471605090457,18.457334264143334,0.0,0.0,0.00042284779980377113,0.0,0.0031885205657917258,0.0,0.0006218349997117752,0.0,4.47080023627181
72.0,2.1218145519957528,0.0009660471605090457,18.974011971751313,0.0,,,0.0,0.0032837916733525875,,,0.0,4.470972004591196
