t_h,mode,phi_ea,status,objective_value,mu_h_inv,v_eth_acetate_mmol_gDW_h,v_ethanol_mmol_gDW_h,ea_mg_L_extrap,total_ester_mg_L_extrap,frac_ea_pct,lhs_margin_eth,binding_eth,ea_constraint_added
0.0,BIOMASS,0.0,optimal,0.1585911795880918,0.1585911795880918,0.0,6.886999655277533,0.0,76.16140429601424,0.0,0.0,True,False
0.0,BIOMASS,0.002,optimal,0.15853576966367608,0.15853576966367608,0.013729284584047647,6.864642292023825,43.54632956850004,119.63074767155014,36.40061641013715,0.0,True,True
0.0,BIOMASS,0.005,optimal,0.15845332605084975,0.15845332605084975,0.034156885497817466,6.831377099563488,108.33827384201284,184.3081453191187,58.781055853191674,0.0,True,True
0.0,BIOMASS,0.01,optimal,0.1583176814098498,0.1583176814098498,0.06776645811906414,6.776645811906415,214.9405892839843,290.72199696842824,73.93337673974713,0.0,True,True
0.0,BIOMASS,0.02,optimal,0.15805280980024672,0.15805280980024672,0.13339545409432443,6.669772704716226,423.1016096556581,498.51500642757185,84.8723918438611,0.0,True,True
53.0,TURNOVER_ATPM,0.0,optimal,6.018105231942097,0.0,0.0,6.018105231942098,0.0,,,0.0,True,False
53.0,TURNOVER_ATPM,0.002,optimal,5.97507054944344,0.0,0.011990655291491714,5.9953276457458555,42.56790757617268,42.56790757617268,100.00000000000001,0.0,True,True
53.0,TURNOVER_ATPM,0.005,optimal,5.909666975126215,0.0,0.029827993741644684,5.965598748328936,105.89206760684282,105.89206760684282,100.0,0.0,True,True
53.0,TURNOVER_ATPM,0.01,optimal,5.802117512663889,0.0,0.05913772129873699,5.913772129873699,209.94424352240034,211.5024470914039,99.26326924797701,0.0,True,True
53.0,TURNOVER_ATPM,0.02,optimal,5.592273985474834,0.0,0.11636777416848253,5.818388708424127,413.1160920924654,414.67429566146893,99.62423434842569,0.0,True,True
