t_h,mode,mu_h_inv,v_glu,v_fru,v_eth,v_N_gN_gDW_h,v_ATPM,GAM_mmol_gDW,P_gProt_gDW
0.0,BIOMASS,0.07866618383727048,2.9277472771368447,1.5036973515964451,6.923555917742866,0.00718069490832479,0.7,51.98026170194909,0.46
1.0,BIOMASS,0.07848542358793648,2.9191292265817625,1.501021899656084,6.909231761727535,0.0071638562133593585,0.7,51.939224183031016,0.4578677369936472
2.0,BIOMASS,0.07828098809589201,2.90983578800004,1.4980917079726253,6.893031485981607,0.0071448120545726515,0.7,51.901356495269624,0.4559001748242353
3.0,BIOMASS,0.07804868513977467,2.8998106999055056,1.4948749264494032,6.874622882328384,0.007123171906188024,0.7,51.866398556881144,0.45408379993683184
4.0,BIOMASS,0.07778331103455223,2.888991054895787,1.4913334363869581,6.8535935902155565,0.007098451019676595,0.7,51.83410910657935,0.45240607666824356
5.0,BIOMASS,0.0774783306197995,2.8773056593010335,1.4874209497336304,6.829425737722362,0.007070040613111145,0.7,51.80426378624902,0.45085534762489776
6.0,BIOMASS,0.07712542951414869,2.8646727110133337,1.483080339218159,6.801460460434085,0.007037166161494107,0.7,51.77665323594785,0.4494207347013005
7.0,BIOMASS,0.07671387599049745,2.8509964413059015,1.478239816362696,6.7688473339134205,0.006998827952334511,0.7,51.75108114336911,0.44809203773232664
8.0,BIOMASS,0.0762295927658046,2.836162150337483,1.4728073457412059,6.730470818658195,0.006953714618360243,0.7,51.727362165884244,0.44685962652490246
9.0,BIOMASS,0.07565377586442538,2.820028695282039,1.466662293472141,6.68484081337768,0.006900074477931216,0.7,51.70531960381407,0.44571431996381866
10.0,BIOMASS,0.07496078695401161,2.802416835322182,1.4596426216015568,6.629925635365753,0.006835519195893968,0.7,51.6847826373082,0.44464724244310944
11.0,BIOMASS,0.07411484495138933,2.7830906446960344,1.4515246944338902,6.562889850285106,0.0067567155906041836,0.7,51.66558282496261,0.44364964193818723
12.0,BIOMASS,0.07306466675482916,2.761726956273878,1.44199042399081,6.479669582627561,0.006658886392114092,0.7,51.647549359123936,0.4427126434768304
13.0,BIOMASS,0.07173447685520783,2.7378634077887805,1.4305719312835017,6.374260081797656,0.006534972743796259,0.7,51.630502198478005,0.4418268923162585
14.0,BIOMASS,0.0700083373557615,2.710806792107526,1.4165547342516542,6.237473970994073,0.0063741744675931845,0.7,51.614241481128815,0.44098200385870717
15.0,BIOMASS,0.06770171339851538,2.6794649961629315,1.398801491709069,6.054687979306105,0.00615930124541565,0.7,51.59853018698625,0.44016566280872815
16.0,BIOMASS,0.06450788438695547,2.6420274951544784,1.3754188949224893,5.801596355365477,0.005861780564317178,0.7,51.58306402399122,0.4393620584955539
17.0,BIOMASS,0.05989474907482332,2.595346271634503,1.343114931241706,5.43603329504524,0.005432044609418749,0.7,51.56741602937177,0.4385490064171067
18.0,BIOMASS,0.052914775211526315,2.5337948523971345,1.2960150762729978,4.882912600815531,0.004781826150527768,0.7,51.5509292342327,0.4376923712136348
19.0,BIOMASS,0.041968424853862936,2.447888258277446,1.2242040083208177,4.015480569164282,0.003762120461160276,0.7,51.53250315548116,0.43673497302997555
20.0,BIOMASS,0.025414441780606888,2.328366445387465,1.117684365936031,2.7066032046360107,0.002220036554657603,0.7,51.51020375587478,0.4355763214813889
21.0,BIOMASS,0.007251413413485611,2.2023881801936307,1.0025421788023228,1.9033537576294899,0.0005280622657905543,0.7,51.48097729614296,0.43405774773385764
22.0,ATPM,0.0,2.1583995199706045,0.9678756100481679,6.252550260037545,0.0,6.252550260037545,51.44310309338579,0.4320898470526432
23.0,ATPM,0.0,2.1365026121376944,0.9630828580368659,6.19917094034912,0.0,6.199170940349118,51.4015231025031,0.42992939781738
24.0,ATPM,0.0,2.1151759358457585,0.9584483623550821,6.147248596401682,0.0,6.147248596401678,51.360151011574814,0.4277797508282931
25.0,ATPM,0.0,2.094393892433358,0.9539650639146234,6.096717912695962,0.0,6.09671791269596,51.318985781101176,0.42564085207415164
26.0,ATPM,0.0,2.074132448680572,0.9496263382459817,6.0475175738531055,0.0,6.047517573853104,51.27802637677991,0.42351264781378084
27.0,ATPM,0.0,2.054369015366865,0.9454259616598163,5.999589954053362,0.0,5.999589954053359,51.23727176948025,0.421395084574712
28.0,ATPM,0.0,2.035082337152067,0.9413580805703151,5.9528808354447635,0.0,5.952880835444763,51.19672093521709,0.4192881091518384
29.0,ATPM,0.0,2.016252392552548,0.9374171836370042,5.907339152379105,0.0,5.907339152379101,51.156372855125234,0.4171916686060792
30.0,ATPM,0.0,1.997860302935911,0.9335980764239284,5.862916758719676,0.0,5.862916758719675,51.11622651543385,0.4151057102630488
31.0,ATPM,0.0,1.9798882495879122,0.9298958583116341,5.8195682157990944,0.0,5.819568215799092,51.07628090744091,0.4130301817117336
32.0,ATPM,0.0,1.9623193980181615,0.9263059014289577,5.777250598894239,0.0,5.777250598894236,51.03653502748794,0.410965030803175
33.0,ATPM,0.0,1.945137828768932,0.92282383139901,5.735923320335883,0.0,5.735923320335879,50.99698787693474,0.4089102056491591
34.0,ATPM,0.0,1.928328474076383,0.919445509717508,5.695547967587782,0.0,5.69554796758778,50.957638462134305,0.40686565462091334
35.0,ATPM,0.0,1.9118770598075443,0.9161670176023357,5.65608815481976,0.0,5.656088154819758,50.91848579440787,0.4048313263478087
36.0,ATPM,0.0,1.8957700521609997,0.9129846411712764,5.617509386664549,0.0,5.61750938666455,50.87952889002007,0.40280716971606967
