target,rid,vmin_forzado,status,mu,v_target,mu_drop_pct
methionol,r_4668,0.0001,optimal,0.07863452856735308,0.0001,0.04023999687235781
methionol,r_4668,0.001,optimal,0.07834963113809126,0.001,0.4023999687494227
methionol,r_4668,0.01,optimal,0.07550065684548936,0.01,4.023999687499448
methionol,r_4668,0.05,optimal,0.06283854887837431,0.05,20.119998437493805
methionol,r_4668,0.1,optimal,0.047010913919475546,0.1,40.239996874993054
methionol,r_4668,0.5,infeasible,,,
methionol,r_4668,1.0,infeasible,,,
isoamyl,r_1862,0.0001,optimal,0.07866618383727185,0.10028659101413344,-3.881100072217741e-12
isoamyl,r_1862,0.001,optimal,0.07866618383727084,0.10028659101414016,-2.593280502800036e-12
isoamyl,r_1862,0.01,optimal,0.07866618383727084,0.10028659101414014,-2.593280502800036e-12
isoamyl,r_1862,0.05,optimal,0.07866618383727084,0.10028659101414016,-2.593280502800036e-12
isoamyl,r_1862,0.1,optimal,0.07866618383727084,0.10028659101414016,-2.593280502800036e-12
isoamyl,r_1862,0.5,optimal,0.02951702910472632,0.5,62.47812253637964
isoamyl,r_1862,1.0,infeasible,,,
