fase,t_h,phi_ester,status,constraint_active,constraint_binding,objective_id,objective_value,mu_h_inv,v_ATPM,ester_total,higher_alcohol_total,lhs_margin
lag,0.0,0.0,optimal,False,False,r_2111,0.15909441715178477,0.15909441715178477,0.7,0.0,7.136053858400919,0.0
lag,0.0,0.03,optimal,True,True,r_2111,0.15826890871010202,0.15826890871010202,0.7,0.20317830028389042,6.772610009463011,8.326672684688674e-17
lag,0.0,0.06,optimal,True,True,r_2111,0.15751766447587798,0.15751766447587798,0.7,0.38807831935133585,6.467971989188932,-5.551115123125783e-17
lag,0.0,0.12,optimal,True,True,r_2111,0.15620119152273915,0.15620119152273915,0.7,0.7120952808775641,5.934127340646369,-1.1102230246251565e-16
exponencial,0.0,0.0,optimal,False,False,r_2111,0.15909441715178477,0.15909441715178477,0.7,0.0,7.136053858400919,0.0
exponencial,0.0,0.03,optimal,True,True,r_2111,0.15826890871010202,0.15826890871010202,0.7,0.20317830028389042,6.772610009463011,8.326672684688674e-17
exponencial,0.0,0.06,optimal,True,True,r_2111,0.15751766447587798,0.15751766447587798,0.7,0.38807831935133585,6.467971989188932,-5.551115123125783e-17
exponencial,0.0,0.12,optimal,True,True,r_2111,0.15620119152273915,0.15620119152273915,0.7,0.7120952808775641,5.934127340646369,-1.1102230246251565e-16
estacionaria,53.0,0.0,optimal,False,False,r_4046,6.005843671376215,0.0,6.005843671376215,0.0,6.005843671376203,0.0
estacionaria,53.0,0.03,optimal,True,True,r_4046,5.378721212012432,0.0,5.378721212012432,0.17154222751913722,5.718074250637907,0.0
estacionaria,53.0,0.06,optimal,True,True,r_4046,4.844987103153948,0.0,4.844987103153948,0.29114699615877415,4.852449935979569,0.0
estacionaria,53.0,0.12,optimal,True,True,r_4046,4.0586579997591485,0.0,4.0586579997591485,0.4872628449558667,4.060523707965555,5.551115123125783e-17
