t_h,mode,q_ferm,q_ferm_source,q_ferm_flux,q_ferm_macro,S_total_g_L,glucose_g_L,fructose_g_L,N_gN_L,f_sugar,f_N,v_ehrlich_floor_requested,v_ehrlich_floor_applied,floor_target_mode,floor_target_id,floor_relaxed,floor_omitted,branch_coupling_active,transport_cap_active,branch_beta,transport_gamma,atpm_free_biomass_active,atpm_free_biomass_status,atpm_old_lb,atpm_old_ub,atpm_new_lb,atpm_new_ub,cap_active,cap_applied,cap_relaxed,cap_omitted,status_baseline,status_pairwise,status_v3,objective_id,obj_baseline,obj_v3,mu_baseline,mu_v3,v_glucose_baseline,v_fructose_baseline,v_eth_baseline,v_eth_v3,v_ATPM_baseline,v_ATPM_v3,v_ADH_v3,v_ehrlich_decarb_v3,v_aldehyde_transport_sum_v3,v_r0179_v3,v_r0181_v3,v_aldh_sum_v3,v_r1865_v3,v_r1862_v3,v_r1862_pairwise,v_r1865_pairwise,v_r1862_baseline,v_r1865_baseline
0.0,BIOMASS,4.153033361259409,macro_sugar_derivative_smooth,3.3370306849145006,4.153033361259409,220.0,110.0,110.0,0.14,0.9166666666666666,1.00625,0.019153703340600035,0.019153703340600035,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.20319547354645187,0.20319547354645406,0.20319547354645187,0.20319547354645406,-1.8333333333180555,-1.5036973515964451,3.7130196033940965,0.0,0.7,0.7,2.4004321968328624,0.09073858659787948,0.018147717319575894,0.06128090848369965,0.011309960794603925,0.07259086927830358,0.06721376785028109,0.005377101428022488,0.0,0.0,0.0,0.09073858659788019
1.0,BIOMASS,4.141821405098729,macro_sugar_derivative_smooth,3.3366686455619297,4.141821405098729,219.60806891321965,109.7398966720134,109.86817224120624,0.1326209590936245,0.9165303568835842,1.00655218002782,0.01910488907129507,0.01910488907129507,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.07499258791590412,0.07487183548230864,0.07499258791590412,0.07487183548230864,-1.8329712939654845,-1.5036973515964451,6.117206742573122,6.1064462872410745,0.7,0.7,6.0828996648894105,0.019104889071295074,0.0,0.01910488907129507,0.0,0.01910488907129507,0.01768971210305099,0.0014151769682440793,0.0013934252821439675,0.017417816026799662,0.0,0.0013868870610769712
2.0,BIOMASS,4.130532041135164,macro_sugar_derivative_smooth,3.336248646261537,4.130532041135164,219.15541899310676,109.43956187556812,109.71585711753865,0.1264442725498549,0.9163723737300034,1.0068285360880846,0.019054760902371473,0.019054760902371473,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.07498294848875421,0.07480238153441719,0.07498294848875421,0.07480238153441719,-1.8325512946650917,-1.5036973515964451,6.116455872768225,6.1034062687645765,0.7,0.7,6.0936945269170675,0.025042664988251022,0.0,0.02504266498825102,0.0,0.02504266498825102,0.023187652766899085,0.0018550122213519267,0.002876438893068722,0.03595548616335905,0.0,0.010993056576884496
3.0,BIOMASS,4.118609418292909,macro_sugar_derivative_smooth,3.335787865922048,4.118609418292909,218.6612293281878,109.1117936041759,109.54943572401189,0.1198774543875195,0.9161992081566898,1.0071491149476426,0.019002218174242243,0.019002218174242243,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.0749723730937231,0.07474167862903747,0.0749723730937231,0.07474167862903747,-1.832090514325603,-1.5036973515964451,6.115632095101697,6.100733414444229,0.7,0.7,6.116768245458791,0.019002218174242243,0.0038004436348484487,0.015201774539393793,0.0,0.015201774539393793,0.017594646457631705,0.0014075717166105364,0.0034232875078657756,0.04279109384832223,0.0,0.0
4.0,BIOMASS,4.1056118279797325,macro_sugar_derivative_smooth,3.3352826028640123,4.1056118279797325,218.12225902808404,108.75444491863608,109.36781410944796,0.11338374534564,0.9160095319033522,1.0074971653960434,0.01894487377584685,0.01894487377584685,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.0749607767733611,0.07468813862818521,0.0749607767733611,0.07468813862818521,-1.8315852512675674,-1.5036973515964451,6.114728791754611,6.130934589063201,0.7,0.7,6.146957933784146,0.018944873775846728,0.0037889747551693035,0.015155899020677424,0.0,0.015155899020677424,0.017541549792450675,0.0014033239833960538,0.0036900338188923048,0.04612542273615379,0.0,0.04972263212937609
5.0,BIOMASS,4.062197668281001,macro_sugar_derivative_smooth,3.3347288572096474,4.062197668281001,217.53507466723016,108.36526137261788,109.16981329461228,0.1067896215816796,0.9158019082949388,1.0078870808787437,0.018747548226754288,0.018747548226754288,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.07494806772625026,0.0746403629945083,0.07494806772625026,0.0746403629945083,-1.8310315056132023,-1.5036973515964451,6.113738811792575,6.095996170707323,0.7,0.7,6.112009265802802,0.01874754822675429,0.0037495096453512935,0.014998038581403,0.0,0.014998038581403,0.017358840950698406,0.0013887072760558727,0.00039385500398812887,0.004923187549851615,0.0,0.037766951599011646
6.0,BIOMASS,4.040539774744395,macro_sugar_derivative_smooth,3.334122517444698,4.040539774744395,216.89632364526543,107.94202896836138,108.95429467690404,0.0996593172035557,0.9155748823272222,1.008357059219207,0.018651664867395838,0.018651664867395838,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.07489136610816027,0.07459714287243602,0.07489136610816027,0.07459714287243602,-1.8304251658482529,-1.5036973515964451,6.106836393098146,6.093828097696642,0.7,0.7,6.105335748252099,0.018651664867395754,0.0,0.018651664867395754,0.0,0.018651664867395754,0.017270060062403475,0.0013816048049922777,0.0013737853989833704,0.01717231748729213,0.0,0.027779709047091972
7.0,BIOMASS,3.9807091049403454,macro_sugar_derivative_smooth,3.3334594672723585,3.9807091049403454,216.2029114838638,107.48266304670013,108.72024843716368,0.0919678181709973,0.9153270386281149,1.0089311376816579,0.01838096311261091,0.01838096311261091,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.07457663258897365,0.07436521007749494,0.07457663258897365,0.07436521007749494,-1.8297621156759134,-1.5036973515964451,6.1050560643356535,6.130325721413257,0.7,0.7,6.13335560076845,0.01958238006854729,0.0,0.01958238006854729,0.0,0.01958238006854729,0.018131833396803045,0.0014505466717442434,0.0014505467123515734,0.01813183390439467,0.0,0.01951039757618898
8.0,BIOMASS,3.8836267410520637,macro_sugar_derivative_smooth,3.332735555585593,3.8836267410520637,215.45199131459253,106.98520060329444,108.46679071129807,0.0837014864073036,0.9150569936217802,1.0096430633218925,0.017940043740168853,0.017940043740168853,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.07425774598027977,0.0737985951189267,0.07425774598027977,0.0737985951189267,-1.8290382039891477,-1.5036973515964451,6.106369370105507,6.086835577673606,0.7,0.7,6.090531846058425,0.017940043740168894,0.0,0.017940043740168894,0.0,0.017940043740168894,0.01661115161126749,0.0013288921289013992,0.0009376652529726392,0.011720815662158,0.0,0.012606380908679448
9.0,BIOMASS,3.7421223256095826,macro_sugar_derivative_smooth,3.3319468263753262,3.7421223256095826,214.64127032461852,106.44796996154392,108.1933003630746,0.0748573322836914,0.914763502719148,1.010542147622382,0.017296221759142475,0.017296221759142475,kic_to_3mbal,r_0072,False,False,True,True,0.2,0.2,True,optimal,0.7,0.7,0.7,1000.0,False,,False,False,optimal,optimal,optimal,r_2111,0.07398681114364027,0.07326420729159266,0.07398681114364027,0.07326420729159266,-1.8282494747788811,-1.5036973515964451,6.107137842975278,6.1116370945608365,0.7,0.7,6.127354953791256,0.017296221759142475,0.0,0.01729622175914247,0.0,0.01729622175914247,0.016015020147354144,0.0012812016117883314,0.0005083524130306942,0.0063544051628836775,0.0,0.006827301729719839
