group,rid,name,note,status,old_lb,old_ub,new_lb,new_ub
Anaerobiosis (O2 apagado),r_1992,oxygen exchange,Forzar intercambio de oxígeno en cero.,updated,-1000.0,1000.0,0.0,0.0
Suplementos anaeróbicos abiertos,r_1757,ergosterol exchange,Permitir captación de suplementos en anaerobiosis.,updated,0.0,1000.0,-1000.0,0.0
Suplementos anaeróbicos abiertos,r_1915,lanosterol exchange,Permitir captación de suplementos en anaerobiosis.,updated,0.0,1000.0,-1000.0,0.0
Suplementos anaeróbicos abiertos,r_1994,palmitoleate exchange,Permitir captación de suplementos en anaerobiosis.,updated,0.0,1000.0,-1000.0,0.0
Suplementos anaeróbicos abiertos,r_2106,zymosterol exchange,Permitir captación de suplementos en anaerobiosis.,updated,0.0,1000.0,-1000.0,0.0
Suplementos anaeróbicos abiertos,r_2134,14-demethyllanosterol exchange,Permitir captación de suplementos en anaerobiosis.,updated,0.0,1000.0,-1000.0,0.0
Suplementos anaeróbicos abiertos,r_2137,"ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange",Permitir captación de suplementos en anaerobiosis.,updated,0.0,1000.0,-1000.0,0.0
Suplementos anaeróbicos abiertos,r_2189,oleate exchange,Permitir captación de suplementos en anaerobiosis.,updated,0.0,1000.0,-1000.0,0.0
Fuentes de carbono,r_1714,D-glucose exchange,Glucosa y fructosa solo como uptake.,updated,-1.0,1000.0,-1000.0,0.0
Fuentes de carbono,r_1709,D-fructose exchange,Glucosa y fructosa solo como uptake.,updated,0.0,1000.0,-1000.0,0.0
Fuentes de nitrógeno (todos),r_1654,ammonium exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,-1000.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1904,L-proline exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1891,L-glutamine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1889,L-glutamate exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1880,L-asparagine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1881,L-aspartate exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1873,L-alanine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1879,L-arginine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1810,L-glycine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
