t_h,X_gDW_L,N_gN_L,N_free_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,Carb_g_L,P_frac_gProt_gDW,C_frac_gCarb_gDW,GAM_mmol_gDW,AA_phe_mmol_L,AA_leu_mmol_L,AA_val_mmol_L,AA_met_mmol_L,AA_tyr_mmol_L,pea_g_L,pea_mg_L,isoamyl_g_L,isoamyl_mg_L,isobutanol_g_L,isobutanol_mg_L,methionol_g_L,methionol_mg_L,tyrosol_g_L,tyrosol_mg_L
0.0,0.5,0.14,0.07,110.0,110.0,0.0,0.8,0.23,0.185,0.46,0.37,51.98026170194909,0.9995002498750626,0.9995002498750626,0.9995002498750626,0.9995002498750626,0.9995002498750626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5480616197806856,0.13464795970573204,0.06847287646312694,109.7398966720134,109.86817224120624,0.18044644994666648,0.8,0.29211996487980085,0.20185779931885364,0.5330056955944054,0.36831223357627163,53.385328809128836,0.9195402298850576,0.9195402298850576,0.9195402298850576,0.9787148687274273,0.987093887080747,0.008865604922825794,8.865604922825794,0.0,0.0,0.0036310477201962955,3.6310477201962956,0.0,0.0,0.0009360653549987664,0.9360653549987664
2.0,0.6005644777633564,0.12880179582285534,0.0668050476179628,109.45577997944336,109.7240236339563,0.3776288672404491,0.8,0.3585499387637072,0.22027456777584759,0.5970215556188598,0.36677921510809625,54.61737760375844,0.845977011494253,0.845977011494253,0.845977011494253,0.9560087693598706,0.9321862906024728,0.01686625868977476,16.86625868977476,0.0,0.0,0.006575835629674918,6.575835629674917,0.0,0.0,0.007672208588494668,7.672208588494668
3.0,0.6578817410899104,0.12245408881095163,0.06469302362856022,109.14563053063569,109.5664917779216,0.5936141028745906,0.8,0.42968389536374624,0.2403805823677933,0.653132422632509,0.36538570286136174,55.69728695814938,0.7782988505747127,0.7782988505747127,0.7782988505747127,0.9312205668394432,0.857611387354275,0.024057469015040293,24.057469015040294,0.0,0.0,0.008854470451613953,8.854470451613953,0.0,0.0,0.017047653712928386,17.047653712928387
4.0,0.7203350385632579,0.11602616358271714,0.062125502976848185,108.80734503167,109.39448545681492,0.8290396037336778,0.8,0.5058267733371026,0.26228639952109295,0.7022104246740487,0.36411723084335246,56.64184184243914,0.7160349425287357,0.7160349425287357,0.7160349425287357,0.9110158206190718,0.789002476365933,0.03049071047105901,30.490710471059007,0.0,0.0,0.010486486120289537,10.486486120289536,0.0,0.0,0.025515697766368826,25.515697766368827
5.0,0.7882368800973756,0.10970179552369225,0.05933443841501784,108.43874701614912,109.20687997337471,1.0856695892301154,0.8,0.5872595249101159,0.28609864889111103,0.7450292415112171,0.36296024217462086,57.46593249203047,0.6587521471264368,0.6587521471264368,0.6587521471264368,0.8937317100545011,0.7258822782566584,0.03621302752461362,36.213027524613615,0.0,0.0,0.01148906043666663,11.48906043666663,0.0,0.0,0.033137222912152625,33.13722291215262
6.0,0.861699420448887,0.10292142518713127,0.055854377866826434,108.03757275586324,109.00249085496745,1.3655311591944899,0.8,0.6739607504514685,0.3118492955767147,0.7821297478654223,0.3619003195038269,58.17996857803142,0.6060519753563218,0.6060519753563218,0.6060519753563218,0.8742842034724845,0.6678116959961258,0.041270996113625336,41.27099611362534,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.03997107929026355,39.971079290263546
7.0,0.9410555697656504,0.09559828089594954,0.05161176185335261,107.60173314931644,108.78027741069563,1.6699140154547045,0.8,0.7662321021881416,0.3396518243460336,0.8142262017310574,0.3609264269384395,58.797696704810235,0.5575678173278161,0.5575678173278161,0.5575678173278161,0.8532338430008178,0.6143867603164357,0.04570314935897089,45.70314935897089,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.04606769030994581,46.0676903099458
8.0,1.026540362827069,0.08771346644234064,0.04660913051108066,107.12920451329359,108.53928403716512,2.000553370455126,0.8,0.864221776481228,0.36958293865702835,0.841878028157783,0.3600276735726253,59.329883562962884,0.5129623919415909,0.5129623919415909,0.5129623919415909,0.8304337214157392,0.5652358194911208,0.049546276428239916,49.54627642823991,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.05147459874697258,51.474598746972575
9.0,1.1183251462871056,0.07925590233420268,0.040852259805333246,106.6181580690097,108.27873578773854,2.3572141093181394,0.8,0.9679797981560383,0.4016953938439567,0.8655620428189232,0.35919374180005265,59.78570594360576,0.4719254005862636,0.4719254005862636,0.4719254005862636,0.8059532945749198,0.5200169539318311,0.052835066781921965,52.83506678192197,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.05623627053678783,56.23627053678783
10.0,1.2165417435831418,0.07022206188857037,0.034372584522206394,106.06712586875203,107.99819011213634,2.740920154369295,0.8,1.0774967372727902,0.4360270578742704,0.8857046977271693,0.3584152045535387,60.17337133919468,0.4341713685393625,0.4341713685393625,0.4341713685393625,0.7784675528768558,0.47841559761728464,0.055601919814279664,55.60191981427966,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.06039403222829034,60.394032228290335
11.0,1.3208625815185382,0.06065411802323282,0.027592225523946162,105.47528752796146,107.69780284374653,3.1534340740474813,0.8,1.1920927748539212,0.47244563262099565,0.9025108224986009,0.3576796248386759,60.57007560236431,0.3994376590562135,0.3994376590562135,0.3994376590562135,0.7219282311934193,0.44014234980790184,0.057885077180899705,57.88507718089971,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.06399317002054263,63.99317002054263
12.0,1.4273897593229812,0.051054619404372045,0.02063767830502832,104.86430578918711,107.37857362833512,3.570175907572749,0.8,1.3058992073285205,0.5094984602455346,0.9148862101602268,0.35694417514049737,60.96162139855935,0.3674826463317164,0.3674826463317164,0.3674826463317164,0.6641739726979458,0.4049309618232697,0.05978730252880207,59.78730252880207,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.067133566120912,67.133566120912
13.0,1.5295967126885084,0.04186254347687349,0.013878957665477261,104.29750365901619,107.04387582135833,3.9748108152740658,0.8,1.4094148869856922,0.544767540689552,0.9214290768894386,0.356151092749171,61.16863163799057,0.3380840346251791,0.3380840346251791,0.3380840346251791,0.6110400548821101,0.37253648487740815,0.06145839233743733,61.45839233743733,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.06995471144850292,69.95471144850292
14.0,1.6223086051840128,0.03356068951608456,0.007815790569600037,103.80851365150772,106.70075797427566,4.349417212829587,0.8,1.4954447289846295,0.5763471032094409,0.921800404809544,0.3552635431802249,61.180380109238705,0.31103731185516476,0.31103731185516476,0.31103731185516476,0.5621568504915413,0.3427335660872155,0.06302057056494892,63.02057056494892,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.07257150845020231,72.57150845020232
15.0,1.6978887200820214,0.026860583277834103,0.0031752762470683357,103.44688975863528,106.3599327152131,4.667479802568358,0.8,1.5534511312212602,0.6014300102056569,0.9149310628238442,0.3542222779927551,60.96304049526709,0.2861543269067516,0.2861543269067516,0.2861543269067516,0.517184302452218,0.3153148808002383,0.06464032276538394,64.64032276538394,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.07513622049308757,75.13622049308758
16.0,1.74893173785498,0.022450986547686423,0.0006605040793819222,103.25967554047729,106.03307971953116,4.903180402136032,0.8,1.5736031475770358,0.6173087767306233,0.899751038600866,0.3529633337706689,60.48275859758751,0.2632619807542115,0.2632619807542115,0.2632619807542115,0.4758095582560406,0.29008969033621923,0.06647794746734467,66.47794746734468,0.0,0.0,0.011886372507727878,11.886372507727877,0.0,0.0,0.0777950736828994,77.7950736828994
17.0,1.7781640956700764,0.020074740185342405,2.7496314502263868e-05,103.22334851224198,105.72142522170776,5.065633926011282,0.8,1.5612062798218804,0.6250382052385559,0.8779877423143906,0.35150760650299767,60.02485086925344,0.24220102229387455,0.24220102229387455,0.24220102229387455,0.4377447935955573,0.2668825151093217,0.06850166875837159,68.5016687583716,0.0,0.0,0.01205117237348729,12.05117237348729,0.0,0.0,0.08052817806291097,80.52817806291097
18.0,1.7992872595884126,0.01844346436117293,0.0,103.21719853876446,105.44011797840243,5.200984099080898,0.8,1.5374038793488856,0.6297285848621476,0.8544516008525326,0.34998779739384034,59.57187445517048,0.22282494051036458,0.22282494051036458,0.22282494051036458,0.40272521010791273,0.24553191390057597,0.0704719259674066,70.4719259674066,0.0,0.0,0.01247841228893394,12.47841228893394,0.0,0.0,0.08313604579638784,83.13604579638783
19.0,1.8186880144482778,0.016967987212279097,0.0,103.21155004177352,105.17137735082798,5.330637890497382,0.8,1.511919845667078,0.6337582212359869,0.8313244677788995,0.34847000486130414,59.12676981366877,0.2049989452695354,0.2049989452695354,0.2049989452695354,0.3705071932992797,0.2258893607885299,0.07228517434820016,72.28517434820016,0.0,0.0,0.012873027995523718,12.873027995523717,0.0,0.0,0.08553581111072138,85.53581111072138
20.0,1.8367936615884202,0.01561054823529677,0.0,103.20627861320649,104.91219171128581,5.456012486074311,0.8,1.4854368958933382,0.6372885195716597,0.8087119021353568,0.34695705505677,58.69156853333031,0.18859902964797257,0.18859902964797257,0.18859902964797257,0.34086661783533734,0.2078182119254475,0.07394853454207191,73.94853454207191,0.0,0.0,0.013223801498619086,13.223801498619085,0.0,0.0,0.0877394357771959,87.7394357771959
21.0,1.8537082104554503,0.014361704376473026,0.0,103.20135397088877,104.66177787377904,5.577459791648258,0.8,1.4581418458829352,0.6403604600546025,0.7866080743768591,0.34544835937111584,58.266158418771916,0.17351110727613475,0.17351110727613475,0.17351110727613475,0.31359728840851037,0.1911927549714117,0.07547399007212385,75.47399007212385,0.0,0.0,0.013534221029520573,13.534221029520573,0.0,0.0,0.08976260455921799,89.76260455921799
22.0,1.8695273507542711,0.013212768026355185,0.0,103.19674825492449,104.41941531581492,5.695303580716483,0.8,1.4302028261133106,0.6430117396648931,0.7650077039719624,0.3439434782301882,57.850437840922304,0.15963021869404398,0.15963021869404398,0.15963021869404398,0.28850950533582953,0.17589733457369877,0.07687256576055562,76.87256576055562,0.0,0.0,0.013807495712591496,13.807495712591496,0.0,0.0,0.09161974742270725,91.61974742270725
23.0,1.8843391235749822,0.012155746584246771,0.0,103.19243583229904,104.18444105872679,5.809841759482879,0.8,1.401770915517583,0.6452770369102317,0.7439058596088228,0.3424420948634805,57.4443118917882,0.14685980119852046,0.14685980119852046,0.14685980119852046,0.2654287449089632,0.16182554780780287,0.07815440432049417,78.15440432049417,0.0,0.0,0.014046577628841957,14.046577628841957,0.0,0.0,0.09332413983009395,93.32413983009396
24.0,1.8982245244225022,0.011183286857507028,0.0,103.18839312130805,103.95624515563271,5.9213484053317105,0.8,1.3729816187118467,0.647188250039263,0.7232977980460712,0.3409439935648062,57.047689282979356,0.13511101710263881,0.13511101710263881,0.13511101710263881,0.24419444531624612,0.14887950398317865,0.07932883709119679,79.32883709119679,0.0,0.0,0.014254182802560396,14.254182802560395,0.0,0.0,0.09488799524401241,94.88799524401242
25.0,1.9112580698001815,0.010288623908906466,0.0,103.18459842659752,103.7342664356183,6.03007568764712,0.8,1.3439562383083437,0.6487747205788079,0.7031788430585157,0.33944904187985253,56.66048001589841,0.12430213573442771,0.12430213573442771,0.12430213573442771,0.22465888969094644,0.13696914366452434,0.08040444889277618,80.40444889277617,0.0,0.0,0.014432809945579656,14.432809945579656,0.0,0.0,0.09632255003974517,96.32255003974517
26.0,1.9235083155309423,0.009465533996193948,0.0,103.18103178825544,103.5179885867897,6.1362556159283805,0.8,1.3148031287344624,0.6500634378962954,0.6835442915002631,0.33795717577485995,56.28259357383238,0.11435796487567348,0.11435796487567348,0.11435796487567348,0.20668617851567073,0.1260116121713624,0.08138913774771303,81.38913774771304,0.0,0.0,0.014584757842224998,14.584757842224999,0.0,0.0,0.09763814167219481,97.6381416721948
27.0,1.9350383336127106,0.008708291276498433,0.0,103.1776748429762,103.30693657241525,6.240101654111208,0.8,1.285618845628138,0.6510792273970682,0.6643893422141626,0.3364683872600629,55.9139375537443,0.10520932768561961,0.10520932768561961,0.10520932768561961,0.19015128423441707,0.1159306831976534,0.08229016982464779,82.29016982464779,0.0,0.0,0.014712141343467043,14.712141343467042,0.0,0.0,0.09884428058949811,98.84428058949811
28.0,1.9459061509254287,0.008011627974378557,0.0,103.17451069633178,103.10067332886554,6.341810204236773,0.8,1.2564891993077218,0.6518449236657886,0.6457090434244037,0.3349827140202964,55.554416653791506,0.09679258147077004,0.09679258147077004,0.09679258147077004,0.1749391814956637,0.10665622854184113,0.08311422998666888,83.11422998666889,0.0,0.0,0.014816906081541787,14.816906081541786,0.0,0.0,0.09994971639355095,99.94971639355094
29.0,1.956165152841502,0.007370697736428273,0.0,103.17152380526122,102.89879672771829,6.4415619714271966,0.8,1.2274902201294189,0.6523815297564068,0.6274982551173561,0.33350023069819296,55.203931949307616,0.08904917495310843,0.08904917495310843,0.08904917495310843,0.1609440469760106,0.09812373025849384,0.08386746829573788,83.86746829573788,0.0,0.0,0.014900842007401188,14.900842007401188,0.0,0.0,0.10096249870769129,100.9624987076913
