t_h,mode,reaction,fva_min_baseline,fva_max_baseline,fva_min_redox,fva_max_redox,delta_max
0.0,BIOMASS,r_0179,0.0,0.5764492433517349,0.0,0.5298881513393784,-0.046561092012356475
0.0,BIOMASS,r_0181,0.0,0.448349411495786,0.0,0.42108982368787484,-0.027259587807911156
0.0,BIOMASS,r_1865,0.0,0.5764492433517239,0.0,0.49063717716604266,-0.08581206618568121
0.0,BIOMASS,r_1862,0.0,0.23736145314482665,0.0,0.24127804712400708,0.003916593979180427
0.0,BIOMASS,r_0160,0.0,0.3909829242006264,0.0,0.3929518872369479,0.0019689630363214916
0.0,BIOMASS,r_2115,1.5155089070578915,1000.0,1.5326284270981754,5.0,-995.0
0.0,BIOMASS,r_1761,1.440232940795259,7.816590888519009,1.4521383906868015,7.454340932840019,-0.36224995567899043
53.0,TURNOVER_ATPM,r_0179,0.0,0.03842782957351159,0.0,0.07456801553220281,0.03614018595869122
53.0,TURNOVER_ATPM,r_0181,0.0,0.030238292123420395,0.0,0.053743269779518675,0.02350497765609828
53.0,TURNOVER_ATPM,r_1865,0.0,0.03842782957351098,0.0,0.06904445882611435,0.030616629252603368
53.0,TURNOVER_ATPM,r_1862,0.0,0.026732403181574868,0.0,0.05005657884982656,0.023324175668251693
53.0,TURNOVER_ATPM,r_0160,0.0,0.18054315695826495,0.0,0.1605534737474832,-0.01998968321078176
53.0,TURNOVER_ATPM,r_2115,5.566747339546448,1000.0,4.599547369201435,5.0,-995.0
53.0,TURNOVER_ATPM,r_1761,5.516596462613604,6.01950181229731,4.466063158935236,5.542988245766578,-0.4765135665307323
