state_idx,fe,cp,value
0,0,0,0.5306820777153023
0,0,1,0.6388659464527471
0,0,2,0.727667920322902
0,1,0,0.7712699350552823
0,1,1,0.9231296092691934
0,1,2,1.045958925702045
0,2,0,1.1044272712734784
0,2,1,1.3047421116086158
0,2,2,1.4505627362248168
0,3,0,1.513416243073568
0,3,1,1.6455762729102148
0,3,2,1.692836691866459
0,4,0,1.7295024389876017
0,4,1,1.7934620513585524
0,4,2,1.8178075041754487
0,5,0,1.835841630132119
0,5,1,1.8749669118096575
0,5,2,1.8948383565333224
0,6,0,1.9057574564967898
0,6,1,1.9332568120861195
0,6,2,1.949272967417373
0,7,0,1.957046959936374
0,7,1,1.9781248120752624
0,7,2,1.9911573495516905
0,8,0,1.9971246028150802
0,8,1,2.0140122954031545
0,8,2,2.024832337413009
0,9,0,2.029646921794094
0,9,1,2.043648460505564
0,9,2,2.0528458619294327
0,10,0,2.0568816354383994
0,10,1,2.068845135403658
0,10,2,2.0768595215893866
0,11,0,2.0803537878509735
0,11,1,2.090863010561724
0,11,2,2.098018716845938
0,12,0,2.1011310550651965
0,12,1,2.1105987781994133
0,12,2,2.1171340423082765
0,13,0,2.1195739422861104
0,13,1,2.129399234570435
0,13,2,2.132910768847101
0,14,0,2.1362761979038454
0,14,1,2.139655192955582
0,14,2,2.1393470401308896
0,15,0,2.1393470401308896
0,15,1,2.1393470401308896
0,15,2,2.1393470401308896
0,16,0,2.1393470401308896
0,16,1,2.1393470401308896
0,16,2,2.1393470401308896
0,17,0,2.1393470401308896
0,17,1,2.1393470401308896
0,17,2,2.1393470401308896
1,0,0,0.0688405845864969
1,0,1,0.06473028403582849
1,0,2,0.06119425301680861
1,1,0,0.05928874882867975
1,1,1,0.0513285870769041
1,1,2,0.043774402098379274
1,2,0,0.04002987747154933
1,2,1,0.027508301500441083
1,2,2,0.018362685277289088
1,3,0,0.014267843902671188
1,3,1,0.007029210648733714
1,3,2,0.005820511192767018
1,4,0,0.00375464375929717
1,4,1,0.0016804488446104191
1,4,2,0.001869608346810694
1,5,0,0.0012317706541338483
1,5,1,0.0005913618471061277
1,5,2,0.0006497649461997973
1,6,0,0.00044698683076134645
1,6,1,0.0002433913197242456
1,6,2,0.0002619585359705571
1,7,0,0.00018475971234275932
1,7,1,0.000107249701393204
1,7,2,0.00011431835004475563
1,8,0,8.186301134731943e-05
1,8,1,4.927684565730259e-05
1,8,2,5.224859283346909e-05
1,9,0,3.780567909629636e-05
1,9,1,2.3304546186433726e-05
1,9,2,2.4627000051857413e-05
1,10,0,1.7959647844814106e-05
1,10,1,1.1265419639160677e-05
1,10,2,1.1875910420923912e-05
1,11,0,8.716152079680444e-06
1,11,1,5.54365679907177e-06
1,11,2,5.832977548902693e-06
1,12,0,4.3046496150454886e-06
1,12,1,2.770161013782299e-06
1,12,2,2.910101140860847e-06
1,13,0,2.1582693870465556e-06
1,13,1,1.403407010498818e-06
1,13,2,1.4722478847900612e-06
1,14,0,1.0963911839321965e-06
1,14,1,7.190194102453925e-07
1,14,2,7.534344289833067e-07
1,15,0,7.534344289833067e-07
1,15,1,7.534344289833067e-07
