t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L
0.0,0.5,0.14,110.0,110.0,0.0,0.0,0.23
1.0,0.5393330919186352,0.13640965254583762,109.73627438077007,109.86454994996289,0.15948411056520692,0.0,0.2469432222825722
2.0,0.5816628780928608,0.132545947824226,109.45263983855656,109.71870451924863,0.33115831410463314,0.0,0.2651802078113031
3.0,0.6271960229286703,0.1283900758811307,109.1477179791163,109.5617194030813,0.515872318056293,0.0,0.2847995533967189
4.0,0.676147847843149,0.12392245079093232,108.82005930127632,109.39280881110628,0.7145140016082747,0.0,0.30589339509039554
5.0,0.7287408661972757,0.119122848410958,108.46814525804612,109.21114636583359,0.9280043421639249,0.0,0.32855671655784185
6.0,0.7852024919646673,0.11397062089050947,108.09039231632684,109.0158672728667,1.1572892787538036,0.0,0.3528862808280528
7.0,0.8457615714130221,0.10844502048413486,107.68515875077208,108.80607229993488,1.4033272057294528,0.0,0.37897902597015576
8.0,0.9106432197199289,0.10252568075711904,107.25075521225563,108.5808343453376,1.667070167954629,0.0,0.40692968906148214
9.0,0.9800611815141202,0.09619332768804194,106.7854605762882,108.33920875361844,1.9494358523483468,0.0,0.43682730304150275
10.0,1.0542065104738134,0.08943083254266525,106.2875453054857,108.08024913584867,2.2512658984038185,0.0,0.4687500178477541
11.0,1.133230660110973,0.0822247837038851,105.75530573750387,107.80303143270861,2.573263445520583,0.0,0.5027573765916087
12.0,1.2172198747792582,0.07456786643496262,105.18711467493596,107.50669061461642,2.9158983821550053,0.0,0.5388786284560619
13.0,1.3061556392973597,0.0664625375745842,104.5814970516411,107.19047730779137,3.2792608844438007,0.0,0.5770946869921083
14.0,1.3998520307738354,0.05792684607262018,103.93724555247961,106.85384688687051,3.6628293733471047,0.0,0.6173095536363266
15.0,1.4978533439923978,0.04900394499965313,103.2536024641162,106.49660348015516,4.065091449028438,0.0,0.6593036099486836
16.0,1.5992605818003789,0.03977821503255076,102.5305561577715,106.11914072048558,4.482901874738177,0.0,0.7026544212906116
17.0,1.702425498515773,0.030403700436874716,101.76934473523856,105.72285999460259,4.9103515139255896,0.0,0.7465970108732398
18.0,1.8043918465679563,0.021156049184725086,100.97334640673047,105.31092373316902,5.3367036426882715,0.0,0.7897685459228779
19.0,1.8998708355226106,0.012527761067007344,100.14968060210452,104.8896254976012,5.742612024309293,0.0,0.8297400381124045
20.0,1.979605421915287,0.005380218123126061,99.31183422545536,104.47061335961548,6.0940751904212656,0.0,0.8622692476624736
21.0,2.029915988659127,0.0009854217226757372,98.48145075183936,104.07200487252324,6.340918544295841,0.0,0.8811007621263275
22.0,2.0446357486875386,0.0,97.67603399197684,103.70537364895506,6.518916818007149,0.0,0.8834663479287652
23.0,2.0446357486875386,0.0,96.88098019468241,103.34885337921003,7.107884349130262,0.0,0.8790490161891213
24.0,2.0446357486875386,0.0,96.09399219779262,102.99409853595385,7.691823742162129,0.0,0.8746537711081758
25.0,2.0446357486875386,0.0,95.31485995458175,102.6410508249298,8.270872238927188,0.0,0.8702805022526349
