t_h,Biomass X,Glucose,Fructose,Ethanol,YAN/N,O2
0.0,0.5,110.0,110.0,0.0,0.14,0.008
1.0,0.5793589933322204,109.7398966720134,109.86817224120624,0.15862448444205088,0.13262095909362454,0.0
2.0,0.6348438008751056,109.43956187556813,109.71585711753865,0.36703067829130376,0.12644427254985496,0.0
3.0,0.6954002066217931,109.1117936041759,109.54943572401187,0.595370221829371,0.11987745438751957,0.0
4.0,0.7612904242980835,108.75444491863608,109.36781410944795,0.8436576135038435,0.11338374534564002,0.0
5.0,0.8327522763032508,108.36526137261788,109.16981329461228,1.1149104925009148,0.10678962158167969,0.0
6.0,0.910025788759715,107.94202896836138,108.95429467690404,1.4101938240670644,0.09965931720355573,0.0
7.0,0.9934101867264241,107.48266304670013,108.72024843716368,1.7311942784237682,0.09196781817099732,0.0
8.0,1.0830923050374626,106.98520060329443,108.46679071129807,2.0789343816490318,0.08370148640730368,0.0
9.0,1.1791721127627286,106.44796996154392,108.1933003630746,2.453783766137725,0.0748573322836914,0.0
10.0,1.2814479126437912,105.869789593387,107.89959320305603,2.8574562442360625,0.065462879165714,0.0
11.0,1.3857413578829065,105.27712650006146,107.58606708251936,3.2640454144691766,0.05605330069600397,0.0
12.0,1.4875496348692654,104.71631057442427,107.2551650203776,3.6647258728173675,0.046879272112716884,0.0
13.0,1.5833755512355576,104.20949882435181,106.9119435521804,4.047518731909896,0.03826841846968072,0.0
14.0,1.6677568286573936,103.7913980015007,106.56440259814347,4.393609603239893,0.030731518889557177,0.0
15.0,1.7335400859557923,103.50726878864836,106.22346986091131,4.67822324867665,0.024936602922520836,0.0
16.0,1.7761744094740772,103.38414943538658,105.89806413156015,4.885479215053546,0.021307226856496157,0.0
17.0,1.8020222124837038,103.37488932746572,105.58457971218871,5.036693265671331,0.019245739224101017,0.0
18.0,1.8223969891214815,103.36895724568019,105.30822506259636,5.169791408505827,0.017683915243480473,0.0
19.0,1.8411563696302509,103.36349548374767,105.04365637074517,5.297573367148624,0.016268785349202213,0.0
20.0,1.8586691924691177,103.3583966549741,104.7882531221138,5.421255534083492,0.014967280134296344,0.0
21.0,1.875040214069832,103.35363025970142,104.54121556638346,5.541190666078234,0.013769897723552638,0.0
22.0,1.8903612101920917,103.3491695775723,104.3018709343379,5.657688271406883,0.012668305905668427,0.0
23.0,1.9047165886161816,103.34499003340414,104.06958483129647,5.77103302872647,0.011654841433214953,0.0
24.0,1.9181840105140693,103.34106901627798,103.84377354137168,5.881486871889382,0.010722454118557758,0.0
25.0,1.9308349221482872,103.33738572473521,103.62390001146181,5.989290796517108,0.009864657789073136,0.0
26.0,1.942735054724912,103.33392102124628,103.40947015657994,6.094666525357165,0.009075485165947285,0.0
27.0,1.9539448815990927,103.33065729909602,103.20002937602938,6.197818060928795,0.008349446352671501,0.0
28.0,1.9645200389041422,103.32757835991825,102.99515940711322,6.298933100882075,0.007681490644457781,0.0
29.0,1.9745117125303,103.32466930102753,102.79447542776741,6.398184341306807,0.007066971392901158,0.0
30.0,1.9839669941451976,103.32191641176439,102.59762334315909,6.495730681212161,0.006501613681469066,0.0
31.0,1.9929292087326869,103.31930707813302,102.40427738344974,6.5917183199539,0.005981484586951541,0.0
32.0,2.0014382159285655,103.31682969506782,102.21430634244028,6.686325817092852,0.005502965819995417,0.0
33.0,2.009530687249443,103.3144735857187,102.02743613443813,6.779686928386764,0.005062728554395784,0.0
34.0,2.0172403611433025,103.31222892719354,101.8433996590477,6.871911312893462,0.0046577102700441205,0.0
35.0,2.0245982776360156,103.31008668224128,101.66193599390549,6.963098317932405,0.004285093448440591,0.0
36.0,2.0316329942061433,103.30803853640028,101.48274979263336,7.0533337059030785,0.0039422859725653445,0.0
37.0,2.0383707843897456,103.30607684017491,101.30563960107024,7.142703586359236,0.0036269030947601168,0.0
38.0,2.04483582049682,103.30419455583798,101.13042005776407,7.23128719237913,0.003336750847179307,0.0
39.0,2.051050341710412,103.30238520848894,100.95692059657952,7.319157435785834,0.003069810779404962,0.0
40.0,2.0570348087378116,103.30064284102743,100.78498426628961,7.406381411202678,0.002824225917052565,0.0
41.0,2.0628080460896485,103.29896197272897,100.6144666413352,7.493020861454014,0.0025982878436883595,0.0
42.0,2.068387372976663,103.29733756113465,100.44523481972378,7.579132605733924,0.0023904248161932913,0.0
43.0,2.073788723734736,103.29576496698951,100.27717226673487,7.664770748174276,0.0021991908308978277,0.0
44.0,2.0790267586159215,103.29423992198592,100.11013555578722,7.749980296208585,0.002023255564426002,0.0
45.0,2.0841149657161933,103.29275849908754,99.94399493844296,7.83480136080199,0.0018613951192719212,0.0
46.0,2.0890657547489773,103.29131708522728,99.77865911614032,7.919275132690736,0.0017124835097301677,0.0
47.0,2.093890543316802,103.28991235618946,99.61404406335312,8.003439523259035,0.0015754848289517543,0.0
48.0,2.098599836281216,103.28854125350139,99.45007244569939,8.087329426912246,0.001449446042635614,0.0
49.0,2.1032032987831184,103.28720096317363,99.28667308460122,8.170976962460246,0.0013334903592247646,0.0
50.0,2.1077098234214624,103.28588889614102,99.12378046477173,8.254411695190177,0.0012268111304867834,0.0
51.0,2.1121275920576603,103.28460267026844,98.96133428110308,8.337660841173387,0.001128666240047841,0.0
52.0,2.1164641326756457,103.2833400937961,98.79927902180327,8.420749455227897,0.0010383729408440139,0.0
53.0,2.120726371693124,103.28209915010918,98.63756358488202,8.503700603843868,0.0009553031055764927,0.0
54.0,2.120726371693124,102.47804088679774,98.29197845077421,9.091680702415161,0.0009553031055764927,0.0
