t_h,mode,mu_h_inv,v_glu,v_fru,v_eth,v_o2,v_N_uptake_gN_gDW_h,v_ATPM,v_Prot,GAM,Nrec_inflow_gN_L_h,Nrec_outflow_gN_L_h,Nrec_cap_gN_gDW_h,v_uptake_phe,v_uptake_leu,v_uptake_val,v_uptake_met,v_uptake_tyr,v_pea,v_isoamyl,v_isobutanol,v_methionol,v_tyrosol,v_ethyl_acetate
0.0,BIOMASS,0.15871798666444079,2.887534447774098,1.463484522233698,6.8862376575667845,1.5999998400000162,0.0048814109239182476,0.7,0.1587179866644408,51.98026170194909,0.001104,0.0,0.0,0.15992003998001,0.15992003998001,0.15992003998001,0.06544377017439118,0.15992003998001,0.1355079947644367,0.0,0.05764104319792045,0.0,0.14132385973479825,0.0
1.0,BIOMASS,0.09576930397465795,2.8774591606253965,1.459306590799878,7.808087238196632,0.0,0.003036455488686847,0.7,0.09576930397465797,54.34910796669129,0.0016215078252722005,0.0,0.0,0.12697346418617073,0.12697346418617073,0.1220173568506754,0.04141769450220778,0.12697346418617073,0.11224340977944401,0.0,0.060302937843106745,0.0,0.1157526613263382,0.0
2.0,BIOMASS,0.09538788228413522,2.865835756088633,1.4551023444742646,7.807213089799039,0.0,0.003914237335682065,0.7,0.09538788228413522,55.46571388528501,0.001953592582648213,0.0,0.0,0.10660600422694326,0.10660600422694326,0.10696784004895567,0.032252701831054165,0.10660600422694326,0.09193461540532713,0.0,0.04549921188511834,0.0,0.09542989060905147,0.0
3.0,BIOMASS,0.09475150718804137,2.8523882772187608,1.4497195183161107,7.749998857627456,0.0,0.0038878969487753704,0.7,0.09475150718804137,56.44391833381562,0.0023095961337283124,0.0,0.0,0.08953679831136498,0.08953679831136498,0.08984069883978534,0.0306537882573978,0.08953679831136498,0.07496328886653775,0.0,0.0287821553032385,0.0,0.07843524553083782,0.0
4.0,BIOMASS,0.09386936932913056,2.837627425952751,1.4436698269674373,7.734028657007265,0.0,0.00409433412767335,0.7,0.09386936932913058,57.29759167974113,0.002690518914523264,0.0,0.0,0.0752443398393118,0.0752443398393118,0.07549972974680312,0.024849742047201768,0.0752443398393118,0.06080650997151718,0.0,0.015009642105703398,0.0,0.06424614267064804,0.0
5.0,BIOMASS,0.09279291651953975,2.8210731816772463,1.4365483040859075,7.696705890382742,0.0,0.004669553464778552,0.7,0.09279291651953976,58.03946068218897,0.003097155411367162,0.0,0.0,0.06328433229154444,0.06328433229154444,0.06349912824568668,0.024564776090051477,0.06328433229154444,0.04901206913242865,0.0,0.0037027144330042646,0.0,0.0524122576304383,0.0
6.0,BIOMASS,0.0916286098664904,2.8019239487143683,1.4275759983751044,7.656560792284069,0.0,0.0051239251363332005,0.7,0.0916286098664904,58.6815847436379,0.0035302877472642128,0.0,0.0,0.053277784681888395,0.053277784681888395,0.053458617001373276,0.024305807222493602,0.053277784681888395,0.03918460082724442,0.0,0.0,0.0,0.04254212591689983,0.0
7.0,BIOMASS,0.09027702706227238,2.779604198274974,1.4162117527467322,7.5981516514269165,0.0,0.005466036505903273,0.7,0.09027702706227239,59.23584273131242,0.0039910855370606626,0.0,0.0,0.04490131667887679,0.04490131667887679,0.04505371808391732,0.024078284799526447,0.04490131667887679,0.03101601663893188,0.0,0.0,0.0,0.03432401600531679,0.0
8.0,BIOMASS,0.08870878989574472,2.7532558733041608,1.4016119875157018,7.512303399369648,0.0,0.005639283523851063,0.7,0.08870878989574472,59.71155019884792,0.004479889828387297,0.0,0.0,0.03788872948728766,0.03788872948728766,0.038017329181821324,0.0286811434850212,0.03788872948728766,0.02424463636675104,0.0,0.0,0.0,0.02749517119623184,0.0
9.0,BIOMASS,0.08673526008127579,2.721682187743186,1.3825746944390078,7.4307684564749,0.0,0.005426078878648368,0.7,0.0867352600812758,60.116617120952256,0.004996420976932406,0.0,0.0,0.0320174058038446,0.0320174058038446,0.03212607739726703,0.053224696854892985,0.0320174058038446,0.018676856724393603,0.0,0.0,0.0,0.021855075976055224,0.0
