rid,label,final_baseline_mg_L,final_full_mg_L,delta_mg_L,frac_baseline_%,frac_full_%
r_1765,ethyl acetate exchange,0.0,3.646834391513835,3.646834391513835,0.0,30.183299646996378
r_1867,isobutyl acetate exchange,0.0,0.46426757837085625,0.46426757837085625,0.0,3.842545597069449
r_1862,isoamyl acetate exchange,0.0,0.26921508553239737,0.26921508553239737,0.0,2.2281789419955027
r_2000,phenethyl acetate exchange,0.0,7.701974921155265,7.701974921155265,0.0,63.74597581393867
r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0,0.0
r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0,0.0
TOTAL,Total acetate esters,0.0,12.082291976572353,12.082291976572353,100.0,100.0
