t_h,status_v3,v_r_1765,v_r_1867,v_r_1862,v_r_2000,v_r_4647,v_r_4644,v_r_4739
0.0,optimal,0.0,0.002535705059110949,0.0014187928400444486,0.010041275769217633,0.0,0.0,0.0
1.0,optimal,0.0,0.0,0.001415176968244081,0.0,0.0,0.0,0.0
2.0,optimal,0.0,0.0,0.0014114637705460362,0.0012587259694699505,0.0,0.0,0.0
3.0,optimal,0.0,0.000789348811914307,0.0014075717166105411,0.002902182971190131,0.0,0.0,0.0
4.0,optimal,0.0,0.0,0.001403323983396067,0.004518467431503213,0.0,0.0,0.0
5.0,optimal,0.0,0.0,0.0013887072760558749,0.003645586837944686,0.0,0.0,0.0
6.0,optimal,0.0,0.0,0.0013816048049922858,0.0029192380879581896,0.0,0.0,0.0
7.0,optimal,0.0,0.0,0.0013615528231563621,0.0023142416998225,0.0,0.0,0.0
8.0,optimal,0.0,0.0,0.0013288921289013966,0.0018114671017354365,0.0,0.0,0.0
9.0,optimal,0.0,0.0,0.00128120161178833,0.0013976997473922825,0.0,0.0,0.0
10.0,optimal,0.0,0.0,0.00121478298854852,0.0010795958814900355,0.0,0.0,0.0
11.0,optimal,0.0,0.0,0.0011267428749833443,0.0008702625189184124,0.0,0.0,0.0
12.0,optimal,0.0,0.0,0.0010203299417499644,0.0007292677349724215,0.0,0.0,0.0
13.0,optimal,0.0,0.0,0.0009048187761253049,0.0006575376871480784,0.0,0.0,0.0
14.0,optimal,0.0,0.0,0.0007872749690101469,0.0006553440834310765,0.0,0.0,0.0
15.0,optimal,0.0,0.0,0.0006718481376208102,0.0006977071933434136,0.0,0.0,0.0
16.0,optimal,0.0,0.0,0.0005639056393533401,0.000712366992094596,0.0,0.0,0.0
17.0,optimal,0.0,0.0,0.0004676248289047937,0.0006675277496181895,0.0,0.0,0.0
18.0,optimal,0.0,0.0,0.00038606110427679243,0.0006071682216818951,0.0,0.0,0.0
19.0,optimal,0.0,0.0,0.00032332089207702465,0.0005513287395224711,0.0,0.0,0.0
20.0,optimal,0.0,0.0,0.00022604725264073442,0.0,0.0,0.0,0.0
21.0,optimal,0.0,0.0,0.00020860164156995592,0.00045518207241210045,0.0,0.0,0.0
22.0,optimal,0.0,0.0,0.00019898142957444544,0.0,0.0,0.0,0.0
23.0,optimal,0.0,0.0,0.00019160383023944798,0.0,0.0,0.0,0.0
24.0,optimal,0.0,0.0,0.0001849949987049294,0.0,0.0,0.0,0.0
25.0,optimal,0.0,0.0,0.00017899423190359206,0.0,0.0,0.0,0.0
26.0,optimal,0.0,0.0,0.00017353864419100538,0.0,0.0,0.0,0.0
27.0,optimal,0.0,0.0,0.00016856752511591822,0.0,0.0,0.0,0.0
28.0,optimal,0.0,0.0,0.00016402549622978864,0.0,0.0,0.0,0.0
29.0,optimal,0.0,0.0,0.00015987036190674242,0.0,0.0,0.0,0.0
30.0,optimal,0.0,0.0,0.00015606578757263305,0.0,0.0,0.0,0.0
31.0,optimal,0.0,0.0,0.00015258233174144067,0.0001754215174695861,0.0,0.0,0.0
32.0,optimal,0.0,0.0,0.00014939306389758205,0.00015919632623315313,0.0,0.0,0.0
33.0,optimal,0.0,0.0,0.00014647086658573964,0.0001443691124191693,0.0,0.0,0.0
34.0,optimal,0.0,0.0,0.00017973919282311565,0.00013081370928643001,0.0,0.0,0.0
35.0,optimal,0.0,0.0,0.00014133256192584714,0.00011841604756069639,0.0,0.0,0.0
36.0,optimal,0.0,0.0,0.0001390820060463207,0.00010707318590445011,0.0,0.0,0.0
37.0,optimal,0.0,0.0,0.00013702911549206238,0.0,0.0,0.0,0.0
38.0,optimal,0.0,0.0,0.0001351568567502074,0.0,0.0,0.0,0.0
39.0,optimal,0.0,0.0,0.00013344977527350693,7.848467677280143e-05,0.0,0.0,0.0
40.0,optimal,0.0,0.0,0.00013189225334044513,0.0,0.0,0.0,0.0
41.0,optimal,0.0,0.0,0.00013046949016619702,0.0,0.0,0.0,0.0
42.0,optimal,0.0,0.0,0.00012916985964723363,0.0,0.0,0.0,0.0
43.0,optimal,0.0,0.0,0.00012798278628107834,0.0,0.0,0.0,0.0
44.0,optimal,0.0,0.0,0.000126898640158559,0.0,0.0,0.0,0.0
45.0,optimal,0.0,0.0,0.0001259086482771408,0.0,0.0,0.0,0.0
46.0,optimal,0.0,0.0,0.00012500481447670045,0.0,0.0,0.0,0.0
47.0,optimal,0.0,0.0,0.00012418008740907606,0.0,0.0,0.0,0.0
48.0,optimal,0.0,0.0,0.00012342675476851033,0.0,0.0,0.0,0.0
49.0,optimal,0.0,0.0,0.0001234476241314442,0.0,0.0,0.0,0.0
50.0,optimal,0.0,0.0,0.00012346640308844075,0.0,0.0,0.0,0.0
51.0,optimal,0.0,0.0,0.000123483216338956,0.0,0.0,0.0,0.0
52.0,optimal,0.0,0.0,0.00012349818405890453,0.0,0.0,0.0,0.0
53.0,optimal,0.0,0.0,0.00015438927697019263,0.0,0.0,0.0,0.0
54.0,optimal,0.0,0.0,0.00015430964424643386,0.0,0.0,0.0,0.0
55.0,optimal,0.0,0.0,0.0001542298454667067,0.0,0.0,0.0,0.0
56.0,optimal,0.0,0.0,0.00015414987059287016,0.0,0.0,0.0,0.0
57.0,optimal,0.0,0.0,0.0001540697098350247,0.0,0.0,0.0,0.0
58.0,optimal,0.0,0.0,0.00015398935363337784,0.0,0.0,0.0,0.0
59.0,optimal,0.0,0.0,0.00015390879264143897,0.0,0.0,0.0,0.0
60.0,optimal,0.0,0.0,0.00015382801771042092,0.0,0.0,0.0,0.0
61.0,optimal,0.0,0.0,0.0001537470198747383,0.0,0.0,0.0,0.0
62.0,optimal,0.0,0.0,0.00015366579033850594,0.0,0.0,0.0,0.0
63.0,optimal,0.0,0.0,0.00015358432046294848,0.0,0.0,0.0,0.0
64.0,optimal,0.0,0.0,0.00015350260175464302,0.0,0.0,0.0,0.0
65.0,optimal,0.0,0.0,0.00015342062585452305,0.0,0.0,0.0,0.0
66.0,optimal,0.0,0.0,0.00015333838452757993,0.0,0.0,0.0,0.0
67.0,optimal,0.0,0.0,0.00015325586965320382,0.0,0.0,0.0,0.0
68.0,optimal,0.0,0.0,0.0001531730732161112,0.0,0.0,0.0,0.0
69.0,optimal,0.0,0.0,0.00015308998729781192,0.0,0.0,0.0,0.0
70.0,optimal,0.0,0.0,0.00015300660406857274,0.0,0.0,0.0,0.0
71.0,optimal,0.0,0.0,0.00015292291577983643,0.0,0.0,0.0,0.0
