t_h,mode,objective_id,objective_value_baseline,objective_value_full,delta_objective,mu_baseline,mu_full,v_ethanol_baseline,v_ethanol_full,v_eth_acetate_baseline,v_eth_acetate_full,phi_ea,lhs_margin_eth,binding_eth,ea_constraint_added,n_pairwise_binding,ester_r_1765_baseline,ester_r_1765_full,ester_r_1867_baseline,ester_r_1867_full,ester_r_1862_baseline,ester_r_1862_full,ester_r_2000_baseline,ester_r_2000_full,ester_r_4647_baseline,ester_r_4647_full,ester_r_4739_baseline,ester_r_4739_full
0.0,BIOMASS,r_2111,0.15887686352796926,0.1585634295832697,-0.0003134339446995704,0.15887686352796926,0.1585634295832697,6.8937320999126666,6.875802799395796,0.0,0.0068758027993958,0.001,0.0,True,True,3,0.0,0.0068758027993958,0.0,0.004012153674336683,0.0,0.0,0.0,0.010039390135587687,0.0,0.0,0.0,0.0
1.0,BIOMASS,r_2111,0.09586516914380167,0.09529876586455226,-0.0005664032792494084,0.09586516914380167,0.09529876586455226,7.855235961809384,7.812639396147301,0.0,0.007812639396147306,0.001,0.0,True,True,3,0.0,0.007812639396147306,0.0,8.336266148028405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,BIOMASS,r_2111,0.09548336564978537,0.09480462731591614,-0.0006787383338692221,0.09548336564978537,0.09480462731591614,7.826874644739083,7.787177100737895,0.0,0.0077871771007378505,0.001,0.0,True,True,3,0.0,0.0077871771007378505,0.0,0.0,0.0,0.0,0.0,0.0029881909818132517,0.0,0.0,0.0,0.0
3.0,BIOMASS,r_2111,0.09484635354158309,0.0942499101540483,-0.000596443387534798,0.09484635354158309,0.0942499101540483,7.768914245381487,7.756014961148478,0.0,0.007756014961148481,0.001,0.0,True,True,3,0.0,0.007756014961148481,0.0,0.0,0.0,0.0,0.0,0.005416367703689114,0.0,0.0,0.0,0.0
4.0,BIOMASS,r_2111,0.09396333266179217,0.09346920386256961,-0.0004941287992225596,0.09396333266179217,0.09346920386256961,7.724138868382775,7.721975982429882,0.0,0.0077219759824298856,0.001,0.0,True,True,3,0.0,0.0077219759824298856,0.0,0.0011309267830895754,0.0,0.0,0.0,0.004508745073579577,0.0,0.0,0.0,0.0
5.0,BIOMASS,r_2111,0.09288580232185752,0.09245651976071272,-0.00042928256114480035,0.09288580232185752,0.09245651976071272,7.686929513522243,7.68346347707818,0.0,0.0076834634770781805,0.001,0.0,True,True,3,0.0,0.0076834634770781805,0.0,0.0002903326586132437,0.0,0.0,0.0,0.003634356262020573,0.0,0.0,0.0,0.0
6.0,BIOMASS,r_2111,0.0917203301966887,0.09133232738323847,-0.00038800281345022225,0.0917203301966887,0.09133232738323847,7.64445683229763,7.6455069316028945,0.0,0.007645506931602894,0.001,0.0,True,True,3,0.0,0.007645506931602894,0.0,0.0,0.0,0.0,0.0,0.0029059386184040427,0.0,0.0,0.0,0.0
7.0,BIOMASS,r_2111,0.09036739445672949,0.0900092472268538,-0.00035814722987569103,0.09036739445672949,0.0900092472268538,7.585843345748844,7.5873549399902425,0.0,0.0075873549399902394,0.001,0.0,True,True,3,0.0,0.0075873549399902394,0.0,0.0,0.0,0.0,0.0,0.002300533572890421,0.0,0.0,0.0,0.0
8.0,BIOMASS,r_2111,0.0887975874832265,0.08847080015976247,-0.0003267873234640284,0.0887975874832265,0.08847080015976247,7.49520459131133,7.496130200754434,0.0,0.007496130200754435,0.001,0.0,True,True,3,0.0,0.007496130200754435,0.0,0.0,0.0,0.0,0.0,0.0017986104456129653,0.0,0.0,0.0,0.0
9.0,BIOMASS,r_2111,0.08682208216343996,0.0865217467745507,-0.0003003353888892668,0.08682208216343996,0.0865217467745507,7.419856566176326,7.418475100114625,0.0,0.007418475100114626,0.001,0.0,True,True,3,0.0,0.007418475100114626,0.0,0.0,0.0,0.0,0.0,0.0013859034600468398,0.0,0.0,0.0,0.0
10.0,BIOMASS,r_2111,0.08146865904741364,0.08146865904741084,-2.8033131371785203e-15,0.08146865904741364,0.08146865904741084,7.064181559797571,6.896714938474644,0.0,0.00689671493847466,0.001,0.0,True,True,3,0.0,0.00689671493847466,0.0,0.0,0.0,0.0,0.0,0.001079595881490068,0.0,0.0,0.0,0.0
11.0,BIOMASS,r_2111,0.07354199728095455,0.07354199728095462,6.938893903907228e-17,0.07354199728095455,0.07354199728095462,6.700386644133345,6.271654141314279,0.0,0.006271654141314276,0.001,0.0,True,True,3,0.0,0.006271654141314276,0.0,0.0,0.0,0.0,0.0,0.0008702625189184203,0.0,0.0,0.0,0.0
12.0,BIOMASS,r_2111,0.06448311770983413,0.06448311770983689,2.761679773755077e-15,0.06448311770983413,0.06448311770983689,5.9598974873520865,5.599660943410369,0.0,0.00559966094341037,0.001,0.0,True,True,3,0.0,0.00559966094341037,0.0,1.7127313109597356e-05,0.0,0.0,0.0,0.0010797805265594248,0.0,0.0,0.0,0.0
13.0,BIOMASS,r_2111,0.05334536275938318,0.05334536275938472,1.5404344466674047e-15,0.05334536275938318,0.05334536275938472,5.067067444532432,4.748590551344761,0.0,0.004748590551344762,0.001,0.0,True,True,3,0.0,0.004748590551344762,0.0,0.0,0.0,0.0,0.0,0.000657537687148079,0.0,0.0,0.0,0.0
14.0,BIOMASS,r_2111,0.039483637706231665,0.039483637706232366,7.008282842946301e-16,0.039483637706231665,0.039483637706232366,3.9853148778280514,3.7088078538528237,0.0,0.003708807853852824,0.001,0.0,True,True,3,0.0,0.003708807853852824,0.0,0.0,0.0,0.0,0.0,0.0006553440834310692,0.0,0.0,0.0,0.0
15.0,BIOMASS,r_2111,0.02461840996037358,0.024618409960372893,-6.869504964868156e-16,0.02461840996037358,0.024618409960372893,3.205970338960683,2.7301639576612216,0.0,0.0027301639576612223,0.001,0.0,True,True,3,0.0,0.0027301639576612223,0.0,0.00033607682785092674,0.0,0.0,0.0,0.0006977071933434189,0.0,0.0,0.0,0.0
16.0,BIOMASS,r_2111,0.01456708110887254,0.014567081108872577,3.642919299551295e-17,0.01456708110887254,0.014567081108872577,2.147001647643971,2.0287815906749884,0.0,0.002028781590674988,0.001,0.0,True,True,3,0.0,0.002028781590674988,0.0,0.0,0.0,0.0,0.0,0.001348979758618702,0.0,0.0,0.0,0.0
