rid,label,final_baseline_mg_L,final_constrained_mg_L,delta_mg_L
r_1765,ethyl acetate exchange,1.519750971309554e-13,2208.0921472554523,2208.0921472554523
r_1867,isobutyl acetate exchange,0.0,0.0,0.0
r_1862,isoamyl acetate exchange,0.0,0.0,0.0
r_2000,phenethyl acetate exchange,0.0,0.0,0.0
r_4647,hexyl acetate exchange,0.0,0.0,0.0
r_4739,benzyl-acetate exchange,0.0,0.0,0.0
