scenario,fase,t_h,fraction_of_optimum,rid,label,flux_ref,minimum,maximum,range
constrained,exponencial,0.0,0.99,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
baseline,estacionaria,53.0,1.0,r_1765,ethyl acetate exchange,0.0,0.0,2.8876349402993556e-15,2.8876349402993556e-15
baseline,estacionaria,53.0,1.0,r_1867,isobutyl acetate exchange,0.0,0.0,4.428499970668244e-15,4.428499970668244e-15
baseline,estacionaria,53.0,1.0,r_1862,isoamyl acetate exchange,0.0,0.0,6.757390282953771e-16,6.757390282953771e-16
baseline,estacionaria,53.0,1.0,r_2000,phenethyl acetate exchange,0.0,0.0,-2.194546280965428e-15,-2.194546280965428e-15
baseline,estacionaria,53.0,1.0,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
baseline,estacionaria,53.0,1.0,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
constrained,estacionaria,53.0,1.0,r_1765,ethyl acetate exchange,0.4872628449558667,0.4872628449558802,0.48726284495586447,-1.5709655798445965e-14
constrained,estacionaria,53.0,1.0,r_1867,isobutyl acetate exchange,0.0,-3.990580611001929e-15,1.3540474112967499e-14,1.753105472396943e-14
constrained,estacionaria,53.0,1.0,r_1862,isoamyl acetate exchange,0.0,0.0,-4.870754689412148e-16,-4.870754689412148e-16
constrained,estacionaria,53.0,1.0,r_2000,phenethyl acetate exchange,0.0,0.0,5.158919356521241e-15,5.158919356521241e-15
constrained,estacionaria,53.0,1.0,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
constrained,estacionaria,53.0,1.0,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
baseline,estacionaria,53.0,0.99,r_1765,ethyl acetate exchange,0.0,0.0,0.01688840316004442,0.01688840316004442
baseline,estacionaria,53.0,0.99,r_1867,isobutyl acetate exchange,0.0,0.0,0.010226654798052065,0.010226654798052065
baseline,estacionaria,53.0,0.99,r_1862,isoamyl acetate exchange,0.0,0.0,0.00579029699445076,0.00579029699445076
baseline,estacionaria,53.0,0.99,r_2000,phenethyl acetate exchange,0.0,0.0,0.007058911287445965,0.007058911287445965
baseline,estacionaria,53.0,0.99,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
baseline,estacionaria,53.0,0.99,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
constrained,estacionaria,53.0,0.99,r_1765,ethyl acetate exchange,0.4872628449558667,0.46566025694711416,0.5084557789328714,0.04279552198575726
constrained,estacionaria,53.0,0.99,r_1867,isobutyl acetate exchange,0.0,0.0,0.017149917684869696,0.017149917684869696
constrained,estacionaria,53.0,0.99,r_1862,isoamyl acetate exchange,0.0,0.0,0.0064389297517645485,0.0064389297517645485
constrained,estacionaria,53.0,0.99,r_2000,phenethyl acetate exchange,0.0,0.0,0.008686327405075347,0.008686327405075347
constrained,estacionaria,53.0,0.99,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
constrained,estacionaria,53.0,0.99,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
