t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,8.000000000000000383e-04
8.000000000000000000e+00,8.146647353490794607e-01,1.112772203667008464e-01,1.091110166152456173e+02,1.089163995997031691e+02,6.785675061057814261e-01,0.000000000000000000e+00
1.600000000000000000e+01,1.316037873351408205e+00,6.553280505135919420e-02,1.063659149077765562e+02,1.071733906055947472e+02,2.639585181325415419e+00,0.000000000000000000e+00
2.400000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,1.022900231347109070e+02,1.044604794738156386e+02,5.609923641856608967e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,9.572729288894431932e+01,1.016053649182070302e+02,1.042663926608622482e+01,0.000000000000000000e+00
4.000000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,8.967990327021874464e+01,9.885984383000968023e+01,1.492373507491788587e+01,0.000000000000000000e+00
4.800000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,8.405347009518365553e+01,9.619827690534110332e+01,1.916259655711495924e+01,0.000000000000000000e+00
5.600000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,7.878085528320683295e+01,9.360234262520806681e+01,2.318693165196055261e+01,0.000000000000000000e+00
6.400000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,7.381236726140967619e+01,9.105838756798320333e+01,2.702913788045745846e+01,0.000000000000000000e+00
7.200000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,6.911011015354236520e+01,8.855590256452067877e+01,3.071397179183388104e+01,0.000000000000000000e+00
