t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,AA_phe_mmol_L,AA_phe_g_L,AA_leu_mmol_L,AA_leu_g_L,AA_val_mmol_L,AA_val_g_L,AA_met_mmol_L,AA_met_g_L,AA_tyr_mmol_L,AA_tyr_g_L,pea_g_L,pea_mg_L,isoamyl_g_L,isoamyl_mg_L,isobutanol_g_L,isobutanol_mg_L,methionol_g_L,methionol_mg_L,tyrosol_g_L,tyrosol_mg_L
0.0,0.5,0.07,110.0,110.0,0.0,0.0,0.225,0.9995002498750626,0.16510744627686158,0.9995002498750626,0.13110444777611197,0.9995002498750626,0.11709145427286359,0.9995002498750626,0.1491354322838581,0.9995002498750626,0.18109945027486257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.8844929582454842,0.0577830117050155,107.91917337610724,108.94537792964987,1.4435715995733318,0.0,0.7195147894559522,0.35982008995502257,0.05943868065967018,0.35982008995502257,0.047197601199400314,0.35982008995502257,0.04215292353823089,0.83321720069398,0.12432433851554876,0.9002493475205378,0.16311617927724623,0.07092483938260635,70.92483938260635,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.007488522839990131,7.488522839990131
16.0,1.5291680925056945,0.018340842142310354,104.34100033690606,107.11794463567075,3.9314276123248244,0.0,1.4528295930855903,0.12953523238380812,0.021397925037481263,0.12953523238380812,0.016991136431784112,0.12953523238380812,0.015175052473763122,0.6612723328693515,0.09866844478743594,0.3240897651073936,0.05872182453980865,0.08694485357376186,86.94485357376186,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.07665504854344247,76.65504854344248
24.0,2.279148674685313,0.0,100.40788518986389,104.29048316873951,6.964192300646708,0.0,2.133509151182072,0.04663268365817093,0.007703253013493256,0.04663268365817093,0.006116809115442281,0.04663268365817093,0.005463018890554725,0.23805803983296642,0.03552064012347692,0.11667231543866172,0.021139856834331117,0.08694485357376186,86.94485357376186,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.09317152868242361,93.17152868242361
32.0,2.279148674685313,0.0,93.34883254780829,101.18012338016403,12.16529390902139,0.0,1.5361265888510918,0.04663268365817093,0.007703253013493256,0.04663268365817093,0.006116809115442281,0.04663268365817093,0.005463018890554725,0.23805803983296642,0.03552064012347692,0.11667231543866172,0.021139856834331117,0.08694485357376186,86.94485357376186,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.09317152868242361,93.17152868242361
40.0,2.279148674685313,0.0,86.87543068523641,98.19174966757207,17.004477735791504,0.0,1.1060111439727862,0.04663268365817093,0.007703253013493256,0.04663268365817093,0.006116809115442281,0.04663268365817093,0.005463018890554725,0.23805803983296642,0.03552064012347692,0.11667231543866172,0.021139856834331117,0.08694485357376186,86.94485357376186,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.09317152868242361,93.17152868242361
48.0,2.279148674685313,0.0,80.87607761204809,95.29501195852049,21.55434454386664,0.0,0.796328023660406,0.04663268365817093,0.007703253013493256,0.04663268365817093,0.006116809115442281,0.04663268365817093,0.005463018890554725,0.23805803983296642,0.03552064012347692,0.11667231543866172,0.021139856834331117,0.08694485357376186,86.94485357376186,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.09317152868242361,93.17152868242361
56.0,2.279148674685313,0.0,75.27276025853169,92.46856273121178,25.86571187416497,0.0,0.5733561770354924,0.04663268365817093,0.007703253013493256,0.04663268365817093,0.006116809115442281,0.04663268365817093,0.005463018890554725,0.23805803983296642,0.03552064012347692,0.11667231543866172,0.021139856834331117,0.08694485357376186,86.94485357376186,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.09317152868242361,93.17152868242361
64.0,2.279148674685313,0.0,70.00855098742403,89.69668182702057,29.97573512485902,0.0,0.41281644746555446,0.04663268365817093,0.007703253013493256,0.04663268365817093,0.006116809115442281,0.04663268365817093,0.005463018890554725,0.23805803983296642,0.03552064012347692,0.11667231543866172,0.021139856834331117,0.08694485357376186,86.94485357376186,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.09317152868242361,93.17152868242361
72.0,2.279148674685313,0.0,65.04057385377278,86.9673835751919,33.912473029886435,0.0,0.2972278421751992,0.04663268365817093,0.007703253013493256,0.04663268365817093,0.006116809115442281,0.04663268365817093,0.005463018890554725,0.23805803983296642,0.03552064012347692,0.11667231543866172,0.021139856834331117,0.08694485357376186,86.94485357376186,0.0,0.0,0.029048381761570364,29.048381761570365,0.0,0.0,0.09317152868242361,93.17152868242361
