t_h,isoamyl_acetate_baseline_mg_L,isoamyl_acetate_pairwise_mg_L,isoamyl_acetate_redox_v1_mg_L,isoamyl_acetate_redox_v2_mg_L,delta_v2_vs_baseline_mg_L,delta_v2_vs_v1_mg_L
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.05010808904652167,0.05010808904652167,0.05010808904652167
2.0,0.0,0.0,0.0,0.12013621502875951,0.12013621502875951,0.12013621502875951
3.0,0.0,0.0,0.0,0.19675741445963343,0.19675741445963343,0.19675741445963343
4.0,0.0,0.0,0.0,0.28050991610863985,0.28050991610863985,0.28050991610863985
5.0,0.0,0.0,0.0,0.3719794821872512,0.3719794821872512,0.3719794821872512
6.0,0.0,0.0,0.0,0.4720391221364103,0.4720391221364103,0.4720391221364103
7.0,0.0,0.0,0.0,0.5812928285837474,0.5812928285837474,0.5812928285837474
8.0,0.0,0.0,0.0,0.7002311883883401,0.7002311883883401,0.7002311883883401
9.0,0.0,0.0,0.0,0.8294434381866511,0.8294434381866511,0.8294434381866511
10.0,0.0,0.0,0.0,0.969588215747933,0.969588215747933,0.969588215747933
11.0,0.0,0.0,0.0,1.1208865986330796,1.1208865986330796,1.1208865986330796
12.0,0.0,0.0,0.0,1.2810444874482743,1.2810444874482743,1.2810444874482743
13.0,0.0,0.0,0.0,1.4467550894857908,1.4467550894857908,1.4467550894857908
14.0,0.0,0.0,0.0,1.6146589674901413,1.6146589674901413,1.6146589674901413
15.0,0.0,0.0,0.0,1.7780897856256879,1.7780897856256879,1.7780897856256879
16.0,0.0,0.0,0.0,1.926773976459221,1.926773976459221,1.926773976459221
17.0,0.0,0.0,0.0,2.0398945940855144,2.0398945940855144,2.0398945940855144
18.0,0.0,0.005658608904051118,0.0,2.1524712083153057,2.1524712083153057,2.1524712083153057
19.0,0.0,0.06555091670124061,0.0,2.267295140844859,2.267295140844859,2.267295140844859
20.0,0.0,0.11901818251817763,0.0,2.384321863819451,2.384321863819451,2.384321863819451
21.0,0.0,0.16657183987473678,0.0,2.5045135252910584,2.5045135252910584,2.5045135252910584
22.0,0.0,0.20040751302586743,0.0,2.6279044150818427,2.6279044150818427,2.6279044150818427
23.0,0.0,0.23211027650405835,0.0,2.7513629079813486,2.7513629079813486,2.7513629079813486
24.0,0.0,0.2618516659216781,0.0,2.8760096290404307,2.8760096290404307,2.8760096290404307
25.0,0.0,0.2897894954715478,0.0,3.0005190257791554,3.0005190257791554,3.0005190257791554
26.0,0.0,0.31412367563629684,0.0,3.125846334843211,3.125846334843211,3.125846334843211
27.0,0.0,0.33485939004109494,0.0,3.251830444885485,3.251830444885485,3.251830444885485
28.0,0.0,0.35228191767675193,0.0,3.379296836540774,3.379296836540774,3.379296836540774
29.0,0.0,0.3666537111275652,0.0,3.507049491916115,3.507049491916115,3.507049491916115
30.0,0.0,0.37821622267743893,0.0,3.635058807856399,3.635058807856399,3.635058807856399
31.0,0.0,0.3871915843274558,0.0,3.7633060732695696,3.7633060732695696,3.7633060732695696
32.0,0.0,0.39378415341207496,0.0,3.891747975938968,3.891747975938968,3.891747975938968
33.0,0.0,0.39818193456596823,0.0,4.020350945594417,4.020350945594417,4.020350945594417
34.0,0.0,0.4005578879335916,0.0,4.1490889510828834,4.1490889510828834,4.1490889510828834
35.0,0.0,0.4010711327218525,0.0,4.27795125194362,4.27795125194362,4.27795125194362
36.0,0.0,0.4010711327218525,0.0,4.406915522705215,4.406915522705215,4.406915522705215
37.0,0.0,0.40282946137990233,0.0,4.535966666981732,4.535966666981732,4.535966666981732
38.0,0.0,0.40282946137990233,0.0,4.665095393247736,4.665095393247736,4.665095393247736
39.0,0.0,0.40282946137990233,0.0,4.794294569427987,4.794294569427987,4.794294569427987
40.0,0.0,0.40282946137990233,0.0,4.923558754934309,4.923558754934309,4.923558754934309
41.0,0.0,0.40282946137990233,0.0,5.052882046191412,5.052882046191412,5.052882046191412
42.0,0.0,0.40282946137990233,0.0,5.182247847843897,5.182247847843897,5.182247847843897
43.0,0.0,0.40282946137990233,0.0,5.3116570325866,5.3116570325866,5.3116570325866
44.0,0.0,0.40282946137990233,0.0,5.44044553535091,5.44044553535091,5.44044553535091
45.0,0.0,0.40282946137990233,0.0,5.569277585151642,5.569277585151642,5.569277585151642
46.0,0.0,0.40282946137990233,0.0,5.698153540557855,5.698153540557855,5.698153540557855
47.0,0.0,0.40282946137990233,0.0,5.827073793081169,5.827073793081169,5.827073793081169
48.0,0.0,0.40282946137990233,0.0,5.956038902646055,5.956038902646055,5.956038902646055
49.0,0.0,0.40282946137990233,0.0,6.08504826814032,6.08504826814032,6.08504826814032
50.0,0.0,0.40282946137990233,0.0,6.214103953929733,6.214103953929733,6.214103953929733
51.0,0.0,0.40282946137990233,0.0,6.343206765230907,6.343206765230907,6.343206765230907
52.0,0.0,0.40282946137990233,0.0,6.472357533341526,6.472357533341526,6.472357533341526
53.0,0.0,0.40282946137990233,0.0,6.601556764540512,6.601556764540512,6.601556764540512
54.0,0.0,0.40282946137990233,0.0,7.21163275061733,7.21163275061733,7.21163275061733
55.0,0.0,0.40282946137990233,0.0,7.81661661786319,7.81661661786319,7.81661661786319
56.0,0.0,0.40282946137990233,0.0,8.416644021722803,8.416644021722803,8.416644021722803
57.0,0.0,0.40282946137990233,0.0,9.011844654919956,9.011844654919956,9.011844654919956
