t_h,isoamyl_acetate_baseline_mg_L,isoamyl_acetate_pairwise_mg_L,isoamyl_acetate_redox_v1_mg_L,isoamyl_acetate_redox_v2_mg_L,delta_v2_vs_baseline_mg_L,delta_v2_vs_v1_mg_L
58.0,0.0,0.40282946137990233,0.0,9.602342603957625,9.602342603957625,9.602342603957625
59.0,0.0,0.40282946137990233,0.0,10.188256678501949,10.188256678501949,10.188256678501949
60.0,0.0,0.40282946137990233,0.0,10.769700716125403,10.769700716125403,10.769700716125403
61.0,0.0,0.40282946137990233,0.0,11.346783864621539,11.346783864621539,11.346783864621539
62.0,0.0,0.40282946137990233,0.0,11.91961084387237,11.91961084387237,11.91961084387237
63.0,0.0,0.40282946137990233,0.0,12.488282189045677,12.488282189045677,12.488282189045677
64.0,0.0,0.40282946137990233,0.0,13.052894476719569,13.052894476719569,13.052894476719569
65.0,0.0,0.40282946137990233,0.0,13.613540535372325,13.613540535372325,13.613540535372325
66.0,0.0,0.40282946137990233,0.0,14.170309641534342,14.170309641534342,14.170309641534342
67.0,0.0,0.40282946137990233,0.0,14.723287702773584,14.723287702773584,14.723287702773584
68.0,0.0,0.40282946137990233,0.0,15.272557428574244,15.272557428574244,15.272557428574244
69.0,0.0,0.40282946137990233,0.0,15.818198490068816,15.818198490068816,15.818198490068816
70.0,0.0,0.40282946137990233,0.0,16.360287669494845,16.360287669494845,16.360287669494845
71.0,0.0,0.40282946137990233,0.0,16.898899000168093,16.898899000168093,16.898899000168093
72.0,0.0,0.40282946137990233,0.0,17.434103897692566,17.434103897692566,17.434103897692566
