eval,J,dt_s
1,35441745370626.06,7.807678937911987
2,463392090483608.56,5.262679100036621
3,5674802177656.348,8.879010677337646
4,1.8521310044851098e+17,5.281930446624756
5,3170833660103911.0,8.881423711776733
6,1912976056135.6997,8.968024015426636
7,20506090639.975925,8.247092247009277
8,4.304744481988059e+18,9.746169090270996
9,202314754287094.72,9.65776777267456
10,141071449396.83878,8.267003297805786
11,1.955446293149574e+19,4.9903404712677
12,1.4117002171017016e+16,8.502896785736084
13,3.67998165325101e+19,8.205077409744263
14,2.079963427337113e+18,4.9865336418151855
15,2.0755508407397293e+17,9.464141130447388
16,1.9027983050553412e+16,9.114542722702026
17,15164316162366.025,36.02685880661011
18,1.2297873527862012e+19,5.726300001144409
19,1.8347095056634694e+17,8.47725224494934
20,1176127632368.0095,8.322920083999634
21,4.017338393546836e+17,8.927027225494385
22,146269991114107.7,5.197587490081787
23,1503023896598248.2,10.67915153503418
24,317184916418.9419,5.000429630279541
25,31327619679270.91,9.33411455154419
26,1.5460705498578917e+19,8.578004837036133
27,302576230830.2776,9.615025758743286
28,7.56235897612399e+16,9.285772800445557
29,1104899130852555.1,8.773070335388184
30,14508440451.622149,7.232195615768433
31,203870105439.24573,7.278941869735718
32,2531268432977.4595,7.333232641220093
33,56305082145.42064,9.303054332733154
34,1445592318968058.2,9.777529001235962
35,66717902365394.164,9.43972897529602
36,2174593455191.14,8.414145708084106
37,1221848618356.72,8.94551134109497
38,7.70645058454046e+16,16.040215730667114
39,1856550073194.88,5.783446311950684
40,955868713033.6089,8.758599758148193
41,7.943544659644874e+17,5.203795433044434
42,28608742091966.402,7.348586559295654
43,7.540040979570826e+17,9.477493047714233
44,3.3675437916117124e+16,9.558846235275269
45,2099469502567161.5,10.871588945388794
46,198731230619110.47,9.68829083442688
47,156463193409.6039,8.727809190750122
48,2.092386399968838e+17,9.695070028305054
49,1996433221872466.5,9.009843349456787
50,544176141631.1143,7.9945151805877686
51,4215621610750232.5,8.673640727996826
52,3678304397396.8486,6.9301393032073975
53,3704841056511640.5,8.989248275756836
54,118406010785.34964,8.828135251998901
55,2066372901953.642,8.192791223526001
56,1.7864764543166073e+19,10.622106075286865
57,391185960747.81525,8.879717111587524
58,412687141726256.8,8.660845279693604
59,5784014207549.577,10.089185237884521
60,14508440451.622149,8.316536903381348
61,3707082240.3138976,7.6994733810424805
62,30264393870.715637,8.639364242553711
63,26865107944766.934,37.94126343727112
64,6172400902859.232,9.199595928192139
65,914004147286.1774,8.082960605621338
66,13187298748.870638,10.534965753555298
67,14926563235.173021,9.039833307266235
68,753610209442378.2,9.198578357696533
69,20193266475.917778,10.668511629104614
70,28919752929.012463,8.187238454818726
71,7071994028044579.0,9.876810312271118
72,269731222298.30237,9.194277286529541
73,2850674718598427.5,9.500289916992188
74,193224427958573.9,8.822840452194214
75,12847325663560.207,8.745894193649292
76,1753927047852.827,9.241328001022339
77,41298554351.93886,9.172770023345947
78,633079971012510.1,8.921742916107178
79,20507958521206.96,10.57387113571167
80,192520962522.83066,7.138575792312622
81,40201908519240.13,8.923128366470337
82,33166589358.25079,8.906682252883911
83,45746762845068.21,8.74238896369934
84,23581901939.91254,8.448031663894653
85,33165294006177.242,7.87534761428833
86,1.8528378955630483e+17,10.80229377746582
87,21216150356.59654,8.296040058135986
88,4150994031905.586,51.09126353263855
89,42113235435.287605,8.981684446334839
90,16416592745.54003,7.459507703781128
91,3077096207.3408275,6.632774829864502
92,10126995642.446049,7.810011863708496
93,54856739918.89647,9.417514324188232
94,105924495645.6725,9.915103197097778
95,9564881913.269764,8.215904712677002
96,8760417185.320423,8.071551322937012
97,4324485752.703279,9.756300210952759
98,6072025553931.02,9.901103019714355
99,18176530730.24801,9.023947477340698
100,12224039473.003178,8.08431077003479
101,57556696801166.28,8.368870735168457
102,18410786975.05154,7.973159074783325
103,16785813351011.94,7.9264748096466064
104,2051182698510.641,8.660704374313354
105,537994742624.787,7.659455060958862
106,16931543316.301924,8.426406860351562
107,20984281689.42296,7.838153123855591
108,6727088820764.619,7.519864082336426
109,621877629924.2596,8.512539386749268
110,10047808082.476002,6.726161003112793
111,404498355328.64215,8.903116703033447
112,3052826400.2367883,9.269829273223877
113,392690642265.5323,8.711812019348145
114,19120278087.42777,8.599104642868042
115,102939526275.14052,7.2462403774261475
