t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,1.000000000000000021e-02
8.000000000000000000e+00,7.162360275088470729e-01,1.204463324545049924e-01,1.080968735022589158e+02,1.091919746266305822e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.022768677096092871e+00,9.273615445893604314e-02,1.053771732509735131e+02,1.080345008595336509e+02,9.047854026653743276e-01,0.000000000000000000e+00
2.400000000000000000e+01,1.450978169736843348e+00,5.405275424509055349e-02,1.015844353647347305e+02,1.063918350444196932e+02,2.171430391500592805e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.020103574094141319e+00,2.747441464686008195e-03,9.639913839358123937e+01,1.041168242749132560e+02,3.812526835044032225e+00,0.000000000000000000e+00
4.000000000000000000e+01,2.241519445871230864e+00,0.000000000000000000e+00,9.009249328148163727e+01,1.016158239651577873e+02,3.812526835044032225e+00,0.000000000000000000e+00
4.800000000000000000e+01,2.269756011751949742e+00,0.000000000000000000e+00,8.337913705882148463e+01,9.898629908516164733e+01,3.812526835044032225e+00,0.000000000000000000e+00
5.600000000000000000e+01,2.298348275484968450e+00,0.000000000000000000e+00,7.662479076048498428e+01,9.620171746659721634e+01,3.812526835044032225e+00,0.000000000000000000e+00
6.400000000000000000e+01,2.327300717819166920e+00,0.000000000000000000e+00,6.983667809015884131e+01,9.324574138480022611e+01,3.812526835044032225e+00,0.000000000000000000e+00
7.200000000000000000e+01,2.356617875947782270e+00,0.000000000000000000e+00,6.302419978399656486e+01,9.009953668092894929e+01,3.812526835044032225e+00,0.000000000000000000e+00
