t_h,mode,mu_h_inv,v_glu,v_fru,v_eth,v_o2,v_N_uptake,v_ATPM,v_Prot,GAM,v_uptake_phe,v_turn_phe,v_uptake_leu,v_turn_leu,v_uptake_val,v_turn_val,v_uptake_met,v_turn_met,v_uptake_tyr,v_turn_tyr,v_pea,v_isoamyl,v_isobutanol,v_methionol,v_tyrosol
0.0,BIOMASS,0.15871798666444045,2.887534447774098,1.463484522233698,6.886237657567846,1.5999998400000162,0.004881410923918159,0.7,0.15871798666444048,51.98026170194909,0.15992003998001,0.0,0.15992003998001,0.0,0.15992003998001,0.0,0.06544377017478649,0.0,0.15992003998001,0.0,0.13550799476443673,0.0,0.05764104319792067,0.0,0.14132385973479825
1.0,BIOMASS,0.09576930397465831,2.8774591606253956,1.4593065907998772,7.808087238196781,0.0,0.0030364554886868475,0.7,0.09576930397465833,54.34910796669128,0.12697346418617078,0.0,0.12697346418617078,0.0,0.1220173568506191,0.0,0.041417694502080445,0.0,0.12697346418617078,0.0,0.11224340977944401,0.0,0.06030293784305014,0.0,0.1157526613263382
2.0,BIOMASS,0.09538788228413572,2.8658357560886327,1.4551023444742643,7.807213089799154,0.0,0.003914237335681996,0.7,0.09538788228413574,55.46571388528501,0.10660600422694326,0.0,0.10660600422694326,0.0,0.10696784004895979,0.0,0.03225270183098994,0.0,0.10660600422694326,0.0,0.09193461540532702,0.0,0.045499211885122126,0.0,0.09542989060905141
3.0,BIOMASS,0.09475150718804101,2.8523882772187594,1.44971951831611,7.74999885762745,0.0,0.0038878969487768475,0.7,0.09475150718804103,56.44391833381562,0.08953679831136493,0.0,0.08953679831136493,0.0,0.08984069883978875,0.0,0.030653788257428437,0.0,0.08953679831136493,0.0,0.07496328886653775,0.0,0.028782155303242143,0.0,0.07843524553083779
4.0,BIOMASS,0.0938693693291304,2.837627425952749,1.4436698269674355,7.7340286570073005,0.0,0.004094334127672386,0.7,0.0938693693291304,57.29759167974113,0.07524433983931178,0.0,0.07524433983931178,0.0,0.075499729746806,0.0,0.024849742047271115,0.0,0.07524433983931178,0.0,0.060806509971517195,0.0,0.01500964210570639,0.0,0.06424614267064804
5.0,BIOMASS,0.0927929165195355,2.8210731816772445,1.4365483040859068,7.696705890382763,0.0,0.004669553464767132,0.7,0.09279291651953551,58.03946068218897,0.06328433229154444,0.0,0.06328433229154444,0.0,0.06349912824568912,0.0,0.024564776090401,0.0,0.06328433229154444,0.0,0.0490120691324293,0.0,0.003702714433009455,0.0,0.05241225763043881
6.0,BIOMASS,0.09162860986649284,2.801923948714382,1.427575998375119,7.656560792283343,0.0,0.0051239251363359994,0.7,0.09162860986649284,58.68158474363785,0.053277784681888596,0.0,0.053277784681888596,0.0,0.053458617001375525,0.0,0.024305807222309666,0.0,0.053277784681888596,0.0,0.039184600827244245,0.0,0.0,0.0,0.04254212591689975
7.0,BIOMASS,0.09027702706227271,2.779604198274986,1.4162117527467448,7.59815165142851,0.0,0.0054660365059022945,0.7,0.09027702706227271,59.2358427313124,0.04490131667887686,0.0,0.04490131667887686,0.0,0.045053718083919114,0.0,0.02407828479961195,0.0,0.04490131667887686,0.0,0.031016016638931908,0.0,0.0,0.0,0.034324016005316836
8.0,BIOMASS,0.08876070062238581,2.753255873304176,1.401611987515718,7.506686505640067,0.0,0.0057137548215774265,0.7,0.08876070062238582,59.7115501988479,0.037888729487287706,0.0,0.037888729487287706,0.0,0.03801732918182283,0.0,0.023673856994732696,0.0,0.037888729487287706,0.0,0.02423665209834795,0.0,0.0,0.0,0.027489089080086355
9.0,BIOMASS,0.08692120898380944,2.7214649217785807,1.382350883378538,7.413954290362823,0.0,0.005705424598212002,0.7,0.08692120898380944,60.11714681435484,0.032015879254622674,0.0,0.032015879254622674,0.0,0.03212454566672286,0.0,0.03436011612816859,0.0,0.032015879254622674,0.0,0.018646729805977005,0.0,0.0,0.0,0.021831762738502722
