t_h,isoamyl_acetate_baseline_mg_L,isoamyl_acetate_pairwise_mg_L,isoamyl_acetate_redox_mg_L,delta_redox_vs_baseline_mg_L
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0
20.0,0.0,0.016452106862294622,0.04974932882937043,0.04974932882937043
21.0,0.0,0.05206037071552691,0.04974932882937043,0.04974932882937043
22.0,0.0,0.08538559140468,0.04974932882937043,0.04974932882937043
23.0,0.0,0.11661047003769874,0.04974932882937043,0.04974932882937043
24.0,0.0,0.1459039238107914,0.04974932882937043,0.04974932882937043
25.0,0.0,0.1717971527348989,0.04974932882937043,0.04974932882937043
26.0,0.0,0.19399354463517188,0.04974932882937043,0.04974932882937043
27.0,0.0,0.21278628965776236,0.04974932882937043,0.04974932882937043
28.0,0.0,0.2284451187151068,0.04974932882937043,0.04974932882937043
29.0,0.0,0.24121818021830488,0.04974932882937043,0.04974932882937043
30.0,0.0,0.2513337666708765,0.04974932882937043,0.04974932882937043
31.0,0.0,0.2590019031350279,0.04974932882937043,0.04974932882937043
32.0,0.0,0.26441580862060055,0.04974932882937043,0.04974932882937043
33.0,0.0,0.26775324056290706,0.04974932882937043,0.04974932882937043
34.0,0.0,0.26917773174228293,0.04974932882937043,0.04974932882937043
35.0,0.0,0.26917773174228293,0.04974932882937043,0.04974932882937043
36.0,0.0,0.26917773174228293,0.04974932882937043,0.04974932882937043
37.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
38.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
39.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
40.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
41.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
42.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
43.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
44.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
45.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
46.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
47.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
48.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
49.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
50.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
51.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
52.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
53.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
54.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
55.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
56.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
57.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
58.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
59.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
60.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
61.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
62.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
63.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
64.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
65.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
66.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
67.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
68.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
69.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
70.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
71.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
72.0,0.0,0.2700759701119255,0.04974932882937043,0.04974932882937043
