t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,8.000000000000000383e-04
8.000000000000000000e+00,7.984366468561593377e-01,1.127133593483658075e-01,1.092319699179707868e+02,1.089163995997031691e+02,6.088906489948511247e-01,0.000000000000000000e+00
1.600000000000000000e+01,1.265131046914496959e+00,7.006214783779553257e-02,1.067679911045672156e+02,1.072066922819565349e+02,2.436581370793053480e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.959759111767073625e+00,6.670840094627983330e-03,1.031382918582691985e+02,1.045872973364490264e+02,5.176468270336048505e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.395687889860080855e+00,0.000000000000000000e+00,1.018622174311548747e+02,1.013798385602097341e+02,7.192970309672368501e+00,0.000000000000000000e+00
4.000000000000000000e+01,2.395687889860080855e+00,0.000000000000000000e+00,1.018622174311548747e+02,1.001713654272499667e+02,7.811038619753150947e+00,0.000000000000000000e+00
4.800000000000000000e+01,2.395687889860080855e+00,0.000000000000000000e+00,1.018622174311548747e+02,9.896289229429019940e+01,8.429106929833933393e+00,0.000000000000000000e+00
5.600000000000000000e+01,2.395687889860080855e+00,0.000000000000000000e+00,1.018622174311548747e+02,9.775441916133043208e+01,9.047175239914714950e+00,0.000000000000000000e+00
6.400000000000000000e+01,2.395687889860080855e+00,0.000000000000000000e+00,1.018622174311548747e+02,9.654594602837066475e+01,9.665243549995496508e+00,0.000000000000000000e+00
7.200000000000000000e+01,2.395687889860080855e+00,0.000000000000000000e+00,1.018622174311548747e+02,9.533747289541089742e+01,1.028331186007627807e+01,0.000000000000000000e+00
