rxn_id,rxn_name,flux,lower_bound,upper_bound,active_bound,reduced_cost,abs_reduced_cost
r_1793,formate exchange,0.0,0.0,1000.0,LB,-4.178989165020676e-16,4.178989165020676e-16
r_1687,citrate exchange,0.0,0.0,1000.0,LB,3.1905927068881356e-16,3.1905927068881356e-16
r_1586,2-oxoglutarate exchange,0.0,0.0,1000.0,LB,3.1905927068881346e-16,3.1905927068881346e-16
r_1989,oxaloacetate(2-) exchange,0.0,0.0,1000.0,LB,2.8004635141286527e-16,2.8004635141286527e-16
r_4543,3-phosphonato-D-glycerate(3-) exchange,0.0,0.0,1000.0,LB,2.5802723641086696e-16,2.5802723641086696e-16
r_4523,2-phospho-D-glyceric acid exchange,0.0,0.0,1000.0,LB,2.5802723641086696e-16,2.5802723641086696e-16
r_4529,phosphoenolpyruvate exchange,0.0,0.0,1000.0,LB,2.5802723641086696e-16,2.5802723641086696e-16
r_2033,pyruvate exchange,0.0,0.0,1000.0,LB,1.163870624227944e-16,1.163870624227944e-16
r_1631,acetaldehyde exchange,0.0,0.0,1000.0,LB,7.666017983885777e-17,7.666017983885777e-17
r_4737,ethyl-pyruvate exchange,0.0,0.0,1000.0,LB,7.666017983885776e-17,7.666017983885776e-17
r_1552,(S)-malate exchange,0.0,0.0,1000.0,LB,7.180871131000528e-17,7.180871131000528e-17
r_1862,isoamyl acetate exchange,0.0,0.0,1000.0,LB,-6.903148747307688e-17,6.903148747307688e-17
r_1650,trehalose exchange,0.0,0.0,1000.0,LB,-5.572246278782921e-17,5.572246278782921e-17
r_4528,triphosphate exchange,0.0,0.0,1000.0,LB,-5.009041717105054e-17,5.009041717105054e-17
r_1663,bicarbonate exchange,0.0,0.0,0.0,LB,3.9726882583936625e-17,3.9726882583936625e-17
r_1634,acetate exchange,0.0,0.0,1000.0,LB,-3.9668139476254157e-17,3.9668139476254157e-17
r_1551,(S)-lactate exchange,0.0,0.0,1000.0,LB,3.290701443839149e-17,3.290701443839149e-17
r_2066,thiamine(1+) diphosphate(1-) exchange,0.0,0.0,1000.0,LB,-3.0452375748124404e-17,3.0452375748124404e-17
r_4527,diphosphate exchange,0.0,0.0,1000.0,LB,-2.9363347996822724e-17,2.9363347996822724e-17
r_4733,monoethyl-succinate exchange,0.0,0.0,1000.0,LB,2.93633479968227e-17,2.93633479968227e-17
r_4533,cysteamine S-phosphate exchange,0.0,0.0,1000.0,LB,-2.0727069174227822e-17,2.0727069174227822e-17
r_4503,alpha-maltotriose exchange,0.0,0.0,1000.0,LB,1.0363534587113913e-17,1.0363534587113913e-17
r_1931,maltose exchange,0.0,0.0,1000.0,LB,1.0363534587113911e-17,1.0363534587113911e-17
r_4522,glycerol 1-phosphate exchange,0.0,0.0,1000.0,LB,-1.036353458711391e-17,1.036353458711391e-17
r_4535,glycerol 2-phosphate(2-) exchange,0.0,0.0,1000.0,LB,-1.036353458711391e-17,1.036353458711391e-17
