fase,t_h,mode,mu_h_inv,X_gDW_L,N_gN_L,E_g_L,O2_g_L
lag,0.0,BIOMASS,0.15871798666444045,0.5,0.14,0.0,0.008
exponencial,0.0,BIOMASS,0.15871798666444045,0.5,0.14,0.0,0.008
estacionaria,53.0,TURNOVER_ATPM,0.0,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0
