t_h,fase,mode,objective_id,objective_value_baseline,objective_value_constrained,mu_h_inv_baseline,mu_h_inv_constrained,v_ATPM_baseline,v_ATPM_constrained,ester_total_baseline,ester_total_constrained,higher_alcohol_total_baseline,higher_alcohol_total_constrained,proxy_score,phi_ester,constraint_active,constraint_binding,lhs_margin,delta_objective_vs_baseline,delta_mu_vs_baseline,delta_ester_total_vs_baseline,proxy_turnover,proxy_n_limited,proxy_low_growth,proxy_anaerobic,proxy_alcohol_present,N_gN_L,E_g_L,O2_g_L,X_gDW_L,ester_r_1765_baseline,ester_r_1765_constrained,ester_r_1765_delta,ester_r_1867_baseline,ester_r_1867_constrained,ester_r_1867_delta,ester_r_1862_baseline,ester_r_1862_constrained,ester_r_1862_delta,ester_r_2000_baseline,ester_r_2000_constrained,ester_r_2000_delta,ester_r_4647_baseline,ester_r_4647_constrained,ester_r_4647_delta,ester_r_4739_baseline,ester_r_4739_constrained,ester_r_4739_delta,alcohol_r_1761_baseline,alcohol_r_1761_constrained,alcohol_r_1761_delta,alcohol_r_1866_baseline,alcohol_r_1866_constrained,alcohol_r_1866_delta,alcohol_r_1862_baseline,alcohol_r_1862_constrained,alcohol_r_1862_delta,alcohol_r_1589_baseline,alcohol_r_1589_constrained,alcohol_r_1589_delta
20.0,,BIOMASS,r_2111,0.008823612247504211,0.008823612247504074,0.008823612247504211,0.008823612247504074,0.7,0.7,0.0,0.06406879471954753,1.674260094585989,1.5254474933225597,0.35000000000000003,0.042,True,True,1.3877787807814457e-17,-1.3704315460216776e-16,-1.3704315460216776e-16,0.06406879471954753,0.0,0.0,1.0,1.0,1.0,0.015199425105480132,5.510922511752093,0.0,1.8857084588998365,0.0,0.06406879471954753,0.06406879471954753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6595079799244687,1.5188034369684245,-0.1407045429560443,0.0,0.0,0.0,0.0,0.0,0.0,0.014752114661520075,0.00664405635413524,-0.008108058307384834
21.0,,BIOMASS,r_2111,0.008185421205673855,0.008185421205679071,0.008185421205673855,0.008185421205679071,0.7,0.7,0.0,0.06050668942719731,1.6802169193541527,1.4406354625523166,0.35000000000000003,0.042,True,True,6.938893903907228e-18,5.216313492262259e-15,5.216313492262259e-15,0.06050668942719731,0.0,0.0,1.0,1.0,1.0,0.013983471097041723,5.632691335658999,0.0,1.902330583533605,0.0,0.06050668942719731,0.06050668942719731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6589966474050548,1.434597662758658,-0.22439898464639674,0.0,0.0,0.0,0.0,0.0,0.0,0.02122027194909796,0.006037799793658466,-0.015182472155439494
22.0,,BIOMASS,r_2111,0.007607228196244109,0.007607228196244253,0.007607228196244109,0.007607228196244253,0.7,0.7,0.0,0.0580321039629612,1.638772247220654,1.3817167610228855,0.35000000000000003,0.042,True,True,0.0,1.43982048506075e-16,1.43982048506075e-16,0.0580321039629612,0.0,0.0,1.0,1.0,1.0,0.012864793409278387,5.750965994359195,0.0,1.9178863921945284,0.0,0.0580321039629612,0.0580321039629612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6230545949655273,1.3762282220025885,-0.24682637296293874,0.0,0.0,0.0,0.0,0.0,0.0,0.015717652255126748,0.005488539020296959,-0.010229113234829789
23.0,,BIOMASS,r_2111,0.007082760905810164,0.007082760905811107,0.007082760905810164,0.007082760905811107,0.7,0.7,0.0,0.056299848325845885,1.6238052169876034,1.3404725791868064,0.35000000000000003,0.042,True,True,1.3877787807814457e-17,9.428222091933947e-16,9.428222091933947e-16,0.056299848325845885,0.0,0.0,1.0,1.0,1.0,0.011835609936536115,5.866035837504476,0.0,1.9324616018349825,0.0,0.056299848325845885,0.056299848325845885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6079150106676399,1.3354822636054795,-0.27243274706216036,0.0,0.0,0.0,0.0,0.0,0.0,0.015890206319963594,0.00499031558132689,-0.010899890738636705
24.0,,BIOMASS,r_2111,0.006606506763664704,0.006606506763664163,0.006606506763664704,0.006606506763664163,0.7,0.7,0.0,0.05488424839795014,1.6007324205077273,1.3067678189988126,0.35000000000000003,0.042,True,True,1.3877787807814457e-17,-5.412337245047638e-16,-5.412337245047638e-16,0.05488424839795014,0.0,0.0,1.0,1.0,1.0,0.010888761141613225,5.978167103929165,0.0,1.9461350781569535,0.0,0.05488424839795014,0.05488424839795014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5803945972209246,1.302042975804036,-0.27835162141688863,0.0,0.00018695044486685976,0.00018695044486685976,0.0,0.0,0.0,0.020337823286802677,0.004537892749909711,-0.015799930536892964
25.0,,BIOMASS,r_2111,0.006173604121369658,0.006173604121384171,0.006173604121369658,0.006173604121384171,0.7,0.7,0.0,0.05299351045081278,1.5889514403926446,1.2617502488288754,0.35000000000000003,0.042,True,True,6.938893903907228e-18,1.4512696600021968e-14,1.4512696600021968e-14,0.05299351045081278,0.0,0.0,1.0,1.0,1.0,0.010017660250284168,6.087604738145256,0.0,1.9589793755592444,0.0,0.05299351045081278,0.05299351045081278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5688765635810464,1.2576235966789366,-0.3112529669021098,0.0,0.0,0.0,0.0,0.0,0.0,0.020074876811598176,0.0041266521499387495,-0.015948224661659426
26.0,,BIOMASS,r_2111,0.005779751663919968,0.005779751663920345,0.005779751663919968,0.005779751663920345,0.7,0.7,0.0,0.05140682047342913,1.5780844182556353,1.2239719160340266,0.35000000000000003,0.042,True,True,6.938893903907228e-18,3.7730235602495554e-16,3.7730235602495554e-16,0.05140682047342913,0.0,0.0,1.0,1.0,1.0,0.009216247430261433,6.19457410461159,0.0,1.9710612447427285,0.0,0.05140682047342913,0.05140682047342913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5582522767370774,1.2202194083338496,-0.3380328684032279,0.0,0.0,0.0,0.0,0.0,0.0,0.019832141518557788,0.0037525077001770747,-0.016079633818380713
27.0,,BIOMASS,r_2111,0.005421132599549275,0.00542113686770311,0.005421132599549275,0.00542113686770311,0.7,0.7,0.0,0.049185600696196756,1.576696906472042,1.171085730861827,0.35000000000000003,0.042,True,True,2.0816681711721685e-17,4.268153834703636e-09,4.268153834703636e-09,0.049185600696196756,0.0,0.0,1.0,1.0,1.0,0.008478947635840518,6.299282554162493,0.0,1.9824420970072096,0.0,0.049185600696196756,0.049185600696196756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5601006199353622,1.1675492509546668,-0.3925513689806954,0.0,0.0,0.0,0.0,0.0,0.0,0.01659628653667968,0.00353647990716027,-0.013059806629519412
28.0,,BIOMASS,r_2111,0.005094350864541402,0.005094354875412342,0.005094350864541402,0.005094354875412342,0.7,0.7,0.0,0.04824668805967975,1.5656918874717503,1.1487306680876128,0.35000000000000003,0.042,True,True,6.938893903907228e-18,4.010870940061861e-09,4.010870940061861e-09,0.04824668805967975,0.0,0.0,1.0,1.0,1.0,0.007800631824973278,6.401920865122168,0.0,1.99317843140454,0.0,0.04824668805967975,0.04824668805967975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.549128938675492,1.1456292649903588,-0.4034996736851333,0.0,0.0,0.0,0.0,0.0,0.0,0.01656294879625816,0.003101403097254139,-0.013461545699004021
29.0,,BIOMASS,r_2111,0.004796377162235296,0.004796377162235068,0.004796377162235296,0.004796377162235068,0.7,0.7,0.0,0.048419564206973374,1.5555603003295042,1.152846766832699,0.35000000000000003,0.042,True,True,1.3877787807814457e-17,-2.2724877535296173e-16,-2.2724877535296173e-16,0.048419564206973374,0.0,0.0,1.0,1.0,1.0,0.007176581278975414,6.502664568943061,0.0,2.003322227719488,0.0,0.048419564206973374,0.048419564206973374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5388420053748835,1.150028426496172,-0.3888135788787115,0.0,0.0,0.0,0.0,0.0,0.0,0.01671829495462068,0.0028183403365269646,-0.013899954618093714
30.0,,BIOMASS,r_2111,0.004524503097663558,0.0045245030976639265,0.004524503097663558,0.0045245030976639265,0.7,0.7,0.0,0.046968007894501125,1.5469338061680649,1.1182859022500264,0.35000000000000003,0.042,True,True,1.3877787807814457e-17,3.686287386450715e-16,3.686287386450715e-16,0.046968007894501125,0.0,0.0,1.0,1.0,1.0,0.006602454776657381,6.601675170712858,0.0,2.012921308012137,0.0,0.046968007894501125,0.046968007894501125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5301059060891076,1.1157258316547933,-0.41438007443431424,0.0,0.0,0.0,0.0,0.0,0.0,0.01682790007895725,0.0025600705952330558,-0.014267829483724195
31.0,,BIOMASS,r_2111,0.004276302012998517,0.004276302012998163,0.004276302012998517,0.004276302012998163,0.7,0.7,0.0,0.04651097519571182,1.5389182166288295,1.1074041713264713,0.35000000000000003,0.042,True,True,2.0816681711721685e-17,-3.5388358909926865e-16,-3.5388358909926865e-16,0.04651097519571182,0.0,0.0,1.0,1.0,1.0,0.006074258394524791,6.699101270211507,0.0,2.0220196692368972,0.0,0.04651097519571182,0.04651097519571182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219935622565042,1.1050798820663443,-0.41691368019015984,0.0,0.0,0.0,0.0,0.0,0.0,0.016924654372325282,0.0023242892601269723,-0.01460036511219831
