fase,t_h,mode,objective_id,objective_value_ref,GAM_mmol_gDW,X_gDW_L,N_gN_L,E_g_L,O2_g_L,rid,label,rxn_name,flux_ref,minimum,maximum,range
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_1727,decanoate exchange,decanoate exchange,0.0,0.0,-1.6100151803066457e-32,-1.6100151803066457e-32
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_1765,ethyl acetate exchange,ethyl acetate exchange,4.6538997003186245e-17,0.0,-3.9254076950132675e-15,-3.9254076950132675e-15
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_1862,isoamyl acetate exchange,isoamyl acetate exchange,0.0,0.0,-1.364128334371972e-15,-1.364128334371972e-15
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_1867,isobutyl acetate exchange,isobutyl acetate exchange,0.0,0.0,9.439409016820587e-16,9.439409016820587e-16
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_1984,octanoate exchange,octanoate exchange,0.0,0.0,4.7260976422536026e-31,4.7260976422536026e-31
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_2000,phenethyl acetate exchange,phenethyl acetate exchange,0.0,0.0,-2.5407659235654963e-15,-2.5407659235654963e-15
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_4644,ethyl hexanoate exchange,ethyl hexanoate exchange,0.0,0.0,4.3833870833433294e-30,4.3833870833433294e-30
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_4647,hexyl acetate exchange,hexyl acetate exchange,0.0,0.0,0.0,0.0
estacionaria,53.0,TURNOVER_ATPM,r_4046,6.016510668577773,49.10075414090082,2.1218145519957528,0.0009660471605090457,8.5236240964677,0.0,r_4739,benzyl-acetate exchange,benzyl-acetate exchange,0.0,0.0,0.0,0.0
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1727,decanoate exchange,decanoate exchange,0.0,0.0,0.00462900041183843,0.00462900041183843
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1765,ethyl acetate exchange,ethyl acetate exchange,0.0,0.0,-4.6907727182712313e-14,-4.6907727182712313e-14
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1862,isoamyl acetate exchange,isoamyl acetate exchange,0.0,0.0,-1.8763090873084797e-14,-1.8763090873084797e-14
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1867,isobutyl acetate exchange,isobutyl acetate exchange,0.0,0.0,1.650326153618486e-14,1.650326153618486e-14
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1984,octanoate exchange,octanoate exchange,0.004629000411845496,0.0,0.004629000411838357,0.004629000411838357
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_2000,phenethyl acetate exchange,phenethyl acetate exchange,0.0,0.0,-3.066123054705975e-14,-3.066123054705975e-14
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_4644,ethyl hexanoate exchange,ethyl hexanoate exchange,-8.067461266904325e-17,0.0,6.462240769213099e-14,6.462240769213099e-14
