t_h,r_1765_ethyl_acetate_mg_L,r_1867_isobutyl_acetate_mg_L,r_1862_isoamyl_acetate_mg_L,r_2000_phenethyl_acetate_mg_L,r_4647_hexyl_acetate_mg_L,r_4644_ethyl_hexanoate_mg_L,r_4739_benzyl_acetate_mg_L
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.14727156912681308,0.09235267362509447,0.824394162941683,0.0,0.0,0.0
2.0,0.0,0.14727156912681308,0.19909065499005857,0.824394162941683,0.0,0.0,0.0
3.0,0.0,0.14727156912681308,0.3157439736972239,0.9556063229491906,0.0,0.0,0.0
4.0,0.0,0.21103239704881271,0.44317225554278095,1.2869934349121415,0.0,0.0,0.0
5.0,0.0,0.21103239704881271,0.5822535727382185,1.851823145214439,0.0,0.0,0.0
6.0,0.0,0.21103239704881271,0.7328057428102844,2.350316399094963,0.0,0.0,0.0
7.0,0.0,0.21103239704881271,0.8964866468635425,2.786530023337911,0.0,0.0,0.0
8.0,0.0,0.21103239704881271,1.0725721426421286,3.164026874285045,0.0,0.0,0.0
9.0,0.0,0.21103239704881271,1.2599488830884873,3.4861871073555326,0.0,0.0,0.0
10.0,0.0,0.21103239704881271,1.4566265991547651,3.75681159756625,0.0,0.0,0.0
11.0,0.0,0.21103239704881271,1.6592829134763203,3.9839749066343924,0.0,0.0,0.0
12.0,0.0,0.21103239704881271,1.8625501953145818,4.181994638230413,0.0,0.0,0.0
13.0,0.0,0.21103239704881271,2.06014366043728,4.360123574501045,0.0,0.0,0.0
14.0,0.0,0.21103239704881271,2.2466553341245663,4.531078096786823,0.0,0.0,0.0
15.0,0.0,0.21103239704881271,2.4175858689276555,4.710542417614844,0.0,0.0,0.0
16.0,0.0,0.21103239704881271,2.569209009044789,4.909144180175052,0.0,0.0,0.0
17.0,0.0,0.21103239704881271,2.6996014834303055,5.116905839818458,0.0,0.0,0.0
18.0,0.0,0.21103239704881271,2.8093044022106795,5.314423291407572,0.0,0.0,0.0
19.0,0.0,0.21103239704881271,2.900896818909278,5.496112039146717,0.0,0.0,0.0
20.0,0.0,0.21103239704881271,2.978393824753331,5.662789668887088,0.0,0.0,0.0
21.0,0.0,0.21103239704881271,3.033090611528009,5.662789668887088,0.0,0.0,0.0
22.0,0.0,0.21103239704881271,3.0840106576816413,5.802932776830052,0.0,0.0,0.0
23.0,0.0,0.21103239704881271,3.132979273056749,5.802932776830052,0.0,0.0,0.0
24.0,0.0,0.21103239704881271,3.180490367104413,5.802932776830052,0.0,0.0,0.0
25.0,0.0,0.21103239704881271,3.226687043808083,5.802932776830052,0.0,0.0,0.0
26.0,0.0,0.21103239704881271,3.27168001375791,5.802932776830052,0.0,0.0,0.0
27.0,0.0,0.21103239704881271,3.3155704863502464,5.802932776830052,0.0,0.0,0.0
28.0,0.0,0.21103239704881271,3.358449688871532,5.802932776830052,0.0,0.0,0.0
29.0,0.0,0.21103239704881271,3.4003993352138733,5.802932776830052,0.0,0.0,0.0
30.0,0.0,0.21103239704881271,3.441494256481802,5.802932776830052,0.0,0.0,0.0
31.0,0.0,0.21103239704881271,3.4818033128571293,5.802932776830052,0.0,0.0,0.0
32.0,0.0,0.21103239704881271,3.5213906782917945,5.86033791215901,0.0,0.0,0.0
33.0,0.0,0.21103239704881271,3.560316079960609,5.91265592482257,0.0,0.0,0.0
34.0,0.0,0.21103239704881271,3.5986343923830195,5.960292983496559,0.0,0.0,0.0
35.0,0.0,0.21103239704881271,3.6458364484472265,6.003622806871507,0.0,0.0,0.0
36.0,0.0,0.21103239704881271,3.6830877605831263,6.042989182634694,0.0,0.0,0.0
37.0,0.0,0.21103239704881271,3.719873262298745,6.078708404687873,0.0,0.0,0.0
38.0,0.0,0.21103239704881271,3.7562359956132987,6.078708404687873,0.0,0.0,0.0
39.0,0.0,0.21103239704881271,3.7922156517025956,6.078708404687873,0.0,0.0,0.0
40.0,0.0,0.21103239704881271,3.8278488370740815,6.1051408415372785,0.0,0.0,0.0
41.0,0.0,0.21103239704881271,3.8631688951741316,6.1051408415372785,0.0,0.0,0.0
42.0,0.0,0.21103239704881271,3.898206004026471,6.1051408415372785,0.0,0.0,0.0
43.0,0.0,0.21103239704881271,3.932987923550197,6.1051408415372785,0.0,0.0,0.0
44.0,0.0,0.21103239704881271,3.9675401907786605,6.1051408415372785,0.0,0.0,0.0
45.0,0.0,0.21103239704881271,4.001886298499554,6.1051408415372785,0.0,0.0,0.0
46.0,0.0,0.21103239704881271,4.036047860024958,6.1051408415372785,0.0,0.0,0.0
47.0,0.0,0.21103239704881271,4.070044760994426,6.1051408415372785,0.0,0.0,0.0
48.0,0.0,0.21103239704881271,4.103895364591408,6.1051408415372785,0.0,0.0,0.0
49.0,0.0,0.21103239704881271,4.137616285406586,6.1051408415372785,0.0,0.0,0.0
50.0,0.0,0.21103239704881271,4.171416890154953,6.1051408415372785,0.0,0.0,0.0
51.0,0.0,0.21103239704881271,4.205295072107197,6.1051408415372785,0.0,0.0,0.0
52.0,0.0,0.21103239704881271,4.239248885960644,6.1051408415372785,0.0,0.0,0.0
53.0,0.0,0.21103239704881271,4.273276536582227,6.1051408415372785,0.0,0.0,0.0
54.0,0.0,0.21103239704881271,4.315901326417909,6.1051408415372785,0.0,0.0,0.0
55.0,0.0,0.21103239704881271,4.358504130736327,6.1051408415372785,0.0,0.0,0.0
56.0,0.0,0.21103239704881271,4.401084903691674,6.1051408415372785,0.0,0.0,0.0
57.0,0.0,0.21103239704881271,4.443643596666752,6.1051408415372785,0.0,0.0,0.0
58.0,0.0,0.21103239704881271,4.486180158341501,6.1051408415372785,0.0,0.0,0.0
59.0,0.0,0.21103239704881271,4.528694534756532,6.1051408415372785,0.0,0.0,0.0
60.0,0.0,0.21103239704881271,4.571186669372017,6.1051408415372785,0.0,0.0,0.0
61.0,0.0,0.21103239704881271,4.613656503122273,6.1051408415372785,0.0,0.0,0.0
62.0,0.0,0.21103239704881271,4.656103974466339,6.1051408415372785,0.0,0.0,0.0
63.0,0.0,0.21103239704881271,4.698529019434827,6.1051408415372785,0.0,0.0,0.0
64.0,0.0,0.21103239704881271,4.740931571673303,6.1051408415372785,0.0,0.0,0.0
65.0,0.0,0.21103239704881271,4.783311562482414,6.1051408415372785,0.0,0.0,0.0
66.0,0.0,0.21103239704881271,4.82566892085498,6.1051408415372785,0.0,0.0,0.0
67.0,0.0,0.21103239704881271,4.868003573510248,6.1051408415372785,0.0,0.0,0.0
68.0,0.0,0.21103239704881271,4.910315444925474,6.1051408415372785,0.0,0.0,0.0
69.0,0.0,0.21103239704881271,4.952604457365003,6.1051408415372785,0.0,0.0,0.0
70.0,0.0,0.21103239704881271,4.99487053090699,6.1051408415372785,0.0,0.0,0.0
71.0,0.0,0.21103239704881271,5.03711358346791,6.1051408415372785,0.0,0.0,0.0
72.0,0.0,0.21103239704881271,5.0793335308249645,6.1051408415372785,0.0,0.0,0.0
