t_h,X_gDW_L,N_gN_L,N_free_gN_L,N_from_AA_gN_L,N_rec_gN_L,N_in_Prot_gN_L,N_total_system_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,Carb_g_L,P_frac_gProt_gDW,C_frac_gCarb_gDW,GAM_mmol_gDW,fe_idx,cp_idx,AA_phe_mmol_L,AA_phe_g_L,AA_leu_mmol_L,AA_leu_g_L,AA_val_mmol_L,AA_val_g_L,AA_met_mmol_L,AA_met_g_L,AA_tyr_mmol_L,AA_tyr_g_L,pea_g_L,pea_mg_L,isoamyl_g_L,isoamyl_mg_L,isobutanol_g_L,isobutanol_mg_L,methionol_g_L,methionol_mg_L,tyrosol_g_L,tyrosol_mg_L,ethyl_acetate_g_L,ethyl_acetate_mg_L
0.0,0.5,0.14,0.07,0.07,0.0,0.0368,0.1768,110.0,110.0,0.0,0.0,0.23,0.185,0.46,0.37,51.98026170194909,-1,-1,0.9995002498750626,0.16510744627686158,0.9995002498750626,0.13110444777611197,0.9995002498750626,0.11709145427286359,0.9995002498750626,0.1491354322838581,0.9995002498750626,0.18109945027486257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62020410288672,0.5306820777546617,0.13682229371782473,0.06884058458924358,0.06798170912858116,0.0007421173066635738,0.04310152983904813,0.18066594086353643,109.83405628874031,109.91587059508431,0.1156424808975749,0.0,0.2693845614940508,0.19576245184318636,0.5076194821461246,0.3688883797837409,52.89674592252516,0,0,0.9516609906015971,0.15720487903747785,0.9505650029756672,0.12468561144031827,0.9508749962874704,0.11139500581507716,0.994591447618813,0.14840298989920309,1.0057172240129297,0.18222590381890272,0.005267985071806585,5.267985071806585,0.0,0.0,0.0021386217890688474,2.1386217890688473,0.0,0.0,0.0,0.0,0.0,0.0
2.57979589711328,0.6388659468667093,0.12526465737937817,0.06473028397992442,0.06053437339945376,0.003841448400473067,0.0647573953875114,0.19386350116736262,109.24932500691716,109.61906510882395,0.5224953918429139,0.0,0.40473372117194617,0.2337133067076166,0.633519008419443,0.36582526874981136,55.31980732528109,0,1,0.813502922148472,0.1343825477097061,0.8098482806638427,0.10622779897467625,0.8147000810288377,0.09544211449252835,0.977283192779183,0.1458204251945819,0.9063884761499765,0.16422852799361423,0.020113907374900368,20.113907374900368,0.0,0.0,0.007064671261386358,7.064671261386358,0.0,0.0,0.010616429396164787,10.616429396164786,0.0,0.0
4.0,0.7276679218976737,0.11627355266849818,0.06119425285405036,0.05507929981444781,0.006804103883999879,0.08204510535729673,0.20512276190979478,108.76877327953527,109.37478331750907,0.8588512811946911,0.0,0.5127819084831046,0.2648621071030811,0.7046921996311569,0.3639876090900797,56.68960606591875,0,2,0.7260513386770617,0.11993642063606383,0.7224740575121927,0.09476692212387433,0.7308345827086455,0.08561727136431783,0.9630758324147048,0.1437005449545981,0.7898337549362577,0.14310997805690054,0.029129217458618593,29.129217458618594,0.0,0.0,0.009039292954948992,9.039292954948992,0.0,0.0,0.02528214723068241,25.28214723068241,0.0,0.0
4.62020410288672,0.7712699378867257,0.11225801155828968,0.059288748541194716,0.05296926301709497,0.008406519035333739,0.09036105194911644,0.21102558254273984,108.53171737003214,109.25411416617418,1.026111320434765,0.0,0.5647565746819777,0.2801503804157168,0.7322424315271601,0.36323259426307597,57.21983763644316,1,0,0.6909210264868584,0.11413324436536414,0.6875168336387784,0.09018158306839856,0.6954728311598734,0.08147464217037917,0.9560999790785802,0.14265967787831496,0.75161730258479,0.1361855390553381,0.032601775986040325,32.60177598604032,0.0,0.0,0.009571634767440567,9.571634767440568,0.0,0.0,0.029856324419257216,29.856324419257216,0.0,0.0
6.57979589711328,0.9231296191411354,0.09827220531052223,0.051328586089365115,0.04694361922115712,0.014466676980224687,0.11876528922110711,0.23150417151185404,107.70034665581456,108.83040085293287,1.612907236554386,0.0,0.7422830576319195,0.3333662881112366,0.8040940754587935,0.3611261963638379,58.60269387338675,1,1,0.5916689927236539,0.0977378009080204,0.5887538182301202,0.07722683833724486,0.5955669225632646,0.06977066497828645,0.9318040643124516,0.1390344844360609,0.6436461408552473,0.11662224426156226,0.041873849637999165,41.873849637999164,0.0,0.0,0.01010612244194278,10.10612244194278,0.0,0.0,0.04231539071683975,42.31539071683975,0.0,0.0
8.0,1.0459589500708755,0.08696116238388504,0.04377439967466874,0.0431867627092163,0.019805557782142186,0.1412295266573906,0.24799624682341784,107.02102186026278,108.48375844045268,2.0919046468737372,0.0,0.8826845416086914,0.3763704411427839,0.8438997931504669,0.3598328989080122,59.36879443788215,1,2,0.5308887388406675,0.08769751076908985,0.5282730308529152,0.0692935734569769,0.5343862468765616,0.06260334882158919,0.9121526931888019,0.13610230335070114,0.5775264416093915,0.10464201595520564,0.04699132608710592,46.99132608710592,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.04946218790967489,49.46218790967489,0.0,0.0
8.62020410288672,1.1044273060620686,0.08168317625720242,0.04002987387637523,0.041653302380827185,0.02253036975927656,0.1517087873102766,0.25592233332675557,106.69167250325405,108.31627352496544,2.3233397578109027,0.0,0.9481799206892286,0.3968052541022022,0.8585263289713891,0.35928598643313675,59.650296644068085,2,0,0.5052014545671908,0.08345422827995425,0.5027123087566746,0.06594077353961302,0.5085297341440993,0.05957425835498124,0.9077229407219164,0.13544133998511715,0.5495825716499982,0.09957886615726318,0.04903088119377776,49.030881193777766,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.05237645615622821,52.376456156228215,0.0,0.0
10.57979589711328,1.3047422250334402,0.06362487264165459,0.027508290356798117,0.03611658228485647,0.032415521744836445,0.18696967506550244,0.2830100694519935,105.55153989468536,107.73804934743326,3.123653091857953,0.0,1.1685604691593903,0.46672309832664893,0.8956255471301547,0.3577128795036023,60.36430793746862,2,1,0.43262836747953565,0.0714658800239445,0.43049679188986384,0.056468264192193446,0.43547853377825907,0.05101631023212305,0.8092288928266487,0.12074504309866425,0.4706340581933567,0.08527418500405429,0.05413308086069629,54.13308086069629,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.06004138394730246,60.041383947302464,0.0,0.0
12.0,1.4505629600913632,0.050507866121758775,0.018362663826278977,0.0321452022954798,0.04079115000840125,0.211261832467541,0.30256084859770105,104.63983032558538,107.28032318558402,3.756535077206852,0.0,1.3203864529221312,0.517242638068806,0.9102579407094243,0.3565806189041444,60.81518724258225,2,2,0.388185845840296,0.06412441987435849,0.3862732401596515,0.050667460911741485,0.3907432237161418,0.04577556865834601,0.707448765223159,0.10555843025894757,0.42228733410478697,0.07651424206644634,0.05682255234733849,56.82255234733849,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.06436049341443967,64.36049341443967,0.0,0.0
12.62020410288672,1.5134166461844665,0.04485764831249446,0.014267805716667706,0.03058984259582676,0.044811218708606854,0.22125437338865003,0.3109232404097514,104.21161442658519,107.06595182684742,4.051490188508337,0.0,1.3828398336790626,0.5388621714712335,0.9137205125669747,0.35605672293203583,60.92473980706887,3,0,0.36940330357952983,0.06102173171830253,0.36758324016288035,0.048215893612165016,0.3718369416061654,0.04356069770916228,0.6732185467014937,0.10045093935332988,0.4018547763904787,0.07281206693419083,0.057936151769267606,57.9361517692676,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.06616601120660413,66.16601120660414,0.0,0.0
14.57979589711328,1.645576125291199,0.03322478152121606,0.007029224196413476,0.026195557324802582,0.05868669353102823,0.23593877374849112,0.32785024880073543,102.84527327822089,106.42196429705196,4.950805281748631,0.0,1.4746173359280694,0.5821658741782709,0.8961100694549291,0.35377632503950657,60.37363305074494,3,1,0.31633786230103644,0.05225585147350821,0.31477925422986835,0.04128959477733184,0.318421903898663,0.03730312604172837,0.5765095056306427,0.08602098333514821,0.34412762335098235,0.062352484074964486,0.06193578969456712,61.93578969456712,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.07200226239177827,72.00226239177827,0.0,0.0
16.0,1.6928361565221588,0.029325132897551814,0.00582056097909699,0.023504571918454824,0.06985729225795761,0.23394635186262572,0.33312877701813515,101.82635665199176,105.96944672013665,5.591449451257235,0.0,1.4621646991414108,0.5951932233023332,0.8637366903512681,0.3515952923200351,59.750575222770486,3,2,0.28384149047842433,0.04688777581213092,0.2824429932047371,0.03704804741866537,0.2857114451812428,0.033471095802982596,0.5172865371311737,0.07718432420534242,0.3087764986974202,0.05594721379898556,0.0650178231180773,65.0178231180773,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.07612135176420998,76.12135176420998,0.0,0.0
