t_h,mode,mu_h_inv,v_glu_uptake_mmol_gDW_h,v_fru_uptake_mmol_gDW_h,v_eth_prod_mmol_gDW_h,v_o2_uptake_mmol_gDW_h,v_ATPM_mmol_gDW_h,v_Prot_mmol_gDW_h,v_Prot_star_mmol_gDW_h,turnover_cap_total_mmol_gDW_h,turnover_uptake_total_mmol_gDW_h,v_uptake_phe_mmol_gDW_h,v_release_phe_mmol_L_h,v_turnover_internal_phe_mmol_L_h,v_uptake_leu_mmol_gDW_h,v_release_leu_mmol_L_h,v_turnover_internal_leu_mmol_L_h,v_uptake_val_mmol_gDW_h,v_release_val_mmol_L_h,v_turnover_internal_val_mmol_L_h,v_uptake_met_mmol_gDW_h,v_release_met_mmol_L_h,v_turnover_internal_met_mmol_L_h,v_uptake_tyr_mmol_gDW_h,v_release_tyr_mmol_L_h,v_turnover_internal_tyr_mmol_L_h,v_pea_prod_mmol_gDW_h,v_isoamyl_prod_mmol_gDW_h,v_isobutanol_prod_mmol_gDW_h,v_methionol_prod_mmol_gDW_h,v_tyrosol_prod_mmol_gDW_h
0.0,BIOMASS,0.09612323956137106,2.887534447774098,1.463484522233698,7.8335771628680915,0.0,0.7,0.09612323956137106,0.0,0.79960019990005,0.5461436078239319,0.15992003998001,0.0,0.0,0.15992003998001,0.0,0.0,0.15992003998001,0.0,0.0,0.041570762295270666,0.0,0.0,0.024812725588631217,0.0,0.0,0.14513554756201677,0.0,0.09797754236903117,0.0,0.013550453894018042
8.0,BIOMASS,0.09110800830158866,2.8069084099500468,1.433535445406471,7.631724119016797,0.0,0.7,0.09110800830158866,0.0,0.2544216359763379,0.20335931020380776,0.03254475564565499,0.0,0.0,0.03254475564565499,0.0,0.0,0.03254475564565499,0.0,0.0,0.024299920398137664,0.0,0.0,0.08142512286870511,0.0,0.0,0.018531644309625717,0.0,0.0,0.0,0.0707504603445353
16.0,BIOMASS,0.061306257455867756,1.7846075089580802,1.2829293769773824,5.381152352250496,0.0,0.7,0.06130625745586776,0.0,0.07188053697232388,0.07188053697232388,0.006776768781333998,0.0,0.0,0.006776768781333998,0.0,0.0,0.006776768781333998,0.0,0.0,0.0345951415601821,0.0,0.0,0.0169550890681398,0.0,0.0,0.0,0.0,0.0,0.0,0.009772146304261538
24.0,TURNOVER_ATPM,0.0,2.148993227015389,0.9468893997769219,6.191765253584621,0.0,6.191765253584622,0.0,0.0,0.028082974685405063,0.0,0.0,0.0,0.01280105490709243,0.0,0.0,0.01280105490709243,0.0,0.0,0.01280105490709243,0.0,0.0,0.01280105490709243,0.0,0.0,0.01280105490709243,0.0,0.0,0.0,0.0,0.0
32.0,TURNOVER_ATPM,0.0,1.9707030764350206,0.9097530778975578,5.760912308665157,0.0,5.760912308665153,0.0,0.0,0.020219741773491645,2.324783003484287e-31,0.0,0.0,0.00921675953310655,2.324783003484287e-31,0.0,0.00921675953310655,0.0,0.0,0.00921675953310655,0.0,0.0,0.00921675953310655,0.0,0.0,0.00921675953310655,0.0,0.0,0.0,0.0,0.0
40.0,TURNOVER_ATPM,0.0,1.8263880118906888,0.8818562536430036,5.416488531067385,0.0,5.416488531067385,0.0,0.0,0.01455821407691399,2.0165916227531808e-16,0.0,0.0,0.006636066863836718,0.0,0.0,0.006636066863836718,8.032708069360927e-17,0.0,0.006636066863836718,1.213320815817088e-16,0.0,0.006636066863836718,0.0,0.0,0.006636066863836718,0.0,0.0,0.0,0.0,0.0
48.0,TURNOVER_ATPM,0.0,1.7058225306020711,0.8604582730835861,5.132561607371313,0.0,5.1325616073713105,0.0,0.0,0.01048191413537807,2.5433888190829115e-17,0.0,0.0,0.004777968141962436,0.0,0.0,0.004777968141962436,2.5433888190829115e-17,0.0,0.004777968141962436,0.0,0.0,0.004777968141962436,0.0,0.0,0.004777968141962436,0.0,0.0,0.0,0.0,0.0
56.0,TURNOVER_ATPM,0.0,1.6025875769510756,0.8438459934002666,4.892867140702684,0.0,4.892867140702682,0.0,0.0,0.007546978177472213,1.2228017680592508e-17,0.0,0.0,0.0034401370622129546,0.0,0.0,0.0034401370622129546,1.2228017680592508e-17,0.0,0.0034401370622129546,0.0,0.0,0.0034401370622129546,0.0,0.0,0.0034401370622129546,0.0,0.0,0.0,0.0,0.0
64.0,TURNOVER_ATPM,0.0,1.5124053826399753,0.8308825213657549,4.686575808011458,0.0,4.686575808011459,0.0,0.0,0.005433824287779991,4.1624419943456464e-17,0.0,0.0,0.0024768986847933266,0.0,0.0,0.0024768986847933266,1.3874806647818672e-17,0.0,0.0024768986847933266,3.432266631965196e-31,0.0,0.0024768986847933266,2.7749613295637448e-17,0.0,0.0024768986847933266,0.0,0.0,0.0,0.0,0.0
