rxn_id,rxn_name,flux,lower_bound,upper_bound,active_bound,reduced_cost,abs_reduced_cost
r_4513,Ala-Glu exchange,0.0,0.0,1000.0,LB,-0.6331053983559121,0.6331053983559121
r_0817,ornithine decarboxylase,0.0,0.0,1000.0,LB,-0.6331053983559121,0.6331053983559121
r_1891,L-glutamine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.6331053983559118,0.6331053983559118
r_4515,Ala-Asp exchange,0.0,0.0,1000.0,LB,-0.6331053983559118,0.6331053983559118
r_1566,2'-deoxyuridine exchange,0.0,0.0,1000.0,LB,-0.6331053983559118,0.6331053983559118
r_4496,Ala-Gly exchange,0.0,0.0,1000.0,LB,-0.6331053983559117,0.6331053983559117
r_4517,Ala-Thr exchange,0.0,0.0,1000.0,LB,-0.6331053983559116,0.6331053983559116
r_4557,UMP exchange,0.0,0.0,1000.0,LB,-0.6331053983559116,0.6331053983559116
r_1880,L-asparagine exchange,0.0,0.0,0.0,LB,-0.6331053983559116,0.6331053983559116
r_1229,NAD transport,0.0,0.0,1000.0,LB,-0.6331053983559115,0.6331053983559115
r_2092,uridine exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_2090,uracil exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_1749,dTTP exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4516,Gly-Glu exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4565,"2',3'-cyclic UMP exchange",0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4563,3'-UMP exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4562,uridine 2'-phosphate exchange,0.0,0.0,1000.0,LB,-0.6331053983559114,0.6331053983559114
r_4560,thymidine 3'-monophosphate exchange,0.0,0.0,1000.0,LB,-0.6331053983559113,0.6331053983559113
r_4559,thymidine 5'-monophosphate exchange,0.0,0.0,1000.0,LB,-0.6331053983559113,0.6331053983559113
r_2073,thymidine exchange,0.0,0.0,1000.0,LB,-0.6331053983559112,0.6331053983559112
r_1900,L-lysine exchange,0.0,0.0,0.0,LB,-0.6331053983559111,0.6331053983559111
r_4518,Met-Ala exchange,0.0,0.0,1000.0,LB,-0.6331053983559111,0.6331053983559111
r_1682,"cholestenol delta-isomerase, lumped reaction",0.0,0.0,1000.0,LB,-0.6331053983559108,0.6331053983559108
r_4509,Ala-Leu exchange,0.0,0.0,1000.0,LB,-0.6331053983559105,0.6331053983559105
r_4514,Gly-Met exchange,0.0,0.0,1000.0,LB,-0.6331053983559105,0.6331053983559105
r_0268,ceramide-3 synthase (26C),0.0,0.0,1000.0,LB,-0.6331053983559104,0.6331053983559104
r_0262,ceramide-1 hydroxylase (26C),0.0,0.0,1000.0,LB,-0.6331053983559101,0.6331053983559101
r_0267,ceramide-3 synthase (24C),0.0,0.0,1000.0,LB,-0.6331053983559098,0.6331053983559098
r_1992,oxygen exchange,0.0,0.0,0.0,LB,-0.6331053983559097,0.6331053983559097
r_4354,hypotaurine:NAD+ oxidoreductase,0.0,0.0,1000.0,LB,-0.6331053983559097,0.6331053983559097
r_0261,ceramide-1 hydroxylase (26C),0.0,0.0,1000.0,LB,-0.6331053983559096,0.6331053983559096
r_0922,phytosphingosine synthesis,0.0,0.0,1000.0,LB,-0.6331053983559096,0.6331053983559096
r_1011,squalene epoxidase (NADP),0.0,0.0,1000.0,LB,-0.6331053983559096,0.6331053983559096
r_0260,ceramide-1 hydroxylase (24C),0.0,0.0,1000.0,LB,-0.6331053983559096,0.6331053983559096
r_0259,ceramide-1 hydroxylase (24C),0.0,0.0,1000.0,LB,-0.6331053983559096,0.6331053983559096
r_0530,heme O monooxygenase,0.0,0.0,1000.0,LB,-0.6331053983559096,0.6331053983559096
r_0269,ceramide-4 synthase (24C),0.0,0.0,1000.0,LB,-0.6331053983559094,0.6331053983559094
r_4432,FMNH2-dependent alkanesulfonate monooxygenase,0.0,0.0,1000.0,LB,-0.6331053983559094,0.6331053983559094
r_0762,N-formyl-L-kynurenine amidohydrolase,0.0,0.0,1000.0,LB,-0.6331053983559091,0.6331053983559091
r_0270,ceramide-4 synthase (26C),0.0,0.0,1000.0,LB,-0.633105398355909,0.633105398355909
r_2183,"stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA), ER membrane",0.0,0.0,1000.0,LB,-0.6331053983559065,0.6331053983559065
r_2182,"palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA), ER membrane",0.0,0.0,1000.0,LB,-0.6331053983559053,0.6331053983559053
r_2046,sn-glycero-3-phosphocholine exchange,0.0,0.0,1000.0,LB,-0.31655269917796036,0.31655269917796036
r_1683,choline exchange,0.0,0.0,1000.0,LB,-0.3165526991779603,0.3165526991779603
r_4521,choline phosphate exchange,0.0,0.0,1000.0,LB,-0.3165526991779603,0.3165526991779603
r_1764,ethanolamine exchange,0.0,0.0,1000.0,LB,-0.3165526991779582,0.3165526991779582
r_4532,O-phosphoethanolamine exchange,0.0,0.0,1000.0,LB,-0.3165526991779581,0.3165526991779581
r_0695,L-tyrosine N-formyltransferase,0.0,0.0,1000.0,LB,-0.3165526991779565,0.3165526991779565
r_4551,3-sulfino-L-alanine exchange,0.0,0.0,1000.0,LB,-0.31655269917795636,0.31655269917795636
r_1800,gamma-aminobutyrate exchange,0.0,0.0,0.0,LB,-0.31655269917795625,0.31655269917795625
r_4553,L-cysteate exchange,0.0,0.0,1000.0,LB,-0.31655269917795625,0.31655269917795625
r_1903,L-phenylalanine exchange,0.0,0.0,0.0,LB,-0.3165526991779562,0.3165526991779562
r_1968,NMN exchange,0.0,0.0,1000.0,LB,-0.31655269917795614,0.31655269917795614
r_1913,L-tyrosine exchange,0.0,0.0,0.0,LB,-0.31655269917795614,0.31655269917795614
r_1873,L-alanine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.31655269917795614,0.31655269917795614
r_1912,L-tryptophan exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.3165526991779561,0.3165526991779561
r_1604,4-aminobenzoate exchange,0.0,0.0,1000.0,LB,-0.3165526991779561,0.3165526991779561
r_1654,ammonium exchange,-0.2050601815756348,-0.2050601815756348,0.0,LB,-0.31655269917795603,0.31655269917795603
r_1651,alpha-D-glucosamine 6-phosphate exchange,0.0,0.0,1000.0,LB,-0.31655269917795603,0.31655269917795603
r_4506,D-Glucosamine exchange,0.0,0.0,1000.0,LB,-0.31655269917795603,0.31655269917795603
r_1563,2'-deoxyadenosine exchange,0.0,0.0,1000.0,LB,-0.31655269917795603,0.31655269917795603
r_4541,O(4)-phospho-L-tyrosine exchange,0.0,0.0,1000.0,LB,-0.31655269917795603,0.31655269917795603
r_4531,carbamoyl phosphate exchange,0.0,0.0,1000.0,LB,-0.3165526991779559,0.3165526991779559
r_4526,O-phosphonatooxy-D-serine(2-) exchange,0.0,0.0,1000.0,LB,-0.3165526991779559,0.3165526991779559
r_1904,L-proline exchange,0.0,0.0,0.0,LB,-0.31655269917795587,0.31655269917795587
r_1896,L-homoserine exchange,0.0,0.0,1000.0,LB,-0.3165526991779558,0.3165526991779558
r_1889,L-glutamate exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.3165526991779558,0.3165526991779558
r_1881,L-aspartate exchange,0.0,0.0,0.0,LB,-0.3165526991779558,0.3165526991779558
r_2028,pyridoxine exchange,-0.01,-0.01,0.0,LB,-0.3165526991779558,0.3165526991779558
r_4525,3-phospho-serine exchange,0.0,0.0,1000.0,LB,-0.3165526991779557,0.3165526991779557
r_0203,anthranilate synthase,0.0,0.0,1000.0,LB,-0.3165526991779557,0.3165526991779557
r_1906,L-serine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.3165526991779557,0.3165526991779557
r_1037,thioredoxin,0.0,0.0,1000.0,LB,-0.31655269917795564,0.31655269917795564
r_4520,2-aminobutanoate exchange,0.0,0.0,1000.0,LB,-0.3165526991779556,0.3165526991779556
r_1914,L-valine exchange,0.0,0.0,0.0,LB,-0.3165526991779556,0.3165526991779556
r_1810,L-glycine exchange,0.0,0.0,0.0,LB,-0.3165526991779556,0.3165526991779556
r_4542,O-phospho-L-threonine exchange,0.0,0.0,1000.0,LB,-0.31655269917795553,0.31655269917795553
r_1911,L-threonine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-0.3165526991779555,0.3165526991779555
r_4549,N(alpha)-acetyl-L-methionine exchange,0.0,0.0,1000.0,LB,-0.31655269917795514,0.31655269917795514
r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",0.0,0.0,1000.0,LB,-0.31655269917795514,0.31655269917795514
r_1902,L-methionine exchange,0.0,0.0,0.0,LB,-0.316552699177955,0.316552699177955
r_4556,N-acetyl-L-glutamate exchange,0.0,0.0,1000.0,LB,-0.316552699177955,0.316552699177955
r_4550,L-Methionine S-oxide exchange,0.0,0.0,1000.0,LB,-0.3165526991779549,0.3165526991779549
r_0483,glutathione peridoxase,0.0,0.0,1000.0,LB,-0.3165526991779549,0.3165526991779549
r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",0.0,0.0,1000.0,LB,-0.31655269917795487,0.31655269917795487
r_0550,hydrogen peroxide reductase (thioredoxin),0.0,0.0,1000.0,LB,-0.31655269917795487,0.31655269917795487
r_1897,L-isoleucine exchange,0.0,0.0,0.0,LB,-0.31655269917795487,0.31655269917795487
r_0955,pyridoxine 5'-phosphate oxidase,0.0,0.0,1000.0,LB,-0.3165526991779548,0.3165526991779548
r_0956,pyridoxine oxidase,0.0,0.0,1000.0,LB,-0.3165526991779548,0.3165526991779548
r_1883,L-cysteine exchange,0.0,0.0,0.0,LB,-0.3165526991779545,0.3165526991779545
r_1899,L-leucine exchange,0.0,0.0,0.0,LB,-0.31655269917795437,0.31655269917795437
r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.0,0.0,1000.0,LB,-0.31655269917795437,0.31655269917795437
r_0767,NAD nucleosidase nuclear,0.0,0.0,1000.0,LB,-0.3165526991779543,0.3165526991779543
r_4552,N-acetyl-L-cysteine exchange,0.0,0.0,1000.0,LB,-0.31655269917795403,0.31655269917795403
r_0200,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,0.0,1000.0,LB,-0.3165526991779539,0.3165526991779539
r_2300,"delta3,delta2-enoyl-CoA isomerase (trans-tetradec-3-enoyl-CoA)",0.0,0.0,1000.0,LB,-0.31655269917795303,0.31655269917795303
r_2242,acyl-CoA oxidase (palmitoleoyl-CoA),0.0,0.0,1000.0,LB,-0.3165526991779527,0.3165526991779527
r_0552,hydrogen peroxide reductase (thioredoxin),0.0,0.0,1000.0,LB,-0.31655269917795237,0.31655269917795237
r_2159,elongase II or III (3-oxotetracosanoyl-CoA),0.0,0.0,1000.0,LB,-0.31655269917794815,0.31655269917794815
r_0081,5-aminolevulinate synthase,0.0,0.0,1000.0,LB,-0.23741452438346433,0.23741452438346433
r_4079,sphinganine 1-phosphate [endoplasmic reticulum] SLIME rxn,0.0,0.0,1000.0,LB,-0.15827634958901557,0.15827634958901557
r_4077,phytosphingosine 1-phosphate [endoplasmic reticulum] SLIME rxn,0.0,0.0,1000.0,LB,-0.15827634958901554,0.15827634958901554
r_0301,"citrate synthase, peroxisomal",0.0,0.0,1000.0,LB,-0.15827634958898262,0.15827634958898262
r_0717,malate synthase,0.0,0.0,1000.0,LB,-0.15827634958898254,0.15827634958898254
r_0253,carnitine O-acetyltransferase,0.0,0.0,1000.0,LB,-0.15827634958898096,0.15827634958898096
r_0438,ferrocytochrome-c:oxygen oxidoreductase,0.0,0.0,1000.0,LB,-0.15827634958897746,0.15827634958897746
r_2256,2-enoyl-CoA hydratase (3-hydroxyoctanoyl-CoA),0.0,0.0,1000.0,LB,-0.1582763495889773,0.1582763495889773
r_2286,acetyl-CoA C-acyltransferase (stearoyl-CoA),0.0,0.0,1000.0,LB,-0.15827634958897702,0.15827634958897702
r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),0.0,0.0,1000.0,LB,-0.15827634958897635,0.15827634958897635
r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),0.0,0.0,1000.0,LB,-0.15827634958897496,0.15827634958897496
r_2298,"delta3,delta2-enoyl-CoA isomerase (cis-dodec-3-enoyl-CoA)",0.0,0.0,1000.0,LB,-0.1582763495889745,0.1582763495889745
r_2226,fatty acyl-CoA transport via ABC system (C22:0),0.0,0.0,1000.0,LB,-0.15827634958897407,0.15827634958897407
r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),0.0,0.0,1000.0,LB,-0.15827634958897405,0.15827634958897405
r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),0.0,0.0,1000.0,LB,-0.15827634958897396,0.15827634958897396
r_2284,acetyl-CoA C-acyltransferase (butanoyl-CoA),0.0,0.0,1000.0,LB,-0.15827634958897213,0.15827634958897213
r_0120,acyl-CoA oxidase (decanoyl-CoA),0.0,0.0,1000.0,LB,-0.15827634958897213,0.15827634958897213
r_2249,2-enoyl-CoA hydratase (3-hydroxydodecanoyl-CoA),0.0,0.0,1000.0,LB,-0.15827634958897124,0.15827634958897124
r_1621,5-aminolevulinate exchange,0.0,0.0,1000.0,LB,-0.07913817479448962,0.07913817479448962
r_4027,"triglyceride (1-18:0, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.0522616382155531,0.0522616382155531
r_4029,"triglyceride (1-18:1, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.05106706332340724,0.05106706332340724
r_4035,"triglyceride (1-18:0, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.05106706332340277,0.05106706332340277
r_4037,"triglyceride (1-18:1, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.04987248843125701,0.04987248843125701
r_4142,"cardiolipin (1-18:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.04148856589716761,0.04148856589716761
r_4144,"cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.041488565897165784,0.041488565897165784
r_4148,"cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.04054023743246417,0.04054023743246417
r_4150,"cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.04054023743246186,0.04054023743246186
r_4151,"cardiolipin (1-16:1, 2-18:1, 3-18:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.039591908967753775,0.039591908967753775
r_4145,"cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03959190896775369,0.03959190896775369
r_4149,"cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03959190896775168,0.03959190896775168
r_4143,"cardiolipin (1-18:1, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03959190896775136,0.03959190896775136
r_4023,"triglyceride (1-16:0, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03563747540513845,0.03563747540513845
r_4026,"triglyceride (1-18:0, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.035637475405135344,0.035637475405135344
r_4011,"triglyceride (1-18:0, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03563747540513071,0.03563747540513071
r_4025,"triglyceride (1-16:1, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03444290051299011,0.03444290051299011
r_4028,"triglyceride (1-18:1, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.0344429005129889,0.0344429005129889
r_4031,"triglyceride (1-16:0, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03444290051298713,0.03444290051298713
r_4013,"triglyceride (1-18:1, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03444290051298496,0.03444290051298496
r_4034,"triglyceride (1-18:0, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03444290051298492,0.03444290051298492
r_4019,"triglyceride (1-18:0, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.034442900512983446,0.034442900512983446
r_4033,"triglyceride (1-16:1, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03324832562084087,0.03324832562084087
r_4036,"triglyceride (1-18:1, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.0332483256208384,0.0332483256208384
r_4021,"triglyceride (1-18:1, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.0332483256208377,0.0332483256208377
r_4093,"diglyceride (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03257114472555177,0.03257114472555177
r_4095,"diglyceride (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.03144148749233107,0.03144148749233107
r_4118,"cardiolipin (1-18:0, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.029239591372632035,0.029239591372632035
r_4120,"cardiolipin (1-18:0, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.02923959137262519,0.02923959137262519
r_4130,"cardiolipin (1-16:0, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.029239591372624923,0.029239591372624923
r_4132,"cardiolipin (1-16:0, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.029239591372622827,0.029239591372622827
r_4085,"phosphatidate (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.02853151392753176,0.02853151392753176
r_4124,"cardiolipin (1-18:1, 2-16:1, 3-18:0, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.028291262907919362,0.028291262907919362
r_4136,"cardiolipin (1-16:1, 2-18:1, 3-18:0, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.028291262907916476,0.028291262907916476
r_4138,"cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.02829126290791474,0.02829126290791474
r_4126,"cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.02829126290791268,0.02829126290791268
r_4140,"cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.0282912629079124,0.0282912629079124
r_4087,"phosphatidate (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.027541962244451247,0.027541962244451247
r_4119,"cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.027342934443215578,0.027342934443215578
r_4121,"cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.027342934443212886,0.027342934443212886
r_4133,"cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.02734293444321072,0.02734293444321072
r_4146,"cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.02734293444320862,0.02734293444320862
r_4131,"cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.02734293444320859,0.02734293444320859
r_4139,"cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-18:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.02639460597850265,0.02639460597850265
r_4125,"cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1) [mitochondrial membrane] SLIME rxn",0.0,0.0,1000.0,LB,-0.026394605978502524,0.026394605978502524
