t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L
1.200000000000000000e+01,1.285418883741813900e+00,7.143705587469086071e-02,1.056550135629504439e+02,1.074133828742123740e+02,3.034563709432479772e+00,0.000000000000000000e+00,1.252747576932956131e+00
1.300000000000000000e+01,1.394884083754633908e+00,6.220685504114148445e-02,1.050460189386930807e+02,1.070651627699694330e+02,3.454384558195494392e+00,0.000000000000000000e+00,1.392680903292732086e+00
1.400000000000000000e+01,1.514682921319217668e+00,5.219061800322129241e-02,1.043785405900244427e+02,1.066872885320883881e+02,3.913068263578622030e+00,0.000000000000000000e+00,1.545499004206304594e+00
1.500000000000000000e+01,1.645970327325395166e+00,4.131414206237786491e-02,1.036457450455109210e+02,1.062769607771223122e+02,4.414892161240311808e+00,0.000000000000000000e+00,1.712683257845450724e+00
1.600000000000000000e+01,1.790063523179331151e+00,2.949493131369871138e-02,1.028398936252046099e+02,1.058310672507306833e+02,4.964675725683937557e+00,0.000000000000000000e+00,1.895928142958016149e+00
1.700000000000000000e+01,1.948471226449984384e+00,1.664103128722695113e-02,1.019521060567550421e+02,1.053461388631622100e+02,5.567918563795070774e+00,0.000000000000000000e+00,2.097180390546628193e+00
1.800000000000000000e+01,2.122929264452962705e+00,2.649653872440189614e-03,1.009721406519204550e+02,1.048182978129251950e+02,6.230914978996187514e+00,0.000000000000000000e+00,2.318686839781450182e+00
1.900000000000000000e+01,2.186673634279375555e+00,0.000000000000000000e+00,1.009299311366367533e+02,1.042431960627344267e+02,6.513649290656294610e+00,0.000000000000000000e+00,2.376335873419483491e+00
2.000000000000000000e+01,2.208637923716526785e+00,0.000000000000000000e+00,1.009235362708859043e+02,1.039567947888482848e+02,6.656305044048551167e+00,0.000000000000000000e+00,2.372539054987705232e+00
2.100000000000000000e+01,2.230794455873297277e+00,0.000000000000000000e+00,1.009170854339921135e+02,1.036677139916983350e+02,6.800299322004000224e+00,0.000000000000000000e+00,2.369077940775631053e+00
2.200000000000000000e+01,2.253147126808342282e+00,0.000000000000000000e+00,1.009105774916244940e+02,1.033759148332705138e+02,6.945651202317087325e+00,0.000000000000000000e+00,2.365953144505009931e+00
2.300000000000000000e+01,2.275699945019861392e+00,0.000000000000000000e+00,1.009040112767155648e+02,1.030813574557257084e+02,7.092380260782253032e+00,0.000000000000000000e+00,2.363165433729103704e+00
2.400000000000000000e+01,2.298457035105460733e+00,0.000000000000000000e+00,1.008973855883957214e+02,1.027840009490839890e+02,7.240506586946074741e+00,0.000000000000000000e+00,2.360715732832013636e+00
2.500000000000000000e+01,2.321422641584990121e+00,0.000000000000000000e+00,1.008906991908801558e+02,1.024838033175523009e+02,7.390050800517988350e+00,0.000000000000000000e+00,2.358605126219333048e+00
2.600000000000000000e+01,2.344601132894445161e+00,0.000000000000000000e+00,1.008839508123061250e+02,1.021807214444291674e+02,7.541034068471677010e+00,0.000000000000000000e+00,2.356834861708982487e+00
2.700000000000000000e+01,2.367996999937819425e+00,0.000000000000000000e+00,1.008771391451545298e+02,1.018747111019089857e+02,7.693478099316931385e+00,0.000000000000000000e+00,2.355406345980211036e+00
2.800000000000000000e+01,2.391614882814674825e+00,0.000000000000000000e+00,1.008702628384682072e+02,1.015657267285452861e+02,7.847405255319970685e+00,0.000000000000000000e+00,2.354321180945652348e+00
2.900000000000000000e+01,2.415459542012471150e+00,0.000000000000000000e+00,1.008633205062392904e+02,1.012537216642652851e+02,8.002838432300164229e+00,0.000000000000000000e+00,2.353581119051701975e+00
3.000000000000000000e+01,2.439535879517405803e+00,0.000000000000000000e+00,1.008563107212627727e+02,1.009386479745310510e+02,8.159801148105275459e+00,0.000000000000000000e+00,2.353188091631229995e+00
3.100000000000000000e+01,2.463848961314002217e+00,0.000000000000000000e+00,1.008492320085858296e+02,1.006204562624926240e+02,8.318317637083930904e+00,0.000000000000000000e+00,2.353144238844684377e+00
3.200000000000000000e+01,2.488403988271184808e+00,0.000000000000000000e+00,1.008420828539842660e+02,1.002990959065027425e+02,8.478412728487551675e+00,0.000000000000000000e+00,2.353451864332488430e+00
3.300000000000000000e+01,2.513206324368844058e+00,0.000000000000000000e+00,1.008348616957443937e+02,9.997451482555045743e+01,8.640111964636586706e+00,0.000000000000000000e+00,2.354113473691359371e+00
3.400000000000000000e+01,2.538261496754608437e+00,0.000000000000000000e+00,1.008275669246465185e+02,9.964665947642023980e+01,8.803441601304443864e+00,0.000000000000000000e+00,2.355131771527283480e+00
3.500000000000000000e+01,2.563575201730618147e+00,0.000000000000000000e+00,1.008201968822219072e+02,9.931547480210008416e+01,8.968428632823856717e+00,0.000000000000000000e+00,2.356509667151198251e+00
3.600000000000000000e+01,2.589153311024182003e+00,0.000000000000000000e+00,1.008127498589270630e+02,9.898090417784979422e+01,9.135100818328208305e+00,0.000000000000000000e+00,2.358250280600872717e+00
3.700000000000000000e+01,2.615001878357754883e+00,0.000000000000000000e+00,1.008052240922309437e+02,9.864288935480546172e+01,9.303486709187957615e+00,0.000000000000000000e+00,2.360356949006469751e+00
3.800000000000000000e+01,2.641127146334644848e+00,0.000000000000000000e+00,1.007976177646101235e+02,9.830137040569398721e+01,9.473615675299225103e+00,0.000000000000000000e+00,2.362833233318436754e+00
3.900000000000000000e+01,2.667535553657922165e+00,0.000000000000000000e+00,1.007899290014471063e+02,9.795628564427747165e+01,9.645517944735704674e+00,0.000000000000000000e+00,2.365682925417618598e+00
4.000000000000000000e+01,2.694233742701113155e+00,0.000000000000000000e+00,1.007821558688260524e+02,9.760757158897705210e+01,9.819224620728624231e+00,0.000000000000000000e+00,2.368910055628809630e+00
4.100000000000000000e+01,2.721228567450480362e+00,0.000000000000000000e+00,1.007742963712204443e+02,9.725516287638471624e+01,9.994767724195467551e+00,0.000000000000000000e+00,2.372518900660398167e+00
4.200000000000000000e+01,2.748527101839977060e+00,0.000000000000000000e+00,1.007663484490663706e+02,9.689899219509305794e+01,1.017218022579166536e+01,0.000000000000000000e+00,2.376513991994297914e+00
4.300000000000000000e+01,2.776136648501368320e+00,0.000000000000000000e+00,1.007583099762149317e+02,9.653899021142275672e+01,1.035149608201572669e+01,0.000000000000000000e+00,2.380900124752020730e+00
4.400000000000000000e+01,2.804064747953487036e+00,0.000000000000000000e+00,1.007501787572568190e+02,9.617508549156282527e+01,1.053275027305341816e+01,0.000000000000000000e+00,2.385682367064504206e+00
4.500000000000000000e+01,2.832319188256235964e+00,0.000000000000000000e+00,1.007419525247115502e+02,9.580720441991823577e+01,1.071597884246035015e+01,0.000000000000000000e+00,2.390866069975271735e+00
4.600000000000000000e+01,2.860908015156645057e+00,0.000000000000000000e+00,1.007336289360734725e+02,9.543527111344704394e+01,1.090121893878845150e+01,0.000000000000000000e+00,2.396456877908527350e+00
4.700000000000000000e+01,2.889839542756180713e+00,0.000000000000000000e+00,1.007252055707059952e+02,9.505920733175373982e+01,1.108850885926917051e+01,0.000000000000000000e+00,2.402460739736045792e+00
4.800000000000000000e+01,2.919122364730510899e+00,0.000000000000000000e+00,1.007166799265749688e+02,9.467893238269030576e+01,1.127788809567376127e+01,0.000000000000000000e+00,2.408883920479115037e+00
4.900000000000000000e+01,2.948765366135089661e+00,0.000000000000000000e+00,1.007080494168115052e+02,9.429436302319903973e+01,1.146939738247921348e+01,0.000000000000000000e+00,2.415733013684393971e+00
5.000000000000000000e+01,2.978777735832275120e+00,0.000000000000000000e+00,1.006993113660938803e+02,9.390541335511318266e+01,1.166307874747730189e+01,0.000000000000000000e+00,2.423014954515351427e+00
5.100000000000000000e+01,3.009168979578210834e+00,0.000000000000000000e+00,1.006904630068372342e+02,9.351199471561166376e+01,1.185897556497361727e+01,0.000000000000000000e+00,2.430737033603992181e+00
5.200000000000000000e+01,3.039948933810431075e+00,0.000000000000000000e+00,1.006815014751794166e+02,9.311401556200279117e+01,1.205713261173391082e+01,0.000000000000000000e+00,2.438906911710856829e+00
5.300000000000000000e+01,3.071127780180106015e+00,0.000000000000000000e+00,1.006724238067498902e+02,9.271138135048882134e+01,1.225759612584605307e+01,0.000000000000000000e+00,2.447532635244848542e+00
5.400000000000000000e+01,3.102716060876016257e+00,0.000000000000000000e+00,1.006632269322082038e+02,9.230399440853864235e+01,1.246041386867798550e+01,0.000000000000000000e+00,2.456622652698271292e+00
5.500000000000000000e+01,3.134724694790824273e+00,0.000000000000000000e+00,1.006539076725372155e+02,9.189175380046843600e+01,1.266563519012503392e+01,0.000000000000000000e+00,2.466185832056672300e+00
5.600000000000000000e+01,3.167164994583926863e+00,0.000000000000000000e+00,1.006444627340752618e+02,9.147455518580179046e+01,1.287331109735397305e+01,0.000000000000000000e+00,2.476231479247580136e+00
5.700000000000000000e+01,3.200048684699242862e+00,0.000000000000000000e+00,1.006348887032703061e+02,9.105229066994854747e+01,1.308349432726645034e+01,0.000000000000000000e+00,2.486769357697164562e+00
5.800000000000000000e+01,3.233387920400683679e+00,0.000000000000000000e+00,1.006251820411378048e+02,9.062484864670794593e+01,1.329623942292090000e+01,0.000000000000000000e+00,2.497809709069191975e+00
5.900000000000000000e+01,3.267195307892841072e+00,0.000000000000000000e+00,1.006153390774025951e+02,9.019211363206454735e+01,1.351160281416990117e+01,0.000000000000000000e+00,2.509363275266456750e+00
6.000000000000000000e+01,3.301483925599598024e+00,0.000000000000000000e+00,1.006053560043036583e+02,8.975396608870474324e+01,1.372964290278953570e+01,0.000000000000000000e+00,2.521441321781182410e+00
6.100000000000000000e+01,3.336267346679032020e+00,0.000000000000000000e+00,1.005952288700389659e+02,8.931028224523434744e+01,1.395042015389362788e+01,0.000000000000000000e+00,2.534055662487789018e+00
6.200000000000000000e+01,3.371559662859105799e+00,0.000000000000000000e+00,1.005849535718257357e+02,8.886093388186128550e+01,1.417399718497975236e+01,0.000000000000000000e+00,2.547218685978913211e+00
6.300000000000000000e+01,3.407375509685343307e+00,0.000000000000000000e+00,1.005745258485496265e+02,8.840578815076034402e+01,1.440043887538659639e+01,0.000000000000000000e+00,2.560943383553764274e+00
6.400000000000000000e+01,3.443730093278960513e+00,0.000000000000000000e+00,1.005639412729741338e+02,8.794470733844059396e+01,1.462981246662276291e+01,0.000000000000000000e+00,2.575243378976814324e+00
6.500000000000000000e+01,3.480639218711894856e+00,0.000000000000000000e+00,1.005531952434792800e+02,8.747754863821461413e+01,1.486218767640344396e+01,0.000000000000000000e+00,2.590132960134612361e+00
6.600000000000000000e+01,3.518119320113842541e+00,0.000000000000000000e+00,1.005422829752959757e+02,8.700416390429755609e+01,1.509763681785570100e+01,0.000000000000000000e+00,2.605627112729157258e+00
6.700000000000000000e+01,3.556187492635911163e+00,0.000000000000000000e+00,1.005311994911998710e+02,8.652439939116182188e+01,1.533623492585686243e+01,0.000000000000000000e+00,2.621741556157962005e+00
6.800000000000000000e+01,3.594861526405873420e+00,0.000000000000000000e+00,1.005199396116253183e+02,8.603809547708955563e+01,1.557805989101589539e+01,0.000000000000000000e+00,2.638492781743738469e+00
6.900000000000000000e+01,3.634159942621363548e+00,0.000000000000000000e+00,1.005084979441569288e+02,8.554508637079226219e+01,1.582319260184535104e+01,0.000000000000000000e+00,2.655898093490654421e+00
7.000000000000000000e+01,3.674102031939816548e+00,0.000000000000000000e+00,1.004968688723523940e+02,8.504519979985589373e+01,1.607171709572248020e+01,0.000000000000000000e+00,2.673975651559523659e+00
7.100000000000000000e+01,3.714707895337597154e+00,0.000000000000000000e+00,1.004850465438464084e+02,8.453825667967629443e+01,1.632372071928467250e+01,0.000000000000000000e+00,2.692744518671192022e+00
7.200000000000000000e+01,3.755998477704233451e+00,0.000000000000000000e+00,1.004730248605697938e+02,8.402407084330585008e+01,1.657929425739210316e+01,0.000000000000000000e+00,2.712224695279776832e+00
