t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000056e-01
1.000000000000000000e+00,5.399161786466549762e-01,1.364096525458376175e-01,1.097802777858899077e+02,1.098645499499628926e+02,1.552421941986999177e-01,0.000000000000000000e+00,2.795034590371097694e-01
2.000000000000000000e+00,5.831714896348411115e-01,1.325326791909074153e-01,1.095420333096141121e+02,1.097182866031358230e+02,3.233384505507215234e-01,0.000000000000000000e+00,3.380311080837344329e-01
3.000000000000000000e+00,6.300690892278018040e-01,1.283451026446063292e-01,1.092835638708612294e+02,1.095603053882333171e+02,5.054359869609975631e-01,0.000000000000000000e+00,4.009621608714148966e-01
4.000000000000000000e+00,6.809436196121866347e-01,1.238207687436954085e-01,1.090029866319595868e+02,1.093896196089078359e+02,7.027981958524622819e-01,0.000000000000000000e+00,4.687157975146546418e-01
5.000000000000000000e+00,7.361651064767132935e-01,1.189311203614899226e-01,1.086982159493480111e+02,1.092051519142100062e+02,9.168185360117884208e-01,0.000000000000000000e+00,5.417562165042343336e-01
6.000000000000000000e+00,7.961434978848673794e-01,1.136449433297262168e-01,1.083669367787362319e+02,1.090057247131943257e+02,1.149036711944917633e+00,0.000000000000000000e+00,6.205985407969818457e-01
7.000000000000000000e+00,8.613339103703776534e-01,1.079280797681684556e-01,1.080065738848460768e+02,1.087900493599438789e+02,1.401157288083093144e+00,0.000000000000000000e+00,7.058156607872189126e-01
8.000000000000000000e+00,9.322427397827250939e-01,1.017431037436044017e-01,1.076142558282838735e+02,1.085567139174272313e+02,1.675071288565476380e+00,0.000000000000000000e+00,7.980462285211867846e-01
9.000000000000000000e+00,1.009434739123072244e+00,9.504895304872383599e-02,1.071867733951132919e+02,1.083041692659266317e+02,1.972881120987682646e+00,0.000000000000000000e+00,8.980039341343621917e-01
1.000000000000000000e+01,1.093541378672450382e+00,8.780051015721662688e-02,1.067205298212188751e+02,1.080307132940798027e+02,2.296929898559576078e+00,0.000000000000000000e+00,1.006488502465989310e+00
1.100000000000000000e+01,1.185270698910058762e+00,7.994812314734088543e-02,1.062114638573825829e+02,1.077344728251621433e+02,2.649845419268420432e+00,0.000000000000000000e+00,1.124398689270053930e+00
