ester_rid,ester_label,alcohol_rid,alcohol_name,pair_active,exclusion_reason,phi_pair
r_1765,ethyl acetate exchange,r_1761,ethanol exchange,False,ethanol_excluded,0.0
r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,True,,0.08
r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,True,,0.08
r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,True,,0.08
r_4647,hexyl acetate exchange,,,False,no_alcohol_found,0.0
r_4739,benzyl-acetate exchange,,,False,no_alcohol_found,0.0
