t_h,isoamyl_acetate_baseline_mg_L,isoamyl_acetate_pairwise_mg_L,isoamyl_acetate_v3_mg_L,delta_v3_vs_baseline_mg_L
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.35000859830645387,0.35000859830645387
2.0,0.0,0.10509738720768977,0.45674657967141785,0.45674657967141785
3.0,0.0,0.34282658007604283,0.6100578699635799,0.6100578699635799
4.0,0.0,0.6527387786822563,0.7374861518091366,0.7374861518091366
5.0,0.0,1.0184524485828197,0.8765674690045729,0.8765674690045729
6.0,0.0,1.061150954284153,1.0271196390766386,1.0271196390766386
7.0,0.0,1.2239054809536078,1.1908005431298958,1.1908005431298958
8.0,0.0,1.4115002864216086,1.3783953433462737,1.3783953433462737
9.0,0.0,1.5437131687998593,1.5657720837926328,1.5657720837926328
10.0,0.0,1.621750528909094,1.7624497998589108,1.7624497998589108
11.0,0.0,1.6466520461249325,1.965106114180466,1.965106114180466
12.0,0.0,1.6466520461249325,2.1683733960187275,2.1683733960187275
13.0,0.0,1.6466520461249325,2.3659668611414264,2.3659668611414264
14.0,0.0,1.6466520461249325,2.552478534828713,2.552478534828713
15.0,0.0,1.6466520461249325,2.723409069631802,2.723409069631802
16.0,0.0,1.6466520461249325,2.8750322097489356,2.8750322097489356
17.0,0.0,1.801531621081768,3.0054246841344523,3.0054246841344523
18.0,0.0,2.0434688496575006,3.1223237841539597,3.1223237841539597
19.0,0.0,2.1536614502915676,3.232516384788026,3.232516384788026
20.0,0.0,2.3443117409434224,3.3129908158221513,3.3129908158221513
21.0,0.0,2.43600569557402,3.4046847704527528,3.4046847704527528
22.0,0.0,2.5195107673659183,3.4881898422446524,3.4881898422446524
23.0,0.0,2.5954807245506055,3.564159762284265,3.564159762284265
24.0,0.0,2.6645170318034026,3.6331960695370653,3.6331960695370653
25.0,0.0,2.7271730344968708,3.695852072230532,3.695852072230532
26.0,0.0,2.78395780825545,3.7526368459891133,3.7526368459891133
27.0,0.0,2.8353397005319825,3.8074999367295335,3.8074999367295335
28.0,0.0,2.881749588858093,3.8610989398811406,3.8610989398811406
29.0,0.0,2.9235838784345516,3.913535997809067,3.913535997809067
30.0,0.0,2.9612072354484984,3.9649046493939775,3.9649046493939775
31.0,0.0,2.994955198907414,4.015290969863136,4.015290969863136
32.0,0.0,3.0251364607916464,4.064775176656467,4.064775176656467
33.0,0.0,3.0520349512906333,4.113431928742486,4.113431928742486
34.0,0.0,3.075911946562875,4.161329819270499,4.161329819270499
35.0,0.0,3.0970077982697095,4.208531875334706,4.208531875334706
36.0,0.0,3.1155436277876976,4.255096015504581,4.255096015504581
37.0,0.0,3.1317228646280078,4.301077892649104,4.301077892649104
38.0,0.0,3.1457326617822683,4.346531309292296,4.346531309292296
39.0,0.0,3.157745197840724,4.391505879403917,4.391505879403917
40.0,0.0,3.1679188749409617,4.436047361118274,4.436047361118274
41.0,0.0,3.1763994208806987,4.480197433743337,4.480197433743337
42.0,0.0,3.183320353872,4.523993819808761,4.523993819808761
43.0,0.0,3.188804694268098,4.567471219213418,4.567471219213418
44.0,0.0,3.192966824077739,4.610661553248998,4.610661553248998
45.0,0.0,3.1959111304083203,4.653594187900113,4.653594187900113
46.0,0.0,3.1977336472125044,4.696296139806868,4.696296139806868
47.0,0.0,3.1985227235371645,4.738792266018702,4.738792266018702
48.0,0.0,3.1985227235371645,4.78110552051493,4.78110552051493
49.0,0.0,3.1985227235371645,4.823256671533902,4.823256671533902
50.0,0.0,3.1985227235371645,4.865507427469361,4.865507427469361
51.0,0.0,3.1985227235371645,4.907855154909667,4.907855154909667
52.0,0.0,3.1985227235371645,4.950297422226477,4.950297422226477
53.0,0.0,3.1985227235371645,4.9928319855034555,4.9928319855034555
54.0,0.0,3.1985227235371645,5.035456775339138,5.035456775339138
55.0,0.0,3.1985227235371645,5.078059579657555,5.078059579657555
56.0,0.0,3.1985227235371645,5.120640352612904,5.120640352612904
57.0,0.0,3.1985227235371645,5.163199045587982,5.163199045587982
58.0,0.0,3.1985227235371645,5.2057356072627305,5.2057356072627305
59.0,0.0,3.1985227235371645,5.248249983677762,5.248249983677762
60.0,0.0,3.1985227235371645,5.290742118293248,5.290742118293248
61.0,0.0,3.1985227235371645,5.333211952043504,5.333211952043504
62.0,0.0,3.1985227235371645,5.375659423387569,5.375659423387569
63.0,0.0,3.1985227235371645,5.418084468356057,5.418084468356057
64.0,0.0,3.1985227235371645,5.460487020594535,5.460487020594535
65.0,0.0,3.1985227235371645,5.502867011403646,5.502867011403646
66.0,0.0,3.1985227235371645,5.545224369776213,5.545224369776213
67.0,0.0,3.1985227235371645,5.587559022431482,5.587559022431482
68.0,0.0,3.1985227235371645,5.629870893846708,5.629870893846708
69.0,0.0,3.1985227235371645,5.672159906286237,5.672159906286237
70.0,0.0,3.1985227235371645,5.714425979828225,5.714425979828225
71.0,0.0,3.1985227235371645,5.756669032389146,5.756669032389146
72.0,0.0,3.1985227235371645,5.798888979746201,5.798888979746201
