t_h,ethyl_acetate_exchange_baseline_mg_L,ethyl_acetate_exchange_pairwise_mg_L,ethyl_acetate_exchange_delta_mg_L,isobutyl_acetate_exchange_baseline_mg_L,isobutyl_acetate_exchange_pairwise_mg_L,isobutyl_acetate_exchange_delta_mg_L,isoamyl_acetate_exchange_baseline_mg_L,isoamyl_acetate_exchange_pairwise_mg_L,isoamyl_acetate_exchange_delta_mg_L,phenethyl_acetate_exchange_baseline_mg_L,phenethyl_acetate_exchange_pairwise_mg_L,phenethyl_acetate_exchange_delta_mg_L,hexyl_acetate_exchange_baseline_mg_L,hexyl_acetate_exchange_pairwise_mg_L,hexyl_acetate_exchange_delta_mg_L,benzyl_acetate_exchange_baseline_mg_L,benzyl_acetate_exchange_pairwise_mg_L,benzyl_acetate_exchange_delta_mg_L,total_acetate_esters_baseline_mg_L,total_acetate_esters_pairwise_mg_L,total_acetate_esters_delta_mg_L
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.34901661057022265,0.34901661057022265,0.0,0.0,0.0,0.0,0.7380827555401721,0.7380827555401721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870993661103947,1.0870993661103947
2.0,0.0,0.0,0.0,0.0,0.34901661057022265,0.34901661057022265,0.0,0.0,0.0,0.0,0.8821055276607443,0.8821055276607443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231122138230967,1.231122138230967
3.0,0.0,0.0,0.0,0.0,0.34901661057022265,0.34901661057022265,0.0,0.0,0.0,0.0,1.3373574263117152,1.3373574263117152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863740368819378,1.6863740368819378
4.0,0.0,0.0,0.0,0.0,0.5247099566596438,0.5247099566596438,0.0,0.0,0.0,0.0,1.8668879473876623,1.8668879473876623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3915979040473063,2.3915979040473063
5.0,0.0,0.0,0.0,0.0,0.7845560997456639,0.7845560997456639,0.0,0.0,0.0,0.0,2.4278317609412365,2.4278317609412365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2123878606869005,3.2123878606869005
6.0,0.0,0.0,0.0,0.0,0.9827246104938647,0.9827246104938647,0.0,0.0,0.0,0.0,2.9217194782918385,2.9217194782918385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.904444088785703,3.904444088785703
7.0,0.0,0.0,0.0,0.0,1.1207075159980189,1.1207075159980189,0.0,0.0,0.0,0.0,3.3523358623279513,3.3523358623279513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47304337832597,4.47304337832597
8.0,0.0,0.0,0.0,0.0,1.1995942714646621,1.1995942714646621,0.0,0.0,0.0,0.0,3.7231930984748876,3.7231930984748876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92278736993955,4.92278736993955
9.0,0.0,0.0,0.0,0.0,1.220049023694368,1.220049023694368,0.0,0.0,0.0,0.0,4.037642387416144,4.037642387416144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.257691411110511,5.257691411110511
10.0,0.0,0.0,0.0,0.0,1.220049023694368,1.220049023694368,0.0,0.0,0.0,0.0,4.299451714409806,4.299451714409806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.519500738104174,5.519500738104174
11.0,0.0,0.0,0.0,0.0,1.220049023694368,1.220049023694368,0.0,0.0,0.0,0.0,4.513059298379914,4.513059298379914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733108322074282,5.733108322074282
12.0,0.0,0.0,0.0,0.0,1.2205068818095681,1.2205068818095681,0.0,0.0,0.0,0.0,5.251470155773928,5.251470155773928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.471977037583496,6.471977037583496
13.0,0.0,0.0,0.0,0.0,1.2205068818095681,1.2205068818095681,0.0,0.0,0.0,0.0,5.418953712413683,5.418953712413683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.639460594223251,6.639460594223251
14.0,0.0,0.0,0.0,0.0,1.2205068818095681,1.2205068818095681,0.0,0.0,0.0,0.0,5.585014289000946,5.585014289000946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.805521170810514,6.805521170810514
15.0,0.0,0.0,0.0,0.0,1.2205068818095681,1.2205068818095681,0.0,0.0,0.0,0.0,5.7689441703331665,5.7689441703331665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.989451052142734,6.989451052142734
16.0,0.0,0.0,0.0,0.0,1.2205068818095681,1.2205068818095681,0.0,0.0,0.0,0.0,5.978360128261329,5.978360128261329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.198867010070897,7.198867010070897
17.0,0.0,0.0,0.0,0.0,1.2205068818095681,1.2205068818095681,0.0,0.0,0.0,0.0,6.257832373917845,6.257832373917845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.478339255727413,7.478339255727413
18.0,0.0,0.0,0.0,0.0,1.275126048781682,1.275126048781682,0.0,0.005658608904051118,0.005658608904051118,0.0,6.455277843051595,6.455277843051595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7360625007373285,7.7360625007373285
19.0,0.0,0.0,0.0,0.0,1.275126048781682,1.275126048781682,0.0,0.06555091670124062,0.06555091670124062,0.0,6.636436640633442,6.636436640633442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.977113606116365,7.977113606116365
20.0,0.0,0.0,0.0,0.0,1.275126048781682,1.275126048781682,0.0,0.11901818251817764,0.11901818251817764,0.0,6.80261092797276,6.80261092797276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19675515927262,8.19675515927262
21.0,0.0,0.0,0.0,0.0,1.275126048781682,1.275126048781682,0.0,0.16657183987473678,0.16657183987473678,0.0,6.95499869224867,6.95499869224867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.396696580905088,8.396696580905088
22.0,0.0,0.0,0.0,0.0,1.2825093731470543,1.2825093731470543,0.0,0.20040751302586743,0.20040751302586743,0.0,7.094702080439729,7.094702080439729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57761896661265,8.57761896661265
23.0,0.0,0.0,0.0,0.0,1.2873253951519814,1.2873253951519814,0.0,0.23211027650405833,0.23211027650405833,0.0,7.222735066556401,7.222735066556401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74217073821244,8.74217073821244
24.0,0.0,0.0,0.0,0.0,1.289776389652485,1.289776389652485,0.0,0.261851665921678,0.261851665921678,0.0,7.340030505475618,7.340030505475618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89165856104978,8.89165856104978
25.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.28978949547154775,0.28978949547154775,0.0,7.447446622453467,7.447446622453467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.027284562518108,9.027284562518108
26.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.31412367563629673,0.31412367563629673,0.0,7.545772983500887,7.545772983500887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.149945103730278,9.149945103730278
27.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.33485939004109483,0.33485939004109483,0.0,7.6357359881213664,7.6357359881213664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.260643822755556,9.260643822755556
28.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.3522819176767518,0.3522819176767518,0.0,7.7180039226296,7.7180039226296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.360334284899446,9.360334284899446
29.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.36665371112756506,0.36665371112756506,0.0,7.793191609204656,7.793191609204656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.449893764925315,9.449893764925315
30.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.3782162226774388,0.3782162226774388,0.0,7.861864683018901,7.861864683018901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.530129350289434,9.530129350289434
31.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.3871915843274557,0.3871915843274557,0.0,7.924543527196589,7.924543527196589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60178355611714,9.60178355611714
32.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.39378415341207484,0.39378415341207484,0.0,7.981706892975778,7.981706892975778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.665539490980947,9.665539490980947
33.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.3981819345659681,0.3981819345659681,0.0,8.033795230257265,8.033795230257265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.722025609416328,9.722025609416328
34.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4005578879335915,0.4005578879335915,0.0,8.033795230257265,8.033795230257265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.724401562783951,9.724401562783951
35.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4010711327218524,0.4010711327218524,0.0,8.076916730293526,8.076916730293526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.768036307608472,9.768036307608472
36.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4010711327218524,0.4010711327218524,0.0,8.116084178529565,8.116084178529565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.807203755844512,9.807203755844512
37.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.116084178529565,8.116084178529565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.808962084502562,9.808962084502562
38.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
39.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
