t_h,X_gDW_L,N_gN_L,N_free_gN_L,N_from_AA_gN_L,N_rec_gN_L,N_in_Prot_gN_L,N_total_system_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,Carb_g_L,P_frac_gProt_gDW,C_frac_gCarb_gDW,GAM_mmol_gDW,AA_phe_mmol_L,AA_phe_g_L,AA_leu_mmol_L,AA_leu_g_L,AA_val_mmol_L,AA_val_g_L,AA_met_mmol_L,AA_met_g_L,AA_tyr_mmol_L,AA_tyr_g_L,pea_g_L,pea_mg_L,isoamyl_g_L,isoamyl_mg_L,isobutanol_g_L,isobutanol_mg_L,methionol_g_L,methionol_mg_L,tyrosol_g_L,tyrosol_mg_L
0.0,0.5,0.14,0.07,0.07,0.0,0.0368,0.1768,110.0,110.0,0.0,0.008,0.23,0.185,0.46,0.37,51.98026170194909,0.9995002498750626,0.16510744627686158,0.9995002498750626,0.13110444777611197,0.9995002498750626,0.11709145427286359,0.9995002498750626,0.1491354322838581,0.9995002498750626,0.18109945027486257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5793589933322204,0.13262095909362454,0.06755929453804088,0.06506166455558365,0.001104,0.05405026084240669,0.18777521993603122,109.7398966720134,109.86817224120624,0.15862448444205088,0.0,0.3378141302650418,0.21343782753292154,0.583082569102936,0.3684034078858778,54.34910796669129,0.9195402298850576,0.15189885057471267,0.9195402298850576,0.12061609195402301,0.9195402298850576,0.1077241379310345,0.9667783647878669,0.14425299980999765,0.9195402298850576,0.16661149425287358,0.008277505860185616,8.277505860185617,0.0,0.0,0.002136177060914932,2.1361770609149318,0.0,0.0,0.009762652230479863,9.762652230479862
2.0,0.6348438008751056,0.12644427254985496,0.06580009674281717,0.060644175807037785,0.0027255078252722007,0.06511975275494045,0.1942895331300676,109.43956187556813,109.71585711753865,0.36703067829130376,0.0,0.4069984547183778,0.23290001718612446,0.6411001480322364,0.36686192235803755,55.46571388528501,0.845977011494253,0.13974694252873565,0.845977011494253,0.11096680459770117,0.848848376850992,0.09944258734809372,0.9427826509949264,0.140672599354953,0.845977011494253,0.1532825747126437,0.016222126754653614,16.222126754653615,0.0,0.0,0.004725711159756659,4.725711159756659,0.0,0.0,0.019027985862868788,19.02798586286879
3.0,0.6954002066217931,0.11987745438751957,0.06331516743510553,0.05656228695241405,0.004679100407920414,0.07698653779094375,0.20154309258638373,109.1117936041759,109.54943572401187,0.595370221829371,0.0,0.48116586119339844,0.25414138722646823,0.6919265433222539,0.36546061506232475,56.44391833381562,0.7782988505747127,0.1285671871264368,0.7782988505747127,0.10208946022988508,0.7809405067029127,0.09148718036024622,0.9223072231760086,0.13761746077009224,0.7782988505747127,0.1410199687356322,0.023352471377629407,23.352471377629406,0.0,0.0,0.006866659400007658,6.8666594000076575,0.0,0.0,0.02739814343182992,27.39814343182992
4.0,0.7612904242980835,0.11338374534564002,0.0606115230936029,0.05277222225203713,0.006988696541648727,0.08968396381744213,0.21005640570473086,108.75444491863608,109.36781410944795,0.8436576135038435,0.0,0.5605247738590133,0.2772500608305633,0.7362824435573614,0.3641843532790923,57.29759167974113,0.7160349425287357,0.11828181215632184,0.7160349425287357,0.09392230341149427,0.7184652661666797,0.08416820593142653,0.9009905724880735,0.13443680332094546,0.7160349425287357,0.1297383712367816,0.02972113075150019,29.72113075150019,0.0,0.0,0.008350179853139097,8.350179853139096,0.0,0.0,0.034933926714485135,34.93392671448513
5.0,0.8327522763032508,0.10678962158167969,0.05749454572832833,0.04929507585335136,0.00967921545617199,0.10323851371223874,0.21970735075009043,108.36526137261788,109.16981329461228,1.1149104925009148,0.0,0.6452407107014921,0.3023046957683224,0.7748291167282557,0.36301875644256626,58.03946068218897,0.6587521471264368,0.1088192671838161,0.6587521471264368,0.08640851913857472,0.6609880448733454,0.07743474945691242,0.8820727018212613,0.1316140678387504,0.6587521471264368,0.11935930153783908,0.035376552772551,35.376552772551,0.0,0.0,0.009197126620489748,9.197126620489747,0.0,0.0,0.04169132861362815,41.69132861362815
6.0,0.910025788759715,0.09965931720355573,0.05360596445121426,0.04605335275234146,0.012776370867539152,0.11767625824214044,0.2301119463132353,107.94202896836138,108.95429467690404,1.4101938240670644,0.0,0.7354766140133777,0.32938437189837255,0.8081931557299795,0.36195059081489817,58.6815847436379,0.6060519753563218,0.1001137258091108,0.6060519753563218,0.07949583760748874,0.6081090012834778,0.07123996950035942,0.8616163286153913,0.12856177239270253,0.6060519753563218,0.10981055741481195,0.04036291058825038,40.36291058825038,0.0,0.0,0.009425671480325764,9.425671480325764,0.0,0.0,0.04772151894693953,47.72151894693953
7.0,0.9934101867264241,0.09196781817099732,0.04894306043747691,0.04302475773352041,0.016306658614803366,0.13303618456868876,0.24131066135448945,107.48266304670013,108.72024843716368,1.7311942784237682,0.0,0.8314761535543048,0.35858967728656305,0.836991773050225,0.3609683915847697,59.23584273131242,0.5575678173278161,0.09210462774438195,0.5575678173278161,0.07313617059888965,0.5594602811807996,0.06554077194033067,0.8394974172263,0.12526140962433624,0.5575678173278161,0.10102571282162699,0.04471937028534296,44.71937028534296,0.0,0.0,0.009425671480325764,9.425671480325764,0.0,0.0,0.053070304829650194,53.0703048296502
8.0,1.0830923050374626,0.08370148640730368,0.04351304409149409,0.0401884423158096,0.020297744151864028,0.14932966094624325,0.25332889150541094,106.98520060329443,108.46679071129807,2.0789343816490318,0.0,0.9333103809140203,0.38997911267521446,0.8617089943056502,0.360060828482874,59.71155019884792,0.5129623919415909,0.0847362575248314,0.5129623919415909,0.06728527695097848,0.5147034586863356,0.060297510185104215,0.8155778038275504,0.1216923641091088,0.5129623919415909,0.09294365579589685,0.04848362674136922,48.48362674136922,0.0,0.0,0.009425671480325764,9.425671480325764,0.0,0.0,0.05778126062856191,57.78126062856191
9.0,1.1791721127627286,0.0748573322836914,0.03740517950088646,0.037452152782804934,0.024777633980251325,0.1665473658977469,0.2661823321616896,106.44796996154392,108.1933003630746,2.453783766137725,0.0,1.040921036860918,0.42357874597018685,0.8827558128237135,0.3592170654186924,60.116617120952256,0.4719254005862636,0.07795735692284489,0.4719254005862636,0.0619024547949002,0.47352718199142874,0.05547370937029588,0.7845134780192486,0.11705725605525209,0.4719254005862636,0.08550816333222509,0.05169171065045971,51.69171065045971,0.0,0.0,0.009425671480325764,9.425671480325764,0.0,0.0,0.061895638949966685,61.89563894996668
