t_h,mode,objective_id,score,s_mu,s_yan,s_sugar,s_turnover,yan_gN_L,glu_g_L,fru_g_L,sugar_total_g_L,mu_baseline,cap_active,cap_target,cap_applied,cap_relaxed,cap_omitted,v_ADH_baseline,floor_value,floor_applied,floor_relaxed,floor_omitted,status_baseline,status_pairwise,status_v2,mu_v2,obj_baseline,obj_v2,v_eth_baseline,v_eth_v2,v_ADH_v2,v_PDC_v2,v_r0179_baseline,v_r0179_v2,v_r0181_baseline,v_r0181_v2,v_r1865_baseline,v_r1865_v2,v_r1862_baseline,v_r1862_pairwise,v_r1862_v2,v_r0160_v2,v_r1862_v1,v_r1865_v1,v1_active,X_gDW_L,E_g_L
0.0,BIOMASS,r_2111,0.30036925246304647,0.0014342684837919833,3.775134544136568e-11,0.9997965730219448,0.0,0.14,110.0,110.0,220.0,0.15909441715178477,True,r_2115,5.0,False,False,6.919674188388856,0.010392286816270992,0.010392286816270992,False,False,optimal,optimal,optimal,0.158706159889458,0.15909441715178477,0.158706159889458,6.919674188388856,6.891899090799573,5.0,6.924419077701189,0.0,0.010392286816270996,0.0,0.0,0.0,0.009622487792843514,0.0,0.0,0.0007697990234274809,0.0007697990234274809,,,,0.5,0.0
1.0,BIOMASS,r_2111,0.3168055014031213,0.0562257897761522,1.6190202364316758e-10,0.9997925480723501,0.0,0.1327201487791052,109.7398966720134,109.86817224120624,219.60806891321965,0.0970085234832814,True,r_2115,5.0,False,False,7.911409590588213,0.012531890410758808,0.012531890410758808,False,False,optimal,optimal,optimal,0.07462238520246488,0.0970085234832814,0.07462238520246488,7.890597704776188,5.086434220122691,5.0,6.013187173607992,0.0,0.01253189041075881,0.0,0.0,0.0,0.01160360223218408,0.0,0.0,0.0009282881785747263,0.0009282881785747263,,,,0.5794676613673171,0.15869283907794696
2.0,BIOMASS,r_2111,0.3171919399657544,0.057518666781939946,5.232895964750781e-10,0.999787799247285,0.0,0.12685443041418992,109.4394942024069,109.7158170240749,219.15531122648179,0.09660677631194493,True,r_2115,5.0,False,False,7.881870356385586,0.012500328744502581,0.012500328744502581,False,False,optimal,optimal,optimal,0.07434838619446602,0.09660677631194493,0.07434838619446602,7.861144660074802,5.0862478813351055,5.0,6.008548494428263,0.0,0.012500328744502581,0.0,0.0,0.0,0.01157437846713202,0.0,0.0,0.0009259502773705616,0.0009259502773705615,,,,0.6356247503006344,0.36807126023565784
3.0,BIOMASS,r_2111,0.31765502201673396,0.05906758608202847,1.8585967780600029e-09,0.9997824854484877,0.0,0.12051722026239414,109.1113401367615,109.5492052223925,218.660545359154,0.09613648330370475,True,r_2115,5.0,False,False,7.845703337992821,0.012461135332834362,0.012461135332834362,False,False,optimal,optimal,optimal,0.074071914074718,0.09613648330370475,0.074071914074718,7.825078536779027,5.086134137926337,5.0,6.002208753715411,0.0,0.012461135332834359,0.0,0.0,0.0,0.011538088271142924,0.0,0.0,0.0009230470616914338,0.0009230470616914338,,,,0.6969690027131927,0.5968847243860815
4.0,BIOMASS,r_2111,0.31851890083856976,0.06195313157314633,6.880784312343251e-09,0.9997765310079684,0.0,0.11397266592865327,108.75315228137785,109.36713567230517,218.12028795368303,0.09529036262149837,True,r_2115,5.0,False,False,7.796589869453472,0.01241680617753724,0.01241680617753724,False,False,optimal,optimal,optimal,0.0737768852600431,0.09529036262149837,0.0737768852600431,7.776146592155195,5.086204033684111,5.0,5.9932034105388095,0.0,0.012416806177537246,0.0,0.0,0.0,0.01149704275697893,0.0,0.0,0.0009197634205583144,0.0009197634205583144,,,,0.7639061474568368,0.8475242814703889
5.0,BIOMASS,r_2111,0.31969371741463976,0.06587584859405664,2.5649926888294726e-08,0.9997698504714821,0.0,0.10739362545021325,108.36260736403628,109.16841584142011,217.5310232054564,0.09419729108584841,True,r_2115,5.0,False,False,7.758837066314135,0.01240225732272232,0.01240225732272232,False,False,optimal,optimal,optimal,0.07338496209764944,0.09419729108584841,0.07338496209764944,7.738628292945694,5.086243166866921,5.0,5.9935381550416125,0.0,0.012402257322722321,0.0,0.0,0.0,0.011483571595113257,0.0,0.0,0.0009186857276090606,0.0009186857276090606,,,,0.8366262483629908,1.1215457568065204
6.0,BIOMASS,r_2111,0.3209868871017422,0.07019383677052074,1.0659665875663321e-07,0.9997623469719611,0.0,0.10027106781427816,107.93738078152816,108.95184186093725,216.88922264246543,0.09306192709837796,True,r_2115,5.0,False,False,7.7119186548407095,0.012377123812995874,0.012377123812995874,False,False,optimal,optimal,optimal,0.07294300202745871,0.09306192709837796,0.07294300202745871,7.6919534586839795,5.079340705486659,5.0,5.984494452931252,0.0,0.012377123812995872,0.0,0.0,0.0,0.01146029982684803,0.0,0.0,0.0009168239861478423,0.0009168239861478422,,,,0.9153553666838538,1.4202021930827347
7.0,BIOMASS,r_2111,0.32247055121481516,0.07514742669519146,4.968613498023382e-07,0.9997539138261757,0.0,0.09257477163574815,107.4752992711715,108.7163540651457,216.1916533363172,0.09183637452054359,True,r_2115,5.0,False,False,7.646059023595014,0.012328144339798478,0.012328144339798478,False,False,optimal,optimal,optimal,0.07228800918400244,0.09183637452054359,0.07228800918400244,7.634195034419007,5.079028987271037,5.0,5.969958741874326,0.0,0.012328144339798477,0.0,0.0,0.0,0.011414948462776367,0.0,0.0,0.0009131958770221091,0.0009131958770221091,,,,1.0004549163528915,1.7449897677409005
8.0,BIOMASS,r_2111,0.3242585183029404,0.08111468575228326,2.610452758935374e-06,0.9997444314714257,0.0,0.08427992135180686,106.97428325992051,108.46100412994265,215.43528738986316,0.0904549548957075,True,r_2115,5.0,False,False,7.566534691982268,0.012267566639549827,0.012267566639549827,False,False,optimal,optimal,optimal,0.0714977652628058,0.0904549548957075,0.0714977652628058,7.562175120288211,5.080256510428405,5.0,5.943469347685413,0.0,0.012267566639549829,0.0,0.0,0.0,0.011358857999583171,0.0,0.0,0.0009087086399666538,0.0009087086399666539,,,,1.0922411905896048,2.097304365200419
9.0,BIOMASS,r_2111,0.3268023030906075,0.08959173762202403,1.5504006769459592e-05,0.9997337686732313,0.0,0.07537198281031175,106.43249288089308,108.18508133570685,214.61757421659993,0.08864383395314786,True,r_2115,5.0,False,False,7.468009125109431,0.012202812907937172,0.012202812907937172,False,False,optimal,optimal,optimal,0.07059943472067406,0.08864383395314786,0.07059943472067406,7.473881972623471,5.082626245457431,5.0,5.905834682632555,0.0,0.012202812907937172,0.0,0.0,0.0,0.011298900840682566,0.0,0.0,0.0009039120672546054,0.0009039120672546053,,,,1.1909410195919914,2.4783105483079706
