t_h,mode,reaction,label,fva_min_baseline,fva_max_baseline,fva_min_pairwise,fva_max_pairwise,range_baseline,range_pairwise,delta_range
0.0,BIOMASS,r_1862,isoamyl acetate,0.0,0.23736145314482665,0.0,0.24127804712394255,0.23736145314482665,0.24127804712394255,0.0039165939791158955
0.0,BIOMASS,r_1865,isoamylol,0.0,0.5764492433517349,0.0,0.49063717716592625,0.5764492433517349,0.49063717716592625,-0.08581206618580861
0.0,BIOMASS,r_1867,isobutyl acetate,0.0,0.27898350559910495,0.0,0.28325599030713516,0.27898350559910495,0.28325599030713516,0.004272484708030211
0.0,BIOMASS,r_1866,isobutanol,0.0,0.766418651225228,0.0,0.6379506005394653,0.766418651225228,0.6379506005394653,-0.12846805068576272
0.0,BIOMASS,r_2000,phenethyl acetate,0.0,0.19724765423261353,0.0,0.20016002530975446,0.19724765423261353,0.20016002530975446,0.0029123710771409295
0.0,BIOMASS,r_1589,2-phenylethanol,0.0,0.25888754618028936,0.0,0.23774663639734214,0.25888754618028936,0.23774663639734214,-0.02114090978294722
53.0,TURNOVER_ATPM,r_1862,isoamyl acetate,0.0,0.026732403181574868,0.0,0.02669192259156792,0.026732403181574868,0.02669192259156792,-4.0480590006948536e-05
53.0,TURNOVER_ATPM,r_1865,isoamylol,0.0,0.03842782957351098,0.0,0.0344122320407006,0.03842782957351098,0.0344122320407006,-0.004015597532810382
53.0,TURNOVER_ATPM,r_1867,isobutyl acetate,0.0,0.04700544244548848,0.0,0.04692361727296863,0.04700544244548848,0.04692361727296863,-8.182517251985322e-05
53.0,TURNOVER_ATPM,r_1866,isobutanol,0.0,0.11423605345413024,0.0,0.09632208808560458,0.11423605345413024,0.09632208808560458,-0.01791396536852566
53.0,TURNOVER_ATPM,r_2000,phenethyl acetate,0.0,0.02963554405400601,0.0,0.029591900917907026,0.02963554405400601,0.029591900917907026,-4.364313609898571e-05
53.0,TURNOVER_ATPM,r_1589,2-phenylethanol,0.0,0.043827235419642306,0.0,0.03935747420502937,0.043827235419642306,0.03935747420502937,-0.004469761214612934
