parameter,value
GAM_BASE,30.49
GAM_COEFF_P,16.965
GAM_COEFF_R,1.638
GAM_COEFF_C,5.21
Pbase_global,0.5362040755378178
Cbase_global,0.4203958917
Rbase_global,0.06442606183681487
PROT_CONTENT_0,0.46
CARB_CONTENT_0,0.37
RNA_FRAC,0.06
