reaction_id,variable,rule,kinetics
r_1714,glucose,"lb = max(base_lb, -lim_glu); ub = min(base_ub, 0)","Monod(cG, Kg0) * EtOH_inhib(cE, Kie0)"
r_1709,fructose,"lb = max(base_lb, -lim_fru); ub = min(base_ub, 0)","Monod(cF, Kf0) * Glc_inhib(cG, Kig0) * EtOH_inhib(cE, Kie0)"
r_1992,O2,"anaerobic: lb=0, ub=0; aerobic: lb=-lim_o2, ub=0","Monod(cO2, 0.002) * 2.0"
r_1761,ethanol,"APPLY_PRODUCT_CAPS=False: ub=min(base_ub, lim_eth)",from sugar yields
r_2111,biomass,BIOMASS mode: lb=LOCK_FRAC*mu*; TURNOVER: lb=ub=0,"Monod(cN, Kn0)"
r_4046,ATPM,"BIOMASS: lb=0.7, ub=1000; TURNOVER: lb=0.7, ub=1000",fixed bounds
r_1654,N_source (ammonium exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1879,N_source (L-arginine exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1891,N_source (L-glutamine exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1889,N_source (L-glutamate exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1906,N_source (L-serine exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1911,N_source (L-threonine exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1873,N_source (L-alanine exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1912,N_source (L-tryptophan exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1899,N_source (L-leucine exchange),"BIOMASS: lb=max(base_lb, -Li), ub=min(base_ub,0); TURNOVER: lb=ub=0",Li = vN_total * N_frac_map[rid]
r_1903,AA_precursor_phe (L-phenylalanine exchange),"BIOMASS: lb=-K_AA*aa_i/X, ub=0; TURNOVER: lb=-lambda*Prot*alpha/Xa, ub=0","K_AA_UPTAKE_GROWTH=0.08, TURNOVER_LAMBDA=0.03"
r_1897,AA_precursor_leu (L-isoleucine exchange),"BIOMASS: lb=-K_AA*aa_i/X, ub=0; TURNOVER: lb=-lambda*Prot*alpha/Xa, ub=0","K_AA_UPTAKE_GROWTH=0.08, TURNOVER_LAMBDA=0.03"
r_1914,AA_precursor_val (L-valine exchange),"BIOMASS: lb=-K_AA*aa_i/X, ub=0; TURNOVER: lb=-lambda*Prot*alpha/Xa, ub=0","K_AA_UPTAKE_GROWTH=0.08, TURNOVER_LAMBDA=0.03"
r_1902,AA_precursor_met (L-methionine exchange),"BIOMASS: lb=-K_AA*aa_i/X, ub=0; TURNOVER: lb=-lambda*Prot*alpha/Xa, ub=0","K_AA_UPTAKE_GROWTH=0.08, TURNOVER_LAMBDA=0.03"
r_1913,AA_precursor_tyr (L-tyrosine exchange),"BIOMASS: lb=-K_AA*aa_i/X, ub=0; TURNOVER: lb=-lambda*Prot*alpha/Xa, ub=0","K_AA_UPTAKE_GROWTH=0.08, TURNOVER_LAMBDA=0.03"
