parameter,value
TURNOVER_LAMBDA,0.03
K_DEATH,0.005
VPROT_FLOOR_FRAC,0.9
XA_FRACTION,1.0
ATPM_LB_NO_GROWTH,0.7
ATPM_UB_NO_GROWTH,1000.0
BIOMASS_LOCK_FRAC,0.999
K_AA_UPTAKE_GROWTH,0.08
AA_UPTAKE_WEIGHT,1.0
N_AMMONIA_FRACTION,0.5
N_TOTAL_DEPLETION_THRESHOLD,0.001
APPLY_PRODUCT_CAPS,0.0
