reaction_id,lb,ub,group,note
r_1992,0.0,0.0,Anaerobiosis,O2 exchange = 0 (anaerobic)
r_1757,-1000.0,0.0,Suplementos anaerobicos,ergosterol exchange
r_1915,-1000.0,0.0,Suplementos anaerobicos,lanosterol exchange
r_1994,-1000.0,0.0,Suplementos anaerobicos,palmitoleate exchange
r_2106,-1000.0,0.0,Suplementos anaerobicos,zymosterol exchange
r_2134,-1000.0,0.0,Suplementos anaerobicos,14-demethyllanosterol exchange
r_2137,-1000.0,0.0,Suplementos anaerobicos,"ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange"
r_2189,-1000.0,0.0,Suplementos anaerobicos,oleate exchange
r_1714,-1000.0,0.0,Fuentes de carbono,Glucosa solo uptake
r_1709,-1000.0,0.0,Fuentes de carbono,Fructosa solo uptake
r_4046,0.7,0.7,ATPM,ATPM fijo (base model)
r_1761,0.0,1000.0,Productos abiertos,ethanol exchange
r_1808,0.0,1000.0,Productos abiertos,glycerol exchange
r_1634,0.0,1000.0,Productos abiertos,acetate exchange
r_2056,0.0,1000.0,Productos abiertos,succinate exchange
r_2100,-1000.0,1000.0,Agua y protones,water exchange
r_1832,-1000.0,1000.0,Agua y protones,H+ exchange
r_4501,0.0,0.0,Leak closure,turanose
r_1650,0.0,0.0,Leak closure,trehalose
r_4502,0.0,0.0,Leak closure,G6P
r_4538,0.0,0.0,Leak closure,6PG
r_1549,0.0,0.5,Alt sink caps,"(R,R)-2,3-butanediol exchange"
r_4659,0.0,0.1,Alt sink caps,propanol exchange
r_4731,0.0,0.1,Alt sink caps,diethyl-succinate exchange
r_4737,0.0,0.1,Alt sink caps,ethyl-pyruvate exchange
r_1989,0.0,0.0,Alt sink caps,oxaloacetate(2-) exchange
