parameter,value
MU0_nom,0.18
YXN_nom,19.69
YXG_nom,1.6
YXF_nom,1.6
YEG_nom,0.49
YEF_nom,0.49
Kn0_nom,0.01
Kg0_nom,7.5
Kf0_nom,7.5
Kig0_nom,55.0
Kie0_nom,40.0
betaG0_nom,0.225
betaF0_nom,0.225
Kd0_nom,0.00044
MRATE_0,0.01
T_val,303.1500183563739
R_GAS,8.314
MW_GLU,0.180156
MW_FRU,0.180156
MW_ETH,0.04607
MW_N,0.014007
MW_O2,0.031998
EPS,1e-09
