idx,name,unit,ode_rhs
1,X,gDW/L,v_obj * X  (BIOMASS); 0 (TURNOVER)
2,N_free,gN/L,-vn_eff * X  (BIOMASS); 0 (TURNOVER)
3,G,g/L,"-MW_GLU * max(0,-v_glu) * X"
4,F,g/L,"-MW_FRU * max(0,-v_fru) * X"
5,E,g/L,"+MW_ETH * max(0, v_eth) * X"
6,O2,g/L,"-MW_O2 * max(0,-v_o2) * X"
7,Prot,g/L,v_obj*X*PROT0 - Prot*Kd + Xa*v_prot - TURNOVER_LAMBDA*Prot
8,Carb,g/L,v_obj*X*CARB0 - Carb*Kd
9,AA_phe,mmol/L,X * v_aa_i  (BIOMASS); 0 (TURNOVER)
10,AA_leu,mmol/L,X * v_aa_i  (BIOMASS); 0 (TURNOVER)
11,AA_val,mmol/L,X * v_aa_i  (BIOMASS); 0 (TURNOVER)
12,AA_met,mmol/L,X * v_aa_i  (BIOMASS); 0 (TURNOVER)
13,AA_tyr,mmol/L,X * v_aa_i  (BIOMASS); 0 (TURNOVER)
14,Aroma_pea,g/L,MW_aroma * v_aroma * X
15,Aroma_isoamyl,g/L,MW_aroma * v_aroma * X
16,Aroma_isobutanol,g/L,MW_aroma * v_aroma * X
17,Aroma_methionol,g/L,MW_aroma * v_aroma * X
18,Aroma_tyrosol,g/L,MW_aroma * v_aroma * X
19,Aroma_ethyl_acetate,g/L,MW_aroma * v_aroma * X
