category,PASS,WARN,FAIL,status
config,11,2,0,WARN
snapshots,8,1,0,WARN
phase_policy,1,0,0,PASS
bounds,9,0,0,PASS
products,180,0,0,PASS
nitrogen,207,0,0,PASS
gam,45,0,0,PASS
turnover,0,9,0,WARN
mass_balance,0,9,0,WARN
