time,cX,cN_free,cG,cF,cE,cO2,cProt,cCarb,cGly,cPyruvate,cAcetaldehyde
0.0,0.1,150.0,100.0,100.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0
2.0,0.1,149.99999915958,100.0,99.98740889716,0.006438743199999999,0.0,0.3,0.2,0.0,0.0,0.0
2.25,0.1,149.9999990545275,100.0,99.98583500930499,0.0072435860999999985,0.0,0.3,0.2,0.0,0.0,0.0
2.75,0.10295095896317612,149.99974355826203,99.97874149938254,99.97143582320761,0.023540120484390355,0.0,0.30141646030232455,0.20085105656498,0.000934612797825622,0.0,0.0
3.75,0.10902704009634549,149.99921748654842,99.93496627211849,99.94179119017289,0.05709499704283716,0.0,0.30433297924624586,0.20260339836378605,0.002858998483404829,0.0,0.0
5.75,0.12189641320239297,149.99810324646222,99.84223311815255,99.8790182592524,0.1281655148761105,0.0,0.31037432403093085,0.20631492556757014,0.006934921243822894,0.0,0.0
7.75,0.13628486696725256,149.99685748321795,99.73851717910742,99.80887242003165,0.2076250846195693,0.0,0.31712621418272363,0.21046455563335564,0.011491959545116517,0.0,0.0
9.75,0.1523717132518612,149.99546467185374,99.62251303584384,99.73049239157653,0.2964639471474681,0.0,0.32467214083807056,0.21510400210183678,0.016586904127982187,0.0,0.0
11.75,0.17035743383566268,149.99390745449008,99.49275896164814,99.64291740196397,0.39578924981735847,0.0,0.33310541560707824,0.22029108391820512,0.02228325055241356,0.0,0.0
13.75,0.19046618792906683,149.99216642320692,99.34761788017579,99.5450759351565,0.5068388918152759,0.0,0.342530334476295,0.2260904485987429,0.02865199334351435,0.0,0.0
15.75,0.2129486333072127,149.9902198757254,99.18525583230455,99.43577320640411,0.6309970873118099,0.0,0.3530634883521378,0.23257438584580015,0.03577251942334908,0.0,0.0
17.75,0.2380851340480818,149.98804353748977,99.0036173455631,99.31367711212253,0.7698120378448128,0.0,0.36483525480417317,0.2398237526594668,0.04373362385696169,0.0,0.0
19.75,0.2661895097779361,149.9856102364789,98.80039649545887,99.17730210937444,0.9250165080144295,0.0,0.3779915447331571,0.24792905461995676,0.052634696709265474,0.0,0.0
