state_id,phase_label,carbon_in_hexoses,carbon_out_ethanol,carbon_out_glycerol,carbon_out_co2,carbon_out_acetate,carbon_out_succinate,carbon_out_pyruvate,carbon_out_acetaldehyde,carbon_to_biomass,carbon_residual,carbon_residual_rel,nitrogen_external_uptake,nitrogen_to_biomass,nitrogen_internal_recycled,nitrogen_residual,nitrogen_residual_rel,biomass_carbon_fraction_gC_per_gDW,biomass_nitrogen_fraction_gN_per_gDW,status,message
initial_high_sugar_high_n,F0_LAG_OSMO,0.025183463699999995,0.016786573599999997,0.0,,,,0.0,0.0,0.0,0.008396890099999998,0.3334287213239853,4.202100000000383e-06,0.0,0.0,4.202100000000383e-06,1.0,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
lag_osmotic,F0_LAG_OSMO,0.025183463700000054,0.01678657360000001,0.0,,,,0.0,0.0,0.0,0.008396890100000044,0.3334287213239863,4.202099999998511e-06,0.0,0.0,4.202099999998511e-06,1.0,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
growth_n_available,F1_EXP_GROWTH,0.28637392812171236,0.1706817922177015,0.0073130298679026495,,,,0.0,0.0,0.028327006960085454,0.08005209907602279,0.27953696623527713,0.005109517772916615,0.005901459783351137,9.886140569795941e-05,-0.0006930806047365625,-0.13307030478547482,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
n_limited_sugar_available,F2_N_LIMITED_CARB_ACC,0.15950300384101374,0.10676239569616096,0.0,,,,0.0,0.0,0.0,0.05274060814485278,0.33065589283461094,0.0,0.0,0.0005192291619827127,0.0005192291619827127,1.0,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
stationary_n_depleted,F2_N_LIMITED_CARB_ACC,0.14125255883751442,0.09459572436760144,0.0,,,,0.0,0.0,0.0,0.04665683446991298,0.33030788860669946,0.0,0.0,0.00046732503188364697,0.00046732503188364697,1.0,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
glucose_depleted_fructose_available,F4_DECAY,0.07461790041964826,0.0501748911772015,0.0,,,,0.0,0.0,0.0,0.02444300924244676,0.3275756769485632,0.0,0.0,0.0005534659288532843,0.0005534659288532843,1.0,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
hexoses_depleted,F4_DECAY,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005534659288532843,0.0005534659288532843,1.0,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
protein_pool_depleted,F4_DECAY,0.16960301091420388,0.1134982981735701,0.0,,,,0.0,0.0,0.0,0.05610471274063378,0.33080021656582,0.0,0.0,0.0,0.0,0.0,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
ethanol_stress_high,F4_DECAY,0.099506672331889,0.066767405785363,1.0366098444303477e-23,,,,0.0,0.0,0.0,0.03273926654652601,0.3290157913966742,0.0,0.0,0.0005353036155601151,0.0005353036155601151,1.0,0.48,0.1,WARN,CO2/acetato/succinato no disponibles en macro_flux_ids; balance C es parcial
