time,phase_label,mu_h_inv,q_glucose_mmol_gDW_h,q_fructose_mmol_gDW_h,q_n_total_gN_gDW_h,p_ethanol_mmol_gDW_h,p_glycerol_mmol_gDW_h,p_pyruvate_mmol_gDW_h,p_acetaldehyde_mmol_gDW_h,v_pyruvate,v_acetaldehyde,v_atpm,used_fallback,modeling_config_mode
0.0,F0_LAG_OSMO,0.0,0.0,0.3494499999999999,4.202100000000383e-06,0.6987999999999999,0.0,0.0,0.0,0.0,0.0,0.7,False,strict
2.0,F0_LAG_OSMO,0.0,0.0,0.3494499999999999,4.202100000000383e-06,0.6987999999999999,0.0,0.0,0.0,0.0,0.0,0.7,False,strict
2.25,F1_EXP_GROWTH,0.059019179263522285,2.3600102819187714,1.59852417875404,0.005109925309692988,7.074683909003846,0.2029693134896132,0.0,0.0,0.0,0.0,0.7,False,strict
2.75,F1_EXP_GROWTH,0.059019179562403955,2.3602025893267435,1.59833184248584,0.005109925336279373,7.074683846903179,0.20296931450964711,0.0,0.0,0.0,0.0,0.7,False,strict
3.75,F1_EXP_GROWTH,0.05901918044677275,2.3605982603339877,1.5979362848094,0.005109925414947783,7.074684060603985,0.2029693175278826,0.0,0.0,0.0,0.0,0.7,False,strict
5.75,F1_EXP_GROWTH,0.05901918435027886,2.3614342112811437,1.59710056178382,0.0051099257621806966,7.07468445923963,0.2029693308500377,0.0,0.0,0.0,0.0,0.7,False,strict
7.75,F1_EXP_GROWTH,0.05901919502359013,2.362365764021823,1.59616967632527,0.005109926711614867,7.074685637382102,0.20296936727661863,0.0,0.0,0.0,0.0,0.7,False,strict
9.75,F1_EXP_GROWTH,0.059019224106485496,2.363403782494684,1.59513343211161,0.005109929298656429,7.074688759678694,0.20296946653265135,0.0,0.0,0.0,0.0,0.7,False,strict
11.75,F1_EXP_GROWTH,0.05901930323980546,2.3645610909674426,1.59398099524416,0.005109936337885961,7.074697343157903,0.20296973660408324,0.0,0.0,0.0,0.0,0.7,False,strict
13.75,F1_EXP_GROWTH,0.05901951843158313,2.3658538047937774,1.59270149695491,0.005109955480067065,7.0747206205078506,0.20297047102484658,0.0,0.0,0.0,0.0,0.7,False,strict
15.75,F1_EXP_GROWTH,0.05902010346458918,2.367305415573374,1.59128580290665,0.005110007521125508,7.074783880070612,0.20297246766426694,0.0,0.0,0.0,0.0,0.7,False,strict
17.75,F1_EXP_GROWTH,0.05902169373619636,2.3689574400042663,1.58973145336715,0.005110148982233068,7.074955923767392,0.20297789504860297,0.0,0.0,0.0,0.0,0.7,False,strict
19.75,F1_EXP_GROWTH,0.059026015762241514,2.3708980946565847,1.58805621478081,0.005110533443974539,7.07542341482586,0.2029926455455175,0.0,0.0,0.0,0.0,0.7,False,strict
